,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
29,Paulino,es ESP,MF,22.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
30,Burgui,es ESP,MF,25.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
31,José Luis Rodríguez,pa PAN,FW,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
32,Squad Total,,,27.6,38.0,465.0,12.24,295.0,72.0,20.0,27.0,40.0,11.0,53.0,1.39,31.0,7.0,1.0,6.0,7.0,1.0,0.0,,Alaves
33,Opponent Total,,,27.3,38.0,735.0,19.34,509.0,76.0,40.0,35.0,61.0,14.0,101.0,2.66,75.0,3.0,4.0,7.0,10.0,2.0,0.0,,Alaves
34,Régis Gurtner,fr FRA,GK,32.0,28.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
35,Haitam Aleesami,no NOR,DF,28.0,24.6,27.0,1.27,23.0,3.0,0.0,0.0,0.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
36,Arturo Calabresi,it ITA,DF,23.0,24.4,20.0,0.96,14.0,0.0,2.0,1.0,2.0,1.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,amiens
37,Aurélien Chedjou,cm CMR,DF,34.0,24.1,12.0,0.55,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
38,Bakaye Dibassy,ml MLI,DF,29.0,24.1,8.0,0.39,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
39,Alexis Blin,fr FRA,MF,22.0,22.4,17.0,0.83,12.0,2.0,0.0,0.0,2.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
40,Gaël Kakuta,cd COD,"MF,FW",28.0,22.2,56.0,2.52,41.0,5.0,6.0,1.0,2.0,1.0,8.0,0.36,7.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,amiens
