,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club
331,Lyanco,br BRA,DF,21.0,12.4,1,8.0,2.0,25.0,0.64,0.16,0.13,0.5,20.3,0.0,0,0,0.5,0.5,0.06,0.5,0.5,Matches,Bologna
332,Ádám Nagy,hu HUN,MF,23.0,12.0,0,6.0,2.0,33.3,0.55,0.18,0.0,0.0,24.6,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Bologna
333,Ladislav Krejčí,cz CZE,"MF,DF",26.0,11.8,0,9.0,4.0,44.4,0.76,0.34,0.0,0.0,18.3,1.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,Bologna
334,Giancarlo González,cr CRC,DF,30.0,10.3,0,4.0,0.0,0.0,0.48,0.0,0.0,,9.4,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,Bologna
335,Diego Falcinelli,it ITA,FW,27.0,9.6,1,17.0,4.0,23.5,2.18,0.51,0.0,0.0,12.5,0.0,0,0,2.2,2.2,0.13,-2.2,-2.2,Matches,Bologna
336,Mattia Destro,it ITA,"FW,MF",27.0,6.3,4,12.0,7.0,58.3,2.19,1.28,0.33,0.57,10.2,0.0,0,0,2.5,2.5,0.21,1.5,1.5,Matches,Bologna
337,Sebastien De Maio,fr FRA,DF,31.0,5.5,0,1.0,0.0,0.0,0.18,0.0,0.0,,10.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Bologna
338,Orji Okwonkwo,ng NGA,FW,20.0,3.0,0,4.0,0.0,0.0,1.4,0.0,0.0,,19.3,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,Bologna
339,Simone Edera,it ITA,FW,21.0,2.2,0,8.0,4.0,50.0,3.67,1.84,0.0,0.0,19.8,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,Bologna
340,Godfred Donsah,gh GHA,MF,22.0,2.0,0,2.0,0.0,0.0,1.18,0.0,0.0,,23.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Bologna
341,Angelo da Costa Júnior,br BRA,GK,34.0,2.0,0,,,,,,,,,,0,0,,,,,,Matches,Bologna
342,Nehuén Paz,ar ARG,DF,25.0,1.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bologna
343,Juan Manuel Valencia,co COL,FW,20.0,0.3,0,1.0,0.0,0.0,3.21,0.0,0.0,,22.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Bologna
344,Gabriele Corbo,it ITA,DF,18.0,0.1,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bologna
345,Jules Koundé,fr FRA,DF,19.0,46.0,1,20.0,5.0,25.0,0.47,0.12,0.05,0.2,13.8,0.0,0,0,1.0,1.0,0.06,0.0,0.0,Matches,bordeaux
346,Benoît Costil,fr FRA,GK,31.0,45.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,bordeaux
347,Otávio,br BRA,MF,24.0,38.0,0,23.0,4.0,17.4,0.66,0.11,0.0,0.0,28.2,0.0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches,bordeaux
348,Jimmy Briand,fr FRA,FW,32.0,34.4,10,60.0,20.0,33.3,1.83,0.61,0.13,0.4,13.6,0.0,1,1,8.7,8.0,0.14,0.3,0.0,Matches,bordeaux
349,Maxime Poundjé,fr FRA,DF,25.0,34.3,0,12.0,2.0,16.7,0.37,0.06,0.0,0.0,25.5,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,bordeaux
350,François Kamano,gn GUI,FW,22.0,33.2,11,86.0,29.0,33.7,2.69,0.91,0.07,0.21,21.6,3.0,5,6,11.9,7.2,0.09,-0.9,-1.2,Matches,bordeaux
351,Pablo,br BRA,DF,27.0,29.5,1,14.0,2.0,14.3,0.51,0.07,0.07,0.5,10.4,0.0,0,0,1.3,1.3,0.1,-0.3,-0.3,Matches,bordeaux
352,Youssouf Sabaly,sn SEN,DF,25.0,29.2,0,15.0,4.0,26.7,0.57,0.15,0.0,0.0,22.5,1.0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,bordeaux
353,Sergi Palencia,es ESP,DF,22.0,27.0,0,9.0,1.0,11.1,0.35,0.04,0.0,0.0,26.0,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,bordeaux
354,Samuel Kalu,ng NGA,FW,20.0,22.5,4,57.0,19.0,33.3,2.87,0.96,0.05,0.16,22.3,8.0,0,1,4.1,3.3,0.06,-1.1,-0.3,Matches,bordeaux
355,Jaroslav Plašil,cz CZE,MF,36.0,21.6,0,14.0,2.0,14.3,0.7,0.1,0.0,0.0,20.7,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,bordeaux
356,Younousse Sankharé,sn SEN,MF,28.0,21.1,3,25.0,8.0,32.0,1.23,0.39,0.08,0.25,17.6,0.0,0,0,2.8,2.8,0.11,-0.8,-0.8,Matches,bordeaux
357,Lukas Lerager,dk DEN,MF,25.0,19.3,0,13.0,3.0,23.1,0.71,0.16,0.0,0.0,22.0,0.0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,bordeaux
358,Yann Karamoh,fr FRA,FW,20.0,18.6,3,53.0,16.0,30.2,3.31,1.0,0.06,0.19,17.7,1.0,0,0,5.6,5.6,0.11,-2.6,-2.6,Matches,bordeaux
359,Vukašin Jovanović,rs SRB,DF,22.0,18.3,0,2.0,1.0,50.0,0.12,0.06,0.0,0.0,6.0,0.0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,bordeaux
360,Toma Bašić,hr CRO,MF,21.0,17.2,3,25.0,7.0,28.0,1.58,0.44,0.08,0.29,25.2,5.0,0,0,1.3,1.3,0.06,0.7,0.7,Matches,bordeaux
361,Nicolas de Préville,fr FRA,FW,27.0,16.6,4,40.0,14.0,35.0,2.41,0.84,0.1,0.29,22.0,6.0,0,0,3.2,3.2,0.09,0.8,0.8,Matches,bordeaux
362,Andreas Cornelius,dk DEN,FW,25.0,13.0,3,28.0,11.0,39.3,2.39,0.94,0.11,0.27,14.9,0.0,0,0,2.3,2.3,0.08,0.7,0.7,Matches,bordeaux
363,Aurélien Tchouaméni,fr FRA,MF,18.0,11.0,0,12.0,2.0,16.7,1.09,0.18,0.0,0.0,19.3,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,bordeaux
364,Igor Lewczuk,pl POL,DF,33.0,6.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,bordeaux
365,Zaydou Youssouf,fr FRA,"MF,FW",19.0,5.8,0,9.0,5.0,55.6,1.55,0.86,0.0,0.0,21.4,2.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,bordeaux
366,Gaëtan Poussin,fr FRA,GK,19.0,3.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,bordeaux
367,Alexandre Lauray,fr FRA,DF,21.0,2.9,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,bordeaux
368,Yacine Adli,fr FRA,"MF,FW",18.0,2.4,0,1.0,0.0,0.0,0.42,0.0,0.0,,47.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,bordeaux
