,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
0,Fernando Pacheco,es ESP,GK,25.0,37.3,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
1,Rodrigo Ely,br BRA,DF,23.0,34.8,13.0,0.43,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
2,Alfonso Pedraza,es ESP,"MF,DF",21.0,29.8,64.0,2.36,42.0,1.0,11.0,4.0,4.0,2.0,11.0,0.41,7.0,0.0,1.0,2.0,1.0,0.0,0.0,Matches,alaves
3,Tomás Pina Isla,es ESP,MF,29.0,29.8,31.0,1.17,26.0,1.0,0.0,0.0,2.0,2.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
4,Munir El Haddadi,ma MAR,FW,21.0,28.9,88.0,3.23,50.0,11.0,5.0,3.0,18.0,1.0,12.0,0.44,7.0,2.0,1.0,1.0,1.0,0.0,0.0,Matches,alaves
5,Ibai Gómez,es ESP,"MF,FW",27.0,28.3,70.0,2.71,32.0,25.0,6.0,3.0,3.0,1.0,10.0,0.39,8.0,1.0,0.0,1.0,0.0,0.0,0.0,Matches,alaves
6,Manu García,es ESP,MF,31.0,27.7,41.0,1.51,29.0,0.0,4.0,2.0,6.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
7,Alexis,es ESP,DF,31.0,26.3,13.0,0.54,11.0,1.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
8,Rubén Duarte,es ESP,DF,21.0,26.1,34.0,1.43,27.0,1.0,0.0,1.0,5.0,0.0,2.0,0.08,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Matches,alaves
9,Martin Agirregabiria,es ESP,DF,21.0,23.8,21.0,1.03,16.0,4.0,1.0,0.0,0.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
10,Rubén Sobrino,es ESP,"FW,MF",25.0,21.6,37.0,2.28,31.0,0.0,2.0,0.0,4.0,0.0,5.0,0.31,3.0,0.0,1.0,0.0,1.0,0.0,0.0,Matches,alaves
11,Guillermo Maripán,cl CHI,DF,23.0,20.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
12,Víctor Laguardia,es ESP,DF,27.0,19.3,6.0,0.35,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
13,Daniel Torres,co COL,MF,27.0,18.8,14.0,1.04,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
14,Wakaso,gh GHA,"MF,FW",27.0,15.0,14.0,1.15,10.0,1.0,0.0,2.0,1.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
15,John Guidetti,se SWE,FW,25.0,14.9,30.0,2.19,22.0,0.0,2.0,2.0,3.0,1.0,7.0,0.51,5.0,0.0,0.0,1.0,1.0,0.0,0.0,Matches,alaves
16,Álvaro Medrán,es ESP,"MF,FW",23.0,14.0,19.0,1.82,13.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
17,Burgui,es ESP,"FW,MF",23.0,12.8,42.0,3.66,33.0,0.0,2.0,2.0,4.0,1.0,3.0,0.26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
18,Carlos Vigaray,es ESP,"DF,MF",22.0,11.0,10.0,1.01,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
19,Adrián Diéguez,es ESP,DF,21.0,9.7,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
20,Antonio Sivera,es ESP,GK,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
21,Bojan Krkić,es ESP,"FW,MF",26.0,6.6,6.0,1.24,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
22,Hernán Pérez,py PAR,"MF,FW",28.0,5.5,12.0,2.92,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
23,Christian Santos,ve VEN,FW,29.0,5.5,7.0,1.46,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
24,Ermedin Demirović,ba BIH,FW,19.0,4.1,3.0,1.49,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
25,Óscar Romero,py PAR,"MF,FW",25.0,2.8,6.0,2.18,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
26,Víctor López,es ESP,"MF,FW",20.0,2.7,3.0,4.43,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
27,Enzo Fernández,es ESP,MF,22.0,1.7,2.0,2.54,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
28,Aleksandar Katai,rs SRB,"FW,MF",26.0,0.8,3.0,5.19,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
29,Héctor Hernández,es ESP,MF,26.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
30,Héctor Bellerín,es ESP,"DF,MF",22.0,46.2,81.0,2.39,76.0,0.0,2.0,1.0,2.0,0.0,8.0,0.24,7.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Arsenal
31,Granit Xhaka,ch SUI,MF,24.0,46.0,96.0,2.65,73.0,17.0,1.0,2.0,1.0,2.0,16.0,0.44,9.0,5.0,0.0,1.0,0.0,1.0,0.0,Matches,Arsenal
32,Petr Čech,cz CZE,GK,35.0,38.1,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
33,Shkodran Mustafi,de GER,DF,25.0,36.3,15.0,0.59,11.0,0.0,0.0,3.0,0.0,1.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Arsenal
34,Nacho Monreal,es ESP,DF,31.0,34.3,26.0,1.04,22.0,1.0,0.0,2.0,1.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
35,Mesut Özil,de GER,"MF,FW",28.0,32.8,134.0,5.58,111.0,17.0,3.0,1.0,2.0,0.0,15.0,0.62,10.0,2.0,1.0,1.0,1.0,0.0,0.0,Matches,Arsenal
36,Laurent Koscielny,fr FRA,DF,31.0,31.0,14.0,0.57,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
37,Alexandre Lacazette,fr FRA,FW,26.0,30.5,88.0,3.6,56.0,0.0,10.0,11.0,10.0,1.0,12.0,0.49,6.0,0.0,0.0,4.0,1.0,1.0,0.0,Matches,Arsenal
38,Jack Wilshere,eng ENG,MF,25.0,29.6,41.0,3.09,28.0,0.0,4.0,1.0,7.0,1.0,5.0,0.38,4.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Arsenal
39,Alex Iwobi,ng NGA,"FW,MF",21.0,29.2,76.0,3.74,67.0,0.0,5.0,3.0,1.0,0.0,12.0,0.59,11.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Arsenal
40,Sead Kolašinac,ba BIH,"DF,MF",24.0,29.1,42.0,1.76,34.0,2.0,3.0,1.0,1.0,1.0,5.0,0.21,4.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Arsenal
41,Aaron Ramsey,wal WAL,MF,26.0,27.4,60.0,2.93,50.0,1.0,2.0,2.0,4.0,1.0,13.0,0.63,11.0,0.0,0.0,0.0,2.0,0.0,0.0,Matches,Arsenal
42,Mohamed Elneny,eg EGY,MF,25.0,26.0,22.0,2.29,19.0,0.0,0.0,2.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
