,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
0,Víctor Laguardia,es ESP,DF,28.0,36.0,12.0,0.33,9.0,1.0,0.0,1.0,1.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
1,Fernando Pacheco,es ESP,GK,26.0,35.0,4.0,0.11,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
2,Jony,es ESP,"MF,FW",27.0,33.1,128.0,3.88,61.0,46.0,11.0,5.0,1.0,4.0,16.0,0.48,7.0,6.0,1.0,1.0,0.0,1.0,0.0,Matches,alaves
3,Jonathan Calleri,ar ARG,FW,24.0,32.3,67.0,2.1,42.0,0.0,9.0,6.0,9.0,1.0,5.0,0.16,1.0,0.0,1.0,1.0,2.0,0.0,0.0,Matches,alaves
4,Rubén Duarte,es ESP,DF,22.0,30.8,44.0,1.43,29.0,2.0,0.0,4.0,7.0,2.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,alaves
5,Ximo Navarro,es ESP,DF,28.0,28.1,30.0,1.07,18.0,4.0,4.0,1.0,3.0,0.0,5.0,0.18,4.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,alaves
6,Manu García,es ESP,MF,32.0,26.9,31.0,1.2,21.0,0.0,0.0,3.0,3.0,4.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
7,Tomás Pina Isla,es ESP,MF,30.0,26.0,45.0,1.73,37.0,2.0,1.0,0.0,5.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,alaves
8,Guillermo Maripán,cl CHI,DF,24.0,24.3,13.0,0.58,6.0,2.0,0.0,4.0,1.0,0.0,5.0,0.22,2.0,1.0,0.0,2.0,0.0,0.0,0.0,Matches,alaves
9,Martin Agirregabiria,es ESP,DF,22.0,23.6,22.0,0.97,20.0,0.0,1.0,0.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
10,Darko Brašanac,rs SRB,MF,26.0,19.6,24.0,1.37,18.0,2.0,1.0,1.0,2.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
11,Wakaso,gh GHA,MF,28.0,18.5,27.0,1.46,17.0,2.0,1.0,3.0,2.0,2.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
12,Borja Bastón,es ESP,FW,25.0,17.8,16.0,1.0,13.0,0.0,1.0,2.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
13,Ibai Gómez,es ESP,"MF,FW",28.0,16.2,34.0,2.11,18.0,9.0,3.0,2.0,2.0,0.0,4.0,0.25,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,alaves
14,Rubén Sobrino,es ESP,"FW,MF",26.0,12.5,19.0,1.77,13.0,0.0,2.0,2.0,2.0,0.0,2.0,0.19,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,alaves
15,Takashi Inui,jp JPN,"MF,FW",30.0,9.2,13.0,1.41,4.0,0.0,3.0,1.0,4.0,1.0,2.0,0.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,alaves
16,Carlos Vigaray,es ESP,DF,23.0,9.2,8.0,1.11,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
17,John Guidetti,se SWE,FW,26.0,8.5,14.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
18,Burgui,es ESP,"MF,FW",24.0,8.2,24.0,3.89,16.0,3.0,2.0,0.0,3.0,0.0,2.0,0.32,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
19,Antonio Sivera,es ESP,GK,21.0,5.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
20,Rodrigo Ely,br BRA,DF,24.0,4.8,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
21,Adrián Marín,es ESP,"DF,MF",21.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
22,Diego Rolán,uy URU,"FW,MF",25.0,3.3,7.0,2.11,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,alaves
23,Patrick Twumasi,gh GHA,"MF,FW",24.0,2.2,6.0,3.18,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
24,Adrián Diéguez,es ESP,DF,22.0,2.0,,,,,,,,,,,,,,,,,,Matches,alaves
25,Daniel Torres,co COL,MF,28.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
26,Alejandro Blanco,es ESP,"FW,MF",19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
27,Régis Gurtner,fr FRA,GK,31.0,38.0,4.0,0.11,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
28,Bakaye Dibassy,ml MLI,DF,28.0,34.7,13.0,0.4,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
29,Emil Krafth,se SWE,DF,23.0,34.0,38.0,1.15,31.0,4.0,1.0,1.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
30,Thomas Monconduit,fr FRA,MF,27.0,31.9,65.0,2.08,50.0,6.0,2.0,2.0,4.0,1.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
31,Prince-Désir Gouano,fr FRA,DF,24.0,31.1,11.0,0.38,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
32,Eddy Gnahoré,fr FRA,MF,24.0,28.4,57.0,2.29,49.0,1.0,4.0,2.0,0.0,1.0,7.0,0.28,5.0,0.0,1.0,0.0,0.0,1.0,0.0,Matches,amiens
33,Juan Ferney Otero,co COL,"FW,MF",23.0,27.0,63.0,2.61,47.0,2.0,6.0,3.0,5.0,0.0,5.0,0.21,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,amiens
34,Alexis Blin,fr FRA,MF,21.0,25.1,24.0,1.09,21.0,0.0,0.0,0.0,0.0,3.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
35,Jordan Lefort,fr FRA,"DF,MF",24.0,23.7,13.0,0.65,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
36,Khaled Adénon,bj BEN,DF,33.0,23.4,7.0,0.32,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
37,Stiven Mendoza,co COL,"FW,MF",26.0,22.5,68.0,3.26,41.0,9.0,6.0,3.0,7.0,2.0,7.0,0.34,6.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,amiens
38,Moussa Konaté,sn SEN,FW,25.0,21.1,40.0,1.92,23.0,0.0,5.0,2.0,8.0,2.0,8.0,0.38,3.0,0.0,2.0,0.0,2.0,1.0,0.0,Matches,amiens
39,Saman Ghoddos,ir IRN,"FW,MF",24.0,20.5,61.0,3.0,27.0,22.0,2.0,4.0,6.0,0.0,4.0,0.2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
40,Cheick Timite,ci CIV,"FW,MF",20.0,19.1,26.0,1.61,20.0,0.0,2.0,1.0,2.0,0.0,2.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches,amiens
41,Erik Pieters,nl NED,DF,29.0,14.0,21.0,1.5,17.0,2.0,1.0,0.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
42,Mathieu Bodmer,fr FRA,"MF,FW",35.0,13.9,27.0,2.26,22.0,0.0,0.0,1.0,2.0,2.0,2.0,0.17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,amiens
43,Sehrou Guirassy,fr FRA,FW,22.0,12.3,26.0,2.11,18.0,0.0,1.0,1.0,6.0,0.0,4.0,0.32,3.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,amiens
44,Oualid El Hajjam,ma MAR,"DF,MF",27.0,10.0,5.0,0.83,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
45,Ganso,br BRA,"MF,FW",28.0,6.8,24.0,4.15,20.0,4.0,0.0,0.0,0.0,0.0,3.0,0.52,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
46,Rafał Kurzawa,pl POL,"FW,MF",25.0,5.4,6.0,2.26,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
47,Matthieu Dreyer,fr FRA,GK,29.0,4.0,,,,,,,,,,,,,,,,,,Matches,amiens
48,Sanasi Sy,fr FRA,MF,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
49,Bongani Zungu,za RSA,MF,25.0,2.6,5.0,1.96,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
