,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,club
0,Fernando Pacheco,es ESP,GK,25.0,37.3,414.0,760.0,54.5,18366.0,14292.0,40.0,41.0,97.6,99.0,102.0,97.1,273.0,615.0,44.4,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,Matches,alaves
1,Rodrigo Ely,br BRA,DF,23.0,34.8,726.0,1035.0,70.1,17879.0,6388.0,155.0,210.0,73.8,377.0,454.0,83.0,190.0,354.0,53.7,2,0.1,-0.1,2.0,38.0,1.0,0.0,47.0,Matches,alaves
2,Alfonso Pedraza,es ESP,"MF,DF",21.0,29.8,460.0,734.0,62.7,7874.0,3142.0,226.0,317.0,71.3,190.0,266.0,71.4,35.0,94.0,37.2,6,3.7,1.3,28.0,40.0,21.0,16.0,54.0,Matches,alaves
3,Tomás Pina Isla,es ESP,MF,29.0,29.8,789.0,989.0,79.8,14712.0,4669.0,327.0,396.0,82.6,352.0,429.0,82.1,100.0,142.0,70.4,0,1.1,-1.1,12.0,119.0,7.0,0.0,101.0,Matches,alaves
4,Munir El Haddadi,ma MAR,FW,21.0,28.9,463.0,704.0,65.8,7431.0,1994.0,272.0,347.0,78.4,133.0,199.0,66.8,44.0,108.0,40.7,7,3.6,2.4,41.0,25.0,27.0,10.0,46.0,Matches,alaves
5,Ibai Gómez,es ESP,"MF,FW",27.0,28.3,616.0,934.0,66.0,11904.0,4690.0,270.0,335.0,80.6,244.0,321.0,76.0,96.0,255.0,37.6,6,4.7,1.3,38.0,74.0,24.0,10.0,76.0,Matches,alaves
6,Manu García,es ESP,MF,31.0,27.7,724.0,997.0,72.6,13562.0,3815.0,312.0,398.0,78.4,302.0,391.0,77.2,100.0,174.0,57.5,0,1.4,-1.4,15.0,92.0,5.0,2.0,65.0,Matches,alaves
7,Alexis,es ESP,DF,31.0,26.3,523.0,731.0,71.5,11153.0,5251.0,179.0,204.0,87.7,239.0,336.0,71.1,102.0,182.0,56.0,0,0.1,-0.1,3.0,28.0,4.0,0.0,33.0,Matches,alaves
8,Rubén Duarte,es ESP,DF,21.0,26.1,660.0,963.0,68.5,11820.0,5822.0,311.0,366.0,85.0,271.0,373.0,72.7,71.0,200.0,35.5,2,1.6,0.4,18.0,41.0,21.0,8.0,62.0,Matches,alaves
9,Martin Agirregabiria,es ESP,DF,21.0,23.8,598.0,873.0,68.5,10555.0,5335.0,283.0,359.0,78.8,249.0,344.0,72.4,62.0,134.0,46.3,4,1.2,2.8,11.0,49.0,11.0,7.0,66.0,Matches,alaves
10,Rubén Sobrino,es ESP,"FW,MF",25.0,21.6,300.0,418.0,71.8,4229.0,822.0,187.0,250.0,74.8,98.0,129.0,76.0,10.0,27.0,37.0,5,1.1,0.9,21.0,18.0,9.0,4.0,22.0,Matches,alaves
11,Guillermo Maripán,cl CHI,DF,23.0,20.0,344.0,470.0,73.2,7496.0,2947.0,101.0,124.0,81.5,179.0,220.0,81.4,62.0,121.0,51.2,0,0.0,0.0,0.0,18.0,0.0,0.0,26.0,Matches,alaves
12,Víctor Laguardia,es ESP,DF,27.0,19.3,388.0,578.0,67.1,9615.0,4624.0,84.0,104.0,80.8,195.0,234.0,83.3,107.0,231.0,46.3,0,0.2,-0.2,3.0,41.0,6.0,0.0,41.0,Matches,alaves
13,Daniel Torres,co COL,MF,27.0,18.8,414.0,507.0,81.7,7933.0,2649.0,169.0,186.0,90.9,184.0,220.0,83.6,55.0,88.0,62.5,1,0.3,-0.3,7.0,47.0,4.0,1.0,56.0,Matches,alaves
14,Wakaso,gh GHA,"MF,FW",27.0,15.0,329.0,487.0,67.6,7161.0,2256.0,113.0,137.0,82.5,139.0,193.0,72.0,71.0,147.0,48.3,2,0.5,0.5,4.0,28.0,2.0,2.0,30.0,Matches,alaves
