,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club,Player▲,Sh▼
372,Pascal Groß,de GER,"MF,FW",26.0,33.5,7,47.0,21.0,44.7,1.4,0.63,0.13,0.29,20.8,1.0,1,1,3.2,2.5,0.06,3.8,3.5,Matches,Brighton,,
373,Anthony Knockaert,fr FRA,"MF,FW",25.0,29.6,3,51.0,14.0,27.5,1.72,0.47,0.06,0.21,19.3,0.0,0,0,3.5,3.5,0.08,-0.5,-0.5,Matches,Brighton,,
374,Gaëtan Bong,cm CMR,DF,29.0,27.7,0,5.0,1.0,20.0,0.18,0.04,0.0,0.0,23.7,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Brighton,,
375,Glenn Murray,eng ENG,FW,33.0,24.8,14,51.0,22.0,43.1,2.05,0.89,0.2,0.45,13.8,0.0,4,6,11.6,7.0,0.15,0.4,1.0,Matches,Brighton,,
376,José Izquierdo,co COL,"MF,FW",25.0,24.8,5,61.0,18.0,29.5,2.46,0.73,0.08,0.28,20.2,0.0,0,0,4.1,4.1,0.08,0.9,0.9,Matches,Brighton,,
377,Solly March,eng ENG,"MF,FW",23.0,23.5,1,37.0,11.0,29.7,1.57,0.47,0.03,0.09,23.1,1.0,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches,Brighton,,
378,Bruno,es ESP,DF,36.0,23.4,0,2.0,1.0,50.0,0.09,0.04,0.0,0.0,20.9,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Brighton,,
379,Ezequiel Schelotto,it ITA,DF,28.0,17.8,0,8.0,2.0,25.0,0.45,0.11,0.0,0.0,19.5,0.0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches,Brighton,,
380,Markus Suttner,at AUT,DF,30.0,16.1,0,5.0,1.0,20.0,0.31,0.06,0.0,0.0,25.9,1.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Brighton,,
381,Beram Kayal,il ISR,MF,29.0,12.3,0,10.0,3.0,30.0,0.81,0.24,0.0,0.0,15.7,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Brighton,,
382,Tomer Hemed,il ISR,FW,30.0,11.9,2,26.0,10.0,38.5,2.18,0.84,0.08,0.2,14.4,0.0,0,0,2.0,2.0,0.12,0.0,0.0,Matches,Brighton,,
383,Connor Goldson,eng ENG,DF,24.0,7.6,1,4.0,2.0,50.0,0.53,0.26,0.25,0.5,6.1,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Brighton,,
384,Uwe Hünemeier,de GER,DF,31.0,5.5,0,2.0,0.0,0.0,0.36,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Brighton,,
385,Liam Rosenior,eng ENG,DF,33.0,5.0,0,3.0,0.0,0.0,0.6,0.0,0.0,,22.1,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Brighton,,
386,Tim Krul,nl NED,GK,29.0,4.8,0,1.0,0.0,0.0,0.21,0.0,0.0,,,,0,0,,,,,,Matches,Brighton,,
387,Leonardo Ulloa,ar ARG,FW,31.0,4.8,2,5.0,3.0,60.0,1.04,0.62,0.4,0.67,5.0,0.0,0,0,0.4,0.4,0.22,0.6,0.6,Matches,Brighton,,
388,Jürgen Locadia,nl NED,"FW,MF",23.0,4.3,2,16.0,5.0,31.3,3.69,1.15,0.13,0.4,15.2,0.0,0,0,1.0,1.0,0.2,0.0,0.0,Matches,Brighton,,
389,Izzy Brown,eng ENG,"MF,FW",20.0,3.5,0,3.0,1.0,33.3,0.85,0.28,0.0,0.0,16.6,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches,Brighton,,
390,Jamie Murphy,sco SCO,MF,27.0,3.2,0,4.0,3.0,75.0,1.25,0.94,0.0,0.0,17.5,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Brighton,,
391,Jiří Skalák,cz CZE,"FW,MF",25.0,2.8,0,7.0,3.0,42.9,2.49,1.07,0.0,0.0,,,0,0,,,,,,Matches,Brighton,,
392,Sam Baldock,eng ENG,"FW,MF",28.0,2.5,0,5.0,1.0,20.0,2.04,0.41,0.0,0.0,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Brighton,,
393,Jayson Molumby,ie IRL,MF,17.0,2.3,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Brighton,,
394,Niki Mäenpää,fi FIN,GK,32.0,1.5,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Brighton,,
395,Dessie Hutchinson,ie IRL,MF,20.0,1.3,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Brighton,,
396,Richie Towell,ie IRL,MF,26.0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0,0,,,,,,Matches,Brighton,,
397,Rohan Ince,ms MSR,MF,24.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Brighton,,
398,Aleš Matějů,cz CZE,DF,21.0,0.6,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Brighton,,
399,James Tilley,eng ENG,"FW,MF",19.0,0.5,1,3.0,1.0,33.3,6.0,2.0,0.33,1.0,,,0,0,,,,,,Matches,Brighton,,
400,Aaron Connolly,ie IRL,FW,17.0,0.2,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Brighton,,
401,Jack Cork,eng ENG,MF,28.0,40.1,3,18.0,7.0,38.9,0.45,0.17,0.17,0.43,16.1,0.0,0,0,2.3,2.3,0.14,-0.3,-0.3,Matches,Burnley,,
402,Nick Pope,eng ENG,GK,25.0,37.9,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Burnley,,
403,Jóhann Berg Guðmundsson,is ISL,"MF,FW",26.0,33.8,2,58.0,22.0,37.9,1.72,0.65,0.03,0.09,21.6,6.0,0,0,3.6,3.6,0.07,-1.6,-1.6,Matches,Burnley,,
404,James Tarkowski,eng ENG,DF,24.0,33.3,0,19.0,4.0,21.1,0.57,0.12,0.0,0.0,9.7,0.0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches,Burnley,,
405,Ben Mee,eng ENG,DF,27.0,30.0,0,26.0,7.0,26.9,0.87,0.23,0.0,0.0,12.1,1.0,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches,Burnley,,
406,Jeff Hendrick,ie IRL,"MF,FW",25.0,27.9,2,28.0,8.0,28.6,1.0,0.29,0.07,0.25,17.3,0.0,0,0,3.1,3.1,0.11,-1.1,-1.1,Matches,Burnley,,
407,Ashley Barnes,eng ENG,FW,27.0,27.4,10,73.0,28.0,38.4,2.67,1.02,0.14,0.36,14.4,0.0,0,0,6.9,6.9,0.11,2.1,2.1,Matches,Burnley,,
408,Stephen Ward,ie IRL,DF,31.0,27.3,1,5.0,1.0,20.0,0.18,0.04,0.2,1.0,16.5,0.0,0,0,0.3,0.3,0.06,0.7,0.7,Matches,Burnley,,
409,Matthew Lowton,eng ENG,DF,28.0,26.5,0,4.0,0.0,0.0,0.15,0.0,0.0,,24.6,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Burnley,,
410,Steven Defour,be BEL,MF,29.0,22.2,1,19.0,7.0,36.8,0.86,0.32,0.05,0.14,25.1,4.0,0,0,0.8,0.8,0.04,0.2,0.2,Matches,Burnley,,
411,Kevin Long,ie IRL,DF,26.0,19.3,1,14.0,2.0,14.3,0.72,0.1,0.07,0.5,6.7,0.0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches,Burnley,,
412,Chris Wood,nz NZL,FW,25.0,19.1,11,45.0,28.0,62.2,2.35,1.46,0.22,0.36,11.4,0.0,1,1,6.8,6.8,0.18,3.2,3.2,Matches,Burnley,,
413,Scott Arfield,ca CAN,"FW,MF",28.0,16.6,2,19.0,7.0,36.8,1.14,0.42,0.11,0.29,18.6,0.0,0,0,1.2,1.2,0.07,0.8,0.8,Matches,Burnley,,
414,Ashley Westwood,eng ENG,MF,27.0,15.7,0,10.0,2.0,20.0,0.64,0.13,0.0,0.0,18.6,0.0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches,Burnley,,
415,Robbie Brady,ie IRL,"MF,FW",25.0,15.6,3,30.0,9.0,30.0,1.92,0.58,0.1,0.33,22.1,5.0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches,Burnley,,
416,Phil Bardsley,sco SCO,DF,32.0,14.8,0,6.0,2.0,33.3,0.4,0.13,0.0,0.0,35.0,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Burnley,,
417,Charlie Taylor,eng ENG,DF,23.0,13.9,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Burnley,,
418,Sam Vokes,wal WAL,FW,27.0,12.9,4,38.0,9.0,23.7,2.95,0.7,0.11,0.44,11.1,0.0,0,0,3.3,3.3,0.09,0.7,0.7,Matches,Burnley,,
419,Aaron Lennon,eng ENG,"MF,FW",30.0,12.4,0,10.0,4.0,40.0,0.81,0.32,0.0,0.0,16.3,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,Burnley,,
420,Tom Heaton,eng ENG,GK,31.0,3.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Burnley,,
421,Georges-Kévin N'Koudou,fr FRA,MF,22.0,2.5,0,4.0,0.0,0.0,1.58,0.0,0.0,,21.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Burnley,,
422,Jonathan Walters,ie IRL,FW,33.0,1.1,0,2.0,1.0,50.0,1.86,0.93,0.0,0.0,8.0,0.0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,Burnley,,
423,Nahki Wells,bm BER,FW,27.0,0.9,0,3.0,1.0,33.3,3.51,1.17,0.0,0.0,15.8,0.0,0,0,0.5,0.5,0.15,-0.5,-0.5,Matches,Burnley,,
424,Aiden O'Neill,au AUS,MF,19.0,0.0,0,,0.0,,,0.0,,,,,0,0,,,,,,Matches,Burnley,,
425,Simone Padoin,it ITA,"DF,MF",33.0,34.5,1,16.0,2.0,12.5,0.46,0.06,0.06,0.5,21.7,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches,Cagliari,,
426,Nicolò Barella,it ITA,MF,20.0,34.2,6,33.0,8.0,24.2,1.01,0.24,0.09,0.38,27.5,0.0,3,3,3.3,1.1,0.03,2.7,1.9,Matches,Cagliari,,
427,Artur Ioniță,md MDA,MF,26.0,30.8,0,25.0,8.0,32.0,0.84,0.27,0.0,0.0,18.9,0.0,0,0,1.8,1.8,0.07,-1.8,-1.8,Matches,Cagliari,,
428,Leonardo Pavoletti,it ITA,FW,28.0,30.2,11,87.0,32.0,36.8,2.88,1.06,0.13,0.34,9.6,0.0,0,0,12.8,12.8,0.15,-1.8,-1.8,Matches,Cagliari,,
429,Alessio Cragno,it ITA,GK,23.0,29.5,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Cagliari,,
430,Paolo Faragò,it ITA,"DF,MF",24.0,28.6,2,28.0,7.0,25.0,1.03,0.26,0.07,0.29,14.4,0.0,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches,Cagliari,,
431,Luca Ceppitelli,it ITA,DF,27.0,24.7,3,10.0,5.0,50.0,0.4,0.2,0.3,0.6,7.2,0.0,0,0,1.2,1.2,0.12,1.8,1.8,Matches,Cagliari,,
432,Luca Cigarini,it ITA,MF,31.0,23.8,2,22.0,6.0,27.3,0.98,0.27,0.09,0.33,28.7,5.0,0,1,1.7,0.9,0.04,0.3,1.1,Matches,Cagliari,,
433,Fabio Pisacane,it ITA,DF,31.0,23.7,0,5.0,1.0,20.0,0.23,0.05,0.0,0.0,19.6,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Cagliari,,
434,Filippo Romagna,it ITA,DF,20.0,22.0,0,3.0,0.0,0.0,0.14,0.0,0.0,,31.2,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Cagliari,,
435,Marco Andreolli,it ITA,DF,31.0,21.7,0,4.0,1.0,25.0,0.2,0.05,0.0,0.0,10.1,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,Cagliari,,
436,Diego Farias,br BRA,"FW,MF",27.0,20.2,1,42.0,16.0,38.1,2.35,0.89,0.02,0.06,17.0,0.0,0,1,5.3,4.6,0.11,-4.3,-3.6,Matches,Cagliari,,
437,João Pedro,br BRA,"MF,FW",25.0,19.8,6,39.0,11.0,28.2,2.12,0.6,0.1,0.36,20.8,6.0,1,1,3.2,2.4,0.06,1.8,1.6,Matches,Cagliari,,
438,Marco Sau,it ITA,"FW,MF",29.0,15.0,2,24.0,10.0,41.7,1.65,0.69,0.08,0.2,14.2,1.0,0,1,4.2,3.4,0.14,-2.2,-1.4,Matches,Cagliari,,
439,Leandro Castán,br BRA,DF,30.0,12.7,0,3.0,1.0,33.3,0.24,0.08,0.0,0.0,12.0,0.0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches,Cagliari,,
440,Senna Miangue,be BEL,"MF,DF",20.0,9.9,0,3.0,0.0,0.0,0.34,0.0,0.0,,20.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Cagliari,,
441,Marco Capuano,it ITA,DF,25.0,9.8,0,3.0,0.0,0.0,0.39,0.0,0.0,,7.7,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,Cagliari,,
442,Rafael,br BRA,GK,35.0,8.8,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Cagliari,,
443,Charalambos Lykogiannis,gr GRE,DF,23.0,7.6,0,7.0,2.0,28.6,0.92,0.26,0.0,0.0,27.0,4.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Cagliari,,
444,Daniele Dessena,it ITA,"MF,DF",30.0,7.4,1,2.0,0.0,0.0,0.31,0.0,0.0,,17.5,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Cagliari,,
445,Alessandro Deiola,it ITA,MF,21.0,5.2,0,10.0,2.0,20.0,2.0,0.4,0.0,0.0,23.5,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,Cagliari,,
446,Gregory van der Wiel,nl NED,DF,29.0,4.2,0,1.0,0.0,0.0,0.31,0.0,0.0,,26.0,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Cagliari,,
447,Andrea Cossu,it ITA,"MF,FW",37.0,3.9,0,2.0,1.0,50.0,0.74,0.37,0.0,0.0,22.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Cagliari,,
448,Niccolò Giannetti,it ITA,"FW,MF",26.0,3.8,0,5.0,1.0,20.0,1.54,0.31,0.0,0.0,8.7,0.0,0,0,0.9,0.9,0.17,-0.9,-0.9,Matches,Cagliari,,
449,Han Kwang-song,kp PRK,FW,18.0,3.1,0,3.0,1.0,33.3,0.97,0.32,0.0,0.0,9.5,0.0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,Cagliari,,
450,Damir Ceter,co COL,"FW,MF",19.0,2.2,0,1.0,0.0,0.0,0.45,0.0,0.0,,8.0,0.0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,Cagliari,,
451,Luca Crosta,it ITA,GK,19.0,2.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Cagliari,,
452,Duje Čop,hr CRO,FW,27.0,1.5,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Cagliari,,
453,Marco Borriello,it ITA,FW,35.0,0.9,0,,,,,,,,,,0,0,,,,,,Matches,Cagliari,,
454,Federico Melchiorri,it ITA,FW,30.0,0.7,0,,,,,,,,,,0,0,,,,,,Matches,Cagliari,,
455,Alexander Molberg,dk DEN,DF,18.0,0.3,0,,,,,,,,,,0,0,,,,,,Matches,Cagliari,,
456,Fabrizio Caligara,it ITA,MF,17.0,0.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Cagliari,,
457,Jonny Castro,es ESP,DF,23.0,39.5,2,14.0,4.0,28.6,0.39,0.11,0.14,0.5,19.6,0.0,0,0,1.7,1.7,0.12,0.3,0.3,Matches,celta vigo,,
458,Hugo Mallo,es ESP,DF,26.0,37.3,0,23.0,7.0,30.4,0.69,0.21,0.0,0.0,22.3,0.0,0,0,1.3,1.3,0.05,-1.3,-1.3,Matches,celta vigo,,
459,Stanislav Lobotka,sk SVK,MF,22.0,36.2,0,8.0,3.0,37.5,0.24,0.09,0.0,0.0,24.9,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,celta vigo,,
460,Maxi Gómez,uy URU,FW,20.0,35.6,17,80.0,38.0,47.5,2.36,1.12,0.21,0.45,11.7,1.0,0,0,13.4,13.4,0.17,3.6,3.6,Matches,celta vigo,,
461,Iago Aspas,es ESP,FW,29.0,34.3,23,92.0,40.0,43.5,2.82,1.23,0.22,0.5,15.1,6.0,3,4,16.4,14.2,0.15,5.6,5.8,Matches,celta vigo,,
462,Daniel Wass,dk DEN,"MF,FW",28.0,34.0,4,52.0,11.0,21.2,1.6,0.34,0.08,0.36,22.5,19.0,0,0,4.4,4.4,0.08,-0.4,-0.4,Matches,celta vigo,,
463,Sergi Gómez,es ESP,DF,25.0,31.8,1,12.0,2.0,16.7,0.4,0.07,0.08,0.5,9.9,0.0,0,0,1.4,1.4,0.11,0.6,0.6,Matches,celta vigo,,
464,Pione Sisto,dk DEN,"FW,MF",22.0,29.1,6,52.0,19.0,36.5,1.87,0.68,0.1,0.26,20.3,3.0,0,0,3.8,3.8,0.07,0.2,0.2,Matches,celta vigo,,
465,Gustavo Cabral,ar ARG,DF,31.0,22.8,2,11.0,2.0,18.2,0.53,0.1,0.09,0.5,8.9,0.0,0,0,1.0,1.0,0.09,0.0,0.0,Matches,celta vigo,,
466,Rubén Blanco,es ESP,GK,22.0,21.6,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,celta vigo,,
467,Pablo Hernández,cl CHI,MF,30.0,21.5,3,19.0,3.0,15.8,0.94,0.15,0.16,1.0,12.3,0.0,0,0,1.9,1.9,0.1,1.1,1.1,Matches,celta vigo,,
468,Sergio Álvarez,es ESP,GK,30.0,20.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,celta vigo,,
469,Jozabed,es ESP,MF,26.0,19.0,0,20.0,5.0,25.0,1.23,0.31,0.0,0.0,16.4,1.0,0,0,2.0,2.0,0.1,-2.0,-2.0,Matches,celta vigo,,
470,Facundo Roncaglia,ar ARG,DF,30.0,16.9,0,5.0,1.0,20.0,0.3,0.06,0.0,0.0,18.7,0.0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches,celta vigo,,
471,Nemanja Radoja,rs SRB,MF,24.0,14.6,0,6.0,2.0,33.3,0.49,0.16,0.0,0.0,12.2,0.0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches,celta vigo,,
472,Andreu Fontàs,es ESP,DF,27.0,13.8,0,1.0,0.0,0.0,0.1,0.0,0.0,,7.0,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,celta vigo,,
473,Brais Méndez,es ESP,"MF,FW",20.0,13.0,1,22.0,9.0,40.9,2.08,0.85,0.05,0.11,17.9,0.0,0,0,1.9,1.9,0.09,-0.9,-0.9,Matches,celta vigo,,
474,Emre Mor,tr TUR,"FW,MF",20.0,10.8,1,12.0,5.0,41.7,1.59,0.66,0.08,0.2,21.8,0.0,0,0,0.6,0.6,0.05,0.4,0.4,Matches,celta vigo,,
475,Lucas Boyé,ar ARG,"FW,MF",21.0,3.2,0,8.0,1.0,12.5,2.51,0.31,0.0,0.0,13.0,0.0,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches,celta vigo,,
476,John Guidetti,se SWE,FW,25.0,3.0,1,5.0,4.0,80.0,3.78,3.03,0.0,0.0,13.7,0.0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches,celta vigo,,
477,Andrew Hjulsager,dk DEN,"DF,MF",22.0,2.2,0,1.0,0.0,0.0,6.0,0.0,0.0,,22.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,celta vigo,,
478,Róbert Mazáň,sk SVK,DF,23.0,0.9,0,2.0,1.0,50.0,2.2,1.1,0.0,0.0,19.7,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,celta vigo,,
479,César Azpilicueta,es ESP,DF,27.0,52.8,3,18.0,5.0,27.8,0.34,0.09,0.17,0.6,18.8,0.0,0,0,1.3,1.3,0.09,0.7,0.7,Matches,Chelsea,,
480,N'Golo Kanté,fr FRA,MF,26.0,46.7,1,33.0,5.0,15.2,0.71,0.11,0.03,0.2,25.0,0.0,0,0,0.8,0.8,0.03,0.2,0.2,Matches,Chelsea,,
481,Thibaut Courtois,be BEL,GK,25.0,46.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea,,
482,Marcos Alonso,es ESP,"DF,MF",26.0,44.6,8,89.0,32.0,36.0,2.0,0.72,0.09,0.25,16.8,9.0,0,0,4.1,4.1,0.06,2.9,2.9,Matches,Chelsea,,
483,Antonio Rüdiger,de GER,DF,24.0,42.1,3,25.0,5.0,20.0,0.59,0.12,0.12,0.6,15.9,0.0,0,0,1.9,1.9,0.12,0.1,0.1,Matches,Chelsea,,
484,Eden Hazard,be BEL,"FW,MF",26.0,41.3,17,102.0,46.0,45.1,2.47,1.11,0.13,0.28,17.3,1.0,4,3,7.9,6.4,0.1,4.1,3.6,Matches,Chelsea,,
485,Cesc Fàbregas,es ESP,MF,30.0,40.9,3,49.0,16.0,32.7,1.2,0.39,0.04,0.13,19.2,2.0,1,1,2.4,2.4,0.07,-0.4,-0.4,Matches,Chelsea,,
486,Gary Cahill,eng ENG,DF,31.0,37.7,0,18.0,3.0,16.7,0.48,0.08,0.0,0.0,19.7,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Chelsea,,
487,Andreas Christensen,dk DEN,DF,21.0,34.6,0,17.0,2.0,11.8,0.49,0.06,0.0,0.0,8.9,0.0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches,Chelsea,,
488,Tiemoué Bakayoko,fr FRA,MF,22.0,34.2,3,56.0,11.0,19.6,1.64,0.32,0.05,0.27,17.4,0.0,0,0,3.5,3.5,0.08,-1.5,-1.5,Matches,Chelsea,,
489,Willian,br BRA,"FW,MF",28.0,34.0,13,85.0,36.0,42.4,2.5,1.06,0.14,0.33,19.5,4.0,1,1,4.9,4.1,0.08,1.1,0.9,Matches,Chelsea,,
490,Victor Moses,ng NGA,"DF,MF",26.0,33.6,4,47.0,14.0,29.8,1.4,0.42,0.09,0.29,16.3,0.0,0,0,3.2,3.2,0.09,-0.2,-0.2,Matches,Chelsea,,
491,Álvaro Morata,es ESP,FW,24.0,31.1,15,123.0,54.0,43.9,3.96,1.74,0.12,0.28,12.9,0.0,0,0,12.7,12.7,0.15,-1.7,-1.7,Matches,Chelsea,,
492,Pedro,es ESP,"FW,MF",30.0,27.9,7,76.0,32.0,42.1,2.73,1.15,0.09,0.22,21.0,1.0,0,0,4.2,4.2,0.08,-0.2,-0.2,Matches,Chelsea,,
493,Davide Zappacosta,it ITA,"DF,MF",25.0,23.5,2,44.0,16.0,36.4,1.87,0.68,0.05,0.13,20.5,0.0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches,Chelsea,,
494,David Luiz,br BRA,"DF,MF",30.0,16.6,2,17.0,6.0,35.3,1.02,0.36,0.12,0.33,21.9,2.0,0,0,0.5,0.5,0.05,0.5,0.5,Matches,Chelsea,,
495,Willy Caballero,ar ARG,GK,35.0,13.7,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea,,
496,Danny Drinkwater,eng ENG,MF,27.0,12.8,1,21.0,5.0,23.8,1.64,0.39,0.05,0.2,23.6,0.0,0,0,0.1,0.1,0.02,0.9,0.9,Matches,Chelsea,,
497,Michy Batshuayi,be BEL,FW,23.0,11.9,10,38.0,19.0,50.0,3.18,1.59,0.26,0.53,17.6,0.0,0,0,1.1,1.1,0.08,0.9,0.9,Matches,Chelsea,,
498,Olivier Giroud,fr FRA,FW,30.0,10.4,5,36.0,12.0,33.3,3.48,1.16,0.14,0.42,10.8,0.0,0,0,3.9,3.9,0.13,-0.9,-0.9,Matches,Chelsea,,
499,Emerson Palmieri,it ITA,"DF,MF",22.0,5.1,0,3.0,2.0,66.7,0.59,0.39,0.0,0.0,17.9,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Chelsea,,
500,Kenedy,br BRA,"FW,MF",21.0,4.8,1,10.0,2.0,20.0,2.08,0.42,0.1,0.5,,,0,0,,,,,,Matches,Chelsea,,
501,Ethan Ampadu,wal WAL,DF,16.0,4.5,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea,,
502,Charly Musonda Jr.,be BEL,FW,20.0,2.8,1,6.0,2.0,33.3,2.18,0.73,0.17,0.5,21.6,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches,Chelsea,,
503,Ross Barkley,eng ENG,"MF,FW",23.0,2.3,0,2.0,2.0,100.0,0.87,0.87,0.0,0.0,11.5,0.0,0,0,0.5,0.5,0.26,-0.5,-0.5,Matches,Chelsea,,
504,Callum Hudson-Odoi,eng ENG,FW,16.0,0.9,0,2.0,1.0,50.0,2.14,1.07,0.0,0.0,19.9,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Chelsea,,
505,Kyle Scott,eng ENG,MF,19.0,0.3,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Chelsea,,
506,Jake Clarke-Salter,eng ENG,DF,19.0,0.2,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Chelsea,,
507,Dujon Sterling,eng ENG,DF,17.0,0.2,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Chelsea,,
508,Jeremie Boga,ci CIV,MF,20.0,0.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea,,
509,Stefano Sorrentino,it ITA,GK,38.0,39.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Chievo,,
510,Ivan Radovanović,rs SRB,MF,28.0,36.2,1,33.0,10.0,30.3,0.95,0.29,0.03,0.1,31.0,1.0,0,0,0.7,0.7,0.02,0.3,0.3,Matches,Chievo,,
511,Fabrizio Cacciatore,it ITA,DF,30.0,34.2,3,24.0,10.0,41.7,0.75,0.31,0.08,0.2,18.1,0.0,0,0,1.1,1.1,0.04,0.9,0.9,Matches,Chievo,,
512,Roberto Inglese,it ITA,FW,25.0,32.4,12,76.0,35.0,46.1,2.46,1.13,0.14,0.31,13.0,0.0,1,2,9.2,7.7,0.1,2.8,3.3,Matches,Chievo,,
513,Valter Birsa,si SVN,"MF,FW",30.0,28.8,4,49.0,18.0,36.7,1.76,0.65,0.06,0.17,23.0,5.0,0,0,2.7,2.7,0.05,0.3,0.3,Matches,Chievo,,
