,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,club
25,Iñigo Córdoba,es ESP,MF,24-049,2.4,49.0,77.0,63.6,871.0,367.0,18.0,26.0,69.2,20.0,29.0,69.0,7.0,13.0,53.8,0,0.3,-0.3,3.0,1.0,4.0,2.0,5.0,Matches,Alaves
26,Abdallahi Mahmoud,mr MTN,MF,20-362,0.7,13.0,18.0,72.2,194.0,61.0,6.0,8.0,75.0,5.0,6.0,83.3,1.0,2.0,50.0,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,Matches,Alaves
27,Burgui,es ESP,MF,27-184,0.7,8.0,9.0,88.9,131.0,45.0,5.0,5.0,100.0,2.0,2.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,Alaves
28,Sergi García,es ESP,MF,22-017,0.3,5.0,8.0,62.5,115.0,0.0,1.0,3.0,33.3,3.0,4.0,75.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
29,Stephane Keller,cm CMR,DF,19-254,0.2,11.0,13.0,84.6,281.0,66.0,2.0,3.0,66.7,6.0,6.0,100.0,3.0,4.0,75.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
30,Paul Bernardoni,fr FRA,GK,24-014,34.0,568.0,885.0,64.2,18458.0,11633.0,75.0,75.0,100.0,239.0,241.0,99.2,250.0,565.0,44.2,0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Matches,angers
31,Romain Thomas,fr FRA,DF,32-324,33.3,1212.0,1404.0,86.3,29040.0,9517.0,292.0,315.0,92.7,593.0,633.0,93.7,315.0,433.0,72.7,0,0.0,0.0,1.0,59.0,0.0,0.0,59.0,Matches,angers
32,Ismaël Traoré,ci CIV,DF,34-257,33.0,1452.0,1691.0,85.9,30610.0,11648.0,410.0,440.0,93.2,804.0,868.0,92.6,222.0,352.0,63.1,3,0.7,2.3,7.0,73.0,6.0,1.0,68.0,Matches,angers
33,Angelo Fulgini,fr FRA,MF,24-255,30.0,1154.0,1441.0,80.1,20332.0,5829.0,577.0,642.0,89.9,413.0,489.0,84.5,140.0,250.0,56.0,4,4.1,-1.1,52.0,105.0,36.0,6.0,138.0,Matches,angers
34,Thomas Mangani,fr FRA,MF,34-003,29.0,1366.0,1697.0,80.5,27308.0,9081.0,541.0,600.0,90.2,579.0,665.0,87.1,224.0,390.0,57.4,4,2.7,0.3,33.0,157.0,15.0,3.0,169.0,Matches,angers
35,Souleyman Doumbia,ci CIV,DF,24-220,25.3,1011.0,1241.0,81.5,16429.0,5951.0,542.0,597.0,90.8,388.0,454.0,85.5,70.0,155.0,45.2,1,2.7,-1.7,17.0,42.0,18.0,5.0,76.0,Matches,angers
36,Vincent Manceau,fr FRA,DF,31-296,24.4,1063.0,1321.0,80.5,18938.0,8331.0,504.0,552.0,91.3,443.0,530.0,83.6,108.0,211.0,51.2,1,1.1,-1.1,11.0,58.0,22.0,9.0,94.0,Matches,angers
37,Pierrick Capelle,fr FRA,"MF,FW",34-017,22.6,718.0,895.0,80.2,12265.0,3627.0,360.0,411.0,87.6,265.0,314.0,84.4,78.0,124.0,62.9,4,1.3,1.7,17.0,46.0,9.0,4.0,60.0,Matches,angers
38,Ibrahim Amadou,fr FRA,MF,28-026,20.2,594.0,685.0,86.7,10834.0,2952.0,259.0,289.0,89.6,261.0,283.0,92.2,64.0,91.0,70.3,0,0.3,-0.3,6.0,43.0,2.0,0.0,45.0,Matches,angers
39,Lassana Coulibaly,ml MLI,MF,25-022,19.8,575.0,676.0,85.1,10954.0,2443.0,239.0,259.0,92.3,244.0,275.0,88.7,83.0,109.0,76.1,1,1.3,-0.3,8.0,52.0,3.0,1.0,44.0,Matches,angers
40,Stéphane Bahoken,cm CMR,FW,28-339,18.4,228.0,322.0,70.8,3287.0,517.0,127.0,172.0,73.8,74.0,93.0,79.6,15.0,22.0,68.2,1,1.2,-0.2,12.0,13.0,5.0,1.0,15.0,Matches,angers
41,Lois Diony,fr FRA,FW,28-133,17.7,218.0,359.0,60.7,3229.0,494.0,120.0,172.0,69.8,71.0,114.0,62.3,12.0,26.0,46.2,1,1.3,-0.3,14.0,7.0,10.0,4.0,15.0,Matches,angers
