,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,club
0,Fernando Pacheco,es ESP,GK,25.0,38,37,3360.0,37.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
1,Rodrigo Ely,br BRA,DF,23.0,36,35,3135.0,34.8,1.0,2.0,1.0,0.0,0.0,12.0,2.0,0.03,0.06,0.09,0.03,0.09,1.0,1.0,0.1,1.0,0.03,0.0,0.03,0.03,0.03,Matches,alaves
2,Alfonso Pedraza,es ESP,"MF,DF",21.0,37,29,2686.0,29.8,4.0,6.0,4.0,0.0,0.0,6.0,0.0,0.13,0.2,0.34,0.13,0.34,3.5,3.5,3.7,7.2,0.13,0.14,0.26,0.13,0.26,Matches,alaves
3,Tomás Pina Isla,es ESP,MF,29.0,33,31,2684.0,29.8,1.0,0.0,1.0,0.0,0.0,11.0,0.0,0.03,0.0,0.03,0.03,0.03,0.9,0.9,1.1,1.9,0.03,0.04,0.07,0.03,0.07,Matches,alaves
4,Munir El Haddadi,ma MAR,FW,21.0,37,29,2603.0,28.9,14.0,7.0,14.0,0.0,0.0,9.0,2.0,0.48,0.24,0.73,0.48,0.73,8.8,8.8,3.6,12.4,0.32,0.13,0.45,0.32,0.45,Matches,alaves
5,Ibai Gómez,es ESP,"MF,FW",27.0,38,29,2546.0,28.3,7.0,6.0,6.0,1.0,1.0,1.0,0.0,0.25,0.21,0.46,0.21,0.42,5.5,4.7,4.7,9.5,0.21,0.18,0.4,0.18,0.37,Matches,alaves
6,Manu García,es ESP,MF,31.0,32,27,2489.0,27.7,3.0,0.0,3.0,0.0,2.0,9.0,0.0,0.11,0.0,0.11,0.11,0.11,3.1,1.6,1.4,3.0,0.11,0.05,0.17,0.06,0.11,Matches,alaves
7,Alexis,es ESP,DF,31.0,30,27,2363.0,26.3,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.04,0.0,0.04,0.04,0.04,0.9,0.9,0.1,1.0,0.04,0.0,0.04,0.04,0.04,Matches,alaves
8,Rubén Duarte,es ESP,DF,21.0,26,26,2348.0,26.1,0.0,2.0,0.0,0.0,0.0,11.0,2.0,0.0,0.08,0.08,0.0,0.08,0.5,0.5,1.6,2.1,0.02,0.07,0.09,0.02,0.09,Matches,alaves
9,Martin Agirregabiria,es ESP,DF,21.0,25,23,2140.0,23.8,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.0,1.2,1.2,0.0,0.06,0.06,0.0,0.06,Matches,alaves
10,Rubén Sobrino,es ESP,"FW,MF",25.0,33,20,1941.0,21.6,5.0,5.0,5.0,0.0,0.0,6.0,0.0,0.23,0.23,0.46,0.23,0.46,3.1,3.1,1.1,4.2,0.19,0.07,0.26,0.19,0.26,Matches,alaves
11,Guillermo Maripán,cl CHI,DF,23.0,22,20,1801.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.03,0.0,0.03,0.03,0.03,Matches,alaves
12,Víctor Laguardia,es ESP,DF,27.0,19,19,1740.0,19.3,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.1,0.8,0.8,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches,alaves
13,Daniel Torres,co COL,MF,27.0,23,19,1696.0,18.8,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05,0.05,0.0,0.05,0.2,0.2,0.3,0.5,0.01,0.03,0.04,0.01,0.04,Matches,alaves
14,Wakaso,gh GHA,"MF,FW",27.0,24,15,1346.0,15.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.13,0.13,0.0,0.13,1.1,1.1,0.5,1.6,0.09,0.04,0.13,0.09,0.13,Matches,alaves
15,John Guidetti,se SWE,FW,25.0,19,17,1342.0,14.9,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.2,0.13,0.34,0.2,0.34,3.4,3.4,2.0,5.4,0.25,0.15,0.39,0.25,0.39,Matches,alaves
16,Álvaro Medrán,es ESP,"MF,FW",23.0,21,13,1262.0,14.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.14,0.14,0.29,0.14,0.29,0.7,0.7,1.2,1.9,0.07,0.11,0.18,0.07,0.18,Matches,alaves
17,Burgui,es ESP,"FW,MF",23.0,25,13,1150.0,12.8,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.08,0.16,0.23,0.08,0.23,0.8,0.8,1.7,2.6,0.07,0.15,0.23,0.07,0.23,Matches,alaves
18,Carlos Vigaray,es ESP,"DF,MF",22.0,13,10,987.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.04,0.01,0.05,0.04,0.05,Matches,alaves
19,Adrián Diéguez,es ESP,DF,21.0,11,11,871.0,9.7,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches,alaves
20,Antonio Sivera,es ESP,GK,20.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
21,Bojan Krkić,es ESP,"FW,MF",26.0,15,6,590.0,6.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,0.9,0.9,0.1,1.1,0.19,0.03,0.22,0.19,0.22,Matches,alaves
22,Hernán Pérez,py PAR,"MF,FW",28.0,12,5,499.0,5.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,0.1,0.15,0.25,0.1,0.25,Matches,alaves
23,Christian Santos,ve VEN,FW,29.0,12,5,491.0,5.5,3.0,0.0,3.0,0.0,0.0,3.0,2.0,0.55,0.0,0.55,0.55,0.55,1.3,1.3,0.2,1.5,0.27,0.04,0.31,0.27,0.31,Matches,alaves
24,Ermedin Demirović,ba BIH,FW,19.0,6,4,373.0,4.1,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.97,0.24,1.21,0.97,1.21,0.9,0.9,0.1,0.9,0.43,0.03,0.46,0.43,0.46,Matches,alaves
25,Óscar Romero,py PAR,"MF,FW",25.0,5,2,253.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.08,0.04,0.13,0.08,0.13,Matches,alaves
26,Víctor López,es ESP,"MF,FW",20.0,3,3,239.0,2.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.0,0.38,0.1,0.1,0.3,0.3,0.09,0.37,0.47,0.09,0.47,Matches,alaves
27,Enzo Fernández,es ESP,MF,22.0,4,2,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,alaves
28,Aleksandar Katai,rs SRB,"FW,MF",26.0,4,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.37,0.0,0.37,0.37,0.37,Matches,alaves
29,Héctor Hernández,es ESP,MF,26.0,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,alaves
30,Aritz Castro,es ESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,alaves
31,Landeta,es ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,alaves
32,Einar Galilea,es ESP,DF,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,alaves
33,Héctor Bellerín,es ESP,"DF,MF",22.0,47,46,4161.0,46.2,3.0,5.0,3.0,0.0,0.0,8.0,0.0,0.06,0.11,0.17,0.06,0.17,2.2,2.2,3.6,5.8,0.06,0.11,0.17,0.06,0.17,Matches,Arsenal
34,Granit Xhaka,ch SUI,MF,24.0,48,46,4144.0,46.0,3.0,8.0,3.0,0.0,0.0,12.0,0.0,0.07,0.17,0.24,0.07,0.24,2.0,2.0,3.9,5.9,0.06,0.11,0.16,0.06,0.16,Matches,Arsenal
35,Petr Čech,cz CZE,GK,35.0,38,38,3429.0,38.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
36,Shkodran Mustafi,de GER,DF,25.0,38,36,3263.0,36.3,3.0,1.0,3.0,0.0,0.0,7.0,0.0,0.08,0.03,0.11,0.08,0.11,1.0,1.0,0.5,1.4,0.04,0.02,0.06,0.04,0.06,Matches,Arsenal
37,Nacho Monreal,es ESP,DF,31.0,38,36,3091.0,34.3,6.0,2.0,6.0,0.0,0.0,6.0,0.0,0.17,0.06,0.23,0.17,0.23,1.8,1.8,1.3,3.0,0.07,0.05,0.12,0.07,0.12,Matches,Arsenal
38,Mesut Özil,de GER,"MF,FW",28.0,35,33,2952.0,32.8,5.0,12.0,5.0,0.0,0.0,4.0,0.0,0.15,0.37,0.52,0.15,0.52,4.2,4.2,7.0,11.2,0.17,0.29,0.47,0.17,0.47,Matches,Arsenal
39,Laurent Koscielny,fr FRA,DF,31.0,33,33,2788.0,31.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,1.9,1.9,0.4,2.3,0.08,0.02,0.09,0.08,0.09,Matches,Arsenal
40,Alexandre Lacazette,fr FRA,FW,26.0,39,33,2746.0,30.5,17.0,4.0,14.0,3.0,3.0,1.0,0.0,0.56,0.13,0.69,0.46,0.59,11.8,10.3,3.3,13.6,0.48,0.14,0.62,0.42,0.56,Matches,Arsenal
41,Jack Wilshere,eng ENG,MF,25.0,38,29,2661.0,29.6,2.0,5.0,2.0,0.0,0.0,10.0,0.0,0.07,0.17,0.24,0.07,0.24,1.1,1.1,2.3,3.4,0.08,0.17,0.25,0.08,0.25,Matches,Arsenal
42,Alex Iwobi,ng NGA,"FW,MF",21.0,39,30,2630.0,29.2,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.1,0.21,0.31,0.1,0.31,3.0,3.0,3.6,6.7,0.15,0.18,0.33,0.15,0.33,Matches,Arsenal
43,Sead Kolašinac,ba BIH,"DF,MF",24.0,36,28,2622.0,29.1,5.0,4.0,5.0,0.0,0.0,4.0,0.0,0.17,0.14,0.31,0.17,0.31,2.5,2.5,2.4,4.9,0.11,0.1,0.21,0.11,0.21,Matches,Arsenal
44,Aaron Ramsey,wal WAL,MF,26.0,32,28,2465.0,27.4,11.0,9.0,11.0,0.0,0.0,2.0,0.0,0.4,0.33,0.73,0.4,0.73,5.1,5.1,4.7,9.7,0.25,0.23,0.47,0.25,0.47,Matches,Arsenal
45,Mohamed Elneny,eg EGY,MF,25.0,32,26,2340.0,26.0,1.0,4.0,1.0,0.0,0.0,5.0,1.0,0.04,0.15,0.19,0.04,0.19,0.4,0.4,0.7,1.1,0.04,0.07,0.11,0.04,0.11,Matches,Arsenal
46,Danny Welbeck,eng ENG,"FW,MF",26.0,43,25,2337.0,26.0,10.0,3.0,9.0,1.0,1.0,2.0,0.0,0.39,0.12,0.5,0.35,0.46,4.4,4.4,1.1,5.5,0.33,0.08,0.42,0.33,0.42,Matches,Arsenal
47,Rob Holding,eng ENG,DF,21.0,26,22,2018.0,22.4,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.04,0.0,0.04,0.04,0.04,0.1,0.1,0.0,0.1,0.01,0.0,0.02,0.01,0.02,Matches,Arsenal
48,Ainsley Maitland-Niles,eng ENG,"DF,MF",19.0,28,20,1957.0,21.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,0.02,0.07,0.09,0.02,0.09,Matches,Arsenal
49,David Ospina,co COL,GK,28.0,21,20,1821.0,20.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
50,Calum Chambers,eng ENG,DF,22.0,24,19,1755.0,19.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,1.2,0.12,0.01,0.13,0.12,0.13,Matches,Arsenal
51,Alexis Sánchez,cl CHI,"FW,MF",28.0,22,19,1708.0,19.0,8.0,4.0,7.0,1.0,1.0,4.0,0.0,0.42,0.21,0.63,0.37,0.58,7.3,6.5,5.3,11.8,0.44,0.32,0.75,0.39,0.71,Matches,Arsenal
52,Olivier Giroud,fr FRA,FW,30.0,26,10,1270.0,14.1,7.0,3.0,5.0,2.0,2.0,0.0,0.0,0.5,0.21,0.71,0.35,0.57,3.0,3.0,0.9,3.9,0.7,0.22,0.91,0.7,0.91,Matches,Arsenal
53,Henrikh Mkhitaryan,am ARM,"FW,MF",28.0,17,14,1210.0,13.4,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.22,0.37,0.6,0.22,0.6,1.8,1.8,2.3,4.1,0.2,0.27,0.47,0.2,0.47,Matches,Arsenal
54,Pierre-Emerick Aubameyang,ga GAB,FW,28.0,14,13,1147.0,12.7,10.0,4.0,9.0,1.0,2.0,0.0,0.0,0.78,0.31,1.1,0.71,1.02,8.3,6.8,1.1,7.9,0.71,0.1,0.8,0.58,0.67,Matches,Arsenal
55,Theo Walcott,eng ENG,"MF,FW",28.0,16,9,922.0,10.2,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.39,0.2,0.59,0.39,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
56,Per Mertesacker,de GER,DF,32.0,12,10,847.0,9.4,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.21,0.11,0.32,0.21,0.32,0.3,0.3,0.0,0.3,0.06,0.0,0.06,0.06,0.06,Matches,Arsenal
57,Reiss Nelson,eng ENG,"MF,FW",17.0,16,8,763.0,8.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.07,0.02,0.09,0.07,0.09,Matches,Arsenal
58,Francis Coquelin,fr FRA,"MF,DF",26.0,13,7,738.0,8.2,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.2,0.3,0.02,0.14,0.16,0.02,0.16,Matches,Arsenal
59,Mathieu Debuchy,fr FRA,DF,32.0,7,7,650.0,7.2,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.14,0.14,0.28,0.14,0.28,,,,,,,,,,Matches,Arsenal
60,Joe Willock,eng ENG,MF,17.0,11,6,516.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.22,0.0,0.22,0.22,0.22,Matches,Arsenal
61,Alex Oxlade-Chamberlain,eng ENG,"MF,DF",23.0,4,4,361.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.09,0.17,0.26,0.09,0.26,Matches,Arsenal
62,Matt Macey,eng ENG,GK,22.0,2,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,Arsenal
63,Konstantinos Mavropanos,gr GRE,"DF,MF",19.0,3,3,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
