,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,club
0,Régis Gurtner,fr FRA,GK,31.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
1,Bakaye Dibassy,ml MLI,DF,28.0,37,34,3126.0,34.7,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.03,0.03,0.06,0.03,0.06,1.3,1.3,0.3,1.6,0.04,0.01,0.05,0.04,0.05,Matches,amiens
2,Emil Krafth,se SWE,DF,23.0,36,34,3064.0,34.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,2.5,3.1,0.02,0.07,0.09,0.02,0.09,Matches,amiens
3,Thomas Monconduit,fr FRA,MF,27.0,35,32,2869.0,31.9,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.03,0.03,0.0,0.03,0.4,0.4,1.8,2.3,0.01,0.06,0.07,0.01,0.07,Matches,amiens
4,Prince-Désir Gouano,fr FRA,DF,24.0,32,32,2800.0,31.1,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.03,0.0,0.03,0.03,0.03,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03,Matches,amiens
5,Eddy Gnahoré,fr FRA,MF,24.0,38,28,2558.0,28.4,4.0,2.0,4.0,0.0,0.0,5.0,2.0,0.14,0.07,0.21,0.14,0.21,3.7,3.7,2.7,6.4,0.15,0.11,0.26,0.15,0.26,Matches,amiens
6,Juan Ferney Otero,co COL,"FW,MF",23.0,37,27,2428.0,27.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.11,0.11,0.22,0.11,0.22,3.9,3.9,2.1,6.1,0.16,0.09,0.25,0.16,0.25,Matches,amiens
7,Alexis Blin,fr FRA,MF,21.0,30,28,2260.0,25.1,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,0.4,0.7,0.01,0.02,0.03,0.01,0.03,Matches,amiens
8,Jordan Lefort,fr FRA,"DF,MF",24.0,27,24,2133.0,23.7,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.04,0.04,0.0,0.04,0.3,0.3,0.3,0.6,0.02,0.02,0.03,0.02,0.03,Matches,amiens
9,Khaled Adénon,bj BEN,DF,33.0,25,24,2109.0,23.4,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,0.9,0.04,0.0,0.04,0.04,0.04,Matches,amiens
10,Stiven Mendoza,co COL,"FW,MF",26.0,28,24,2023.0,22.5,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.09,0.09,0.18,0.09,0.18,2.8,2.8,1.9,4.7,0.13,0.09,0.23,0.13,0.23,Matches,amiens
11,Moussa Konaté,sn SEN,FW,25.0,28,21,1898.0,21.1,7.0,2.0,5.0,2.0,3.0,2.0,0.0,0.33,0.09,0.43,0.24,0.33,7.7,5.4,2.4,7.8,0.37,0.12,0.48,0.26,0.38,Matches,amiens
12,Saman Ghoddos,ir IRN,"FW,MF",24.0,28,20,1848.0,20.5,4.0,5.0,4.0,0.0,0.0,4.0,0.0,0.19,0.24,0.44,0.19,0.44,2.4,2.4,2.5,4.9,0.12,0.12,0.24,0.12,0.24,Matches,amiens
13,Cheick Timite,ci CIV,"FW,MF",20.0,31,18,1719.0,19.1,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.16,0.05,0.21,0.16,0.21,2.6,2.6,1.1,3.8,0.16,0.07,0.23,0.16,0.23,Matches,amiens
14,Erik Pieters,nl NED,DF,29.0,15,14,1261.0,14.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.07,0.07,0.14,0.07,0.14,1.1,1.1,1.4,2.5,0.08,0.1,0.18,0.08,0.18,Matches,amiens
15,Mathieu Bodmer,fr FRA,"MF,FW",35.0,29,13,1254.0,13.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,1.2,1.2,1.0,2.2,0.1,0.08,0.18,0.1,0.18,Matches,amiens
16,Sehrou Guirassy,fr FRA,FW,22.0,13,13,1111.0,12.3,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.24,0.08,0.32,0.24,0.32,3.9,3.9,1.0,4.9,0.32,0.08,0.4,0.32,0.4,Matches,amiens
17,Oualid El Hajjam,ma MAR,"DF,MF",27.0,15,10,904.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches,amiens
18,Ganso,br BRA,"MF,FW",28.0,13,6,610.0,6.8,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44,0.44,0.0,0.44,0.1,0.1,1.2,1.3,0.02,0.21,0.23,0.02,0.23,Matches,amiens
19,Rafał Kurzawa,pl POL,"FW,MF",25.0,14,5,486.0,5.4,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.19,0.0,0.19,0.19,0.19,0.3,0.3,0.1,0.4,0.13,0.02,0.15,0.13,0.15,Matches,amiens
20,Matthieu Dreyer,fr FRA,GK,29.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,amiens
21,Sanasi Sy,fr FRA,MF,19.0,4,3,271.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
22,Bongani Zungu,za RSA,MF,25.0,5,3,230.0,2.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.07,0.02,0.09,0.07,0.09,Matches,amiens
23,Quentin Cornette,fr FRA,"MF,FW",24.0,5,3,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.16,0.0,0.16,0.16,0.16,Matches,amiens
24,Gaoussou Traoré,fr FRA,MF,18.0,4,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.08,0.04,0.12,0.08,0.12,Matches,amiens
25,Guessouma Fofana,fr FRA,MF,25.0,3,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,amiens
26,Stanley Segarel,fr FRA,"FW,MF",24.0,5,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
27,Seybou Koita,ne NIG,FW,24.0,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,amiens
28,Iron Gomis,fr FRA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,amiens
29,Martin Gneba,ci CIV,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,amiens
30,Réda Rabeï,dz ALG,MF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,amiens
31,Mathurin Sakho,sn SEN,DF,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,amiens
32,Baptiste Santamaria,fr FRA,MF,23.0,40,39,3455.0,38.4,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.03,0.0,0.03,0.03,0.03,1.1,1.1,0.7,1.8,0.03,0.02,0.05,0.03,0.05,Matches,angers
33,Ludovic Butelle,fr FRA,GK,35.0,37,37,3329.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Matches,angers
34,Flavien Tait,fr FRA,"MF,FW",25.0,37,35,3054.0,33.9,5.0,7.0,5.0,0.0,1.0,2.0,0.0,0.15,0.21,0.35,0.15,0.35,6.7,5.7,7.1,12.8,0.2,0.21,0.42,0.17,0.39,Matches,angers
35,Vincent Manceau,fr FRA,DF,29.0,33,33,3000.0,33.3,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,1.3,2.0,0.02,0.04,0.06,0.02,0.06,Matches,angers
36,Ismaël Traoré,ci CIV,DF,31.0,31,29,2670.0,29.7,3.0,1.0,3.0,0.0,0.0,2.0,1.0,0.1,0.03,0.13,0.1,0.13,3.4,3.4,0.7,4.1,0.11,0.02,0.14,0.11,0.14,Matches,angers
37,Mateo Pavlović,ba BIH,DF,28.0,32,30,2666.0,29.6,2.0,1.0,2.0,0.0,0.0,7.0,1.0,0.07,0.03,0.1,0.07,0.1,2.4,2.4,0.2,2.6,0.09,0.01,0.09,0.09,0.09,Matches,angers
38,Jeff Reine-Adélaïde,fr FRA,"FW,MF",20.0,36,30,2633.0,29.3,3.0,3.0,3.0,0.0,1.0,2.0,0.0,0.1,0.1,0.21,0.1,0.21,4.5,3.8,2.7,6.5,0.16,0.09,0.25,0.13,0.23,Matches,angers
39,Abdoulaye Bamba,ci CIV,DF,28.0,30,29,2573.0,28.6,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.14,0.14,0.0,0.14,0.2,0.2,1.6,1.7,0.01,0.05,0.06,0.01,0.06,Matches,angers
40,Stéphane Bahoken,cm CMR,FW,26.0,33,32,2559.0,28.4,11.0,1.0,9.0,2.0,3.0,3.0,0.0,0.39,0.04,0.42,0.32,0.35,8.9,6.6,2.9,9.5,0.32,0.1,0.43,0.24,0.35,Matches,angers
41,Cheikh N'Doye,sn SEN,MF,32.0,29,28,2544.0,28.3,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.11,0.11,0.0,0.11,2.5,2.3,1.8,4.0,0.1,0.07,0.16,0.09,0.16,Matches,angers
42,Romain Thomas,fr FRA,DF,30.0,29,28,2484.0,27.6,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.07,0.04,0.11,0.07,0.11,1.6,1.6,0.2,1.9,0.06,0.01,0.07,0.06,0.07,Matches,angers
43,Pierrick Capelle,fr FRA,"MF,DF",31.0,28,22,1975.0,21.9,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.14,0.14,0.27,0.14,0.27,2.2,2.2,3.2,5.4,0.11,0.16,0.27,0.11,0.27,Matches,angers
44,Angelo Fulgini,fr FRA,"MF,FW",21.0,33,20,1845.0,20.5,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.2,0.05,0.24,0.2,0.24,3.2,3.2,2.9,6.1,0.17,0.16,0.33,0.17,0.33,Matches,angers
45,Thomas Mangani,fr FRA,MF,31.0,31,20,1734.0,19.3,3.0,0.0,0.0,3.0,4.0,3.0,1.0,0.16,0.0,0.16,0.0,0.0,4.0,0.9,3.0,4.0,0.22,0.17,0.39,0.05,0.22,Matches,angers
46,Vincent Pajot,fr FRA,MF,27.0,13,10,713.0,7.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.0,0.1,0.03,0.13,0.1,0.13,Matches,angers
47,Wilfried Kanga,fr FRA,FW,20.0,20,4,575.0,6.4,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.31,0.0,0.31,0.31,0.31,2.7,2.7,0.3,3.0,0.5,0.05,0.55,0.5,0.55,Matches,angers
48,Théo Pellenard,fr FRA,DF,24.0,6,6,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,0.01,0.08,0.1,0.01,0.1,Matches,angers
49,Cristian López,es ESP,FW,29.0,20,3,441.0,4.9,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.41,0.0,0.41,0.41,0.41,2.3,1.6,0.1,1.7,0.57,0.02,0.59,0.38,0.41,Matches,angers
50,Farid El Melali,dz ALG,"FW,MF",21.0,18,0,328.0,3.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27,0.27,0.0,0.27,0.4,0.4,0.2,0.6,0.12,0.05,0.17,0.12,0.17,Matches,angers
