,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,club
0,Víctor Laguardia,es ESP,DF,28.0,36.0,919.0,1252.0,73.4,22649.0,10080.0,230.0,278.0,82.7,440.0,510.0,86.3,245.0,446.0,54.9,2,1.1,0.9,7.0,89.0,8.0,0.0,92.0,Matches,alaves
1,Fernando Pacheco,es ESP,GK,26.0,35.0,580.0,1041.0,55.7,24678.0,18979.0,43.0,45.0,95.6,153.0,155.0,98.7,381.0,838.0,45.5,0,0.1,-0.1,3.0,16.0,0.0,0.0,0.0,Matches,alaves
2,Jony,es ESP,"MF,FW",27.0,33.1,657.0,1183.0,55.5,14071.0,6293.0,269.0,365.0,73.7,209.0,329.0,63.5,166.0,433.0,38.3,11,7.2,3.8,79.0,46.0,60.0,35.0,85.0,Matches,alaves
3,Jonathan Calleri,ar ARG,FW,24.0,32.3,457.0,740.0,61.8,6842.0,1613.0,265.0,371.0,71.4,132.0,241.0,54.8,38.0,73.0,52.1,2,2.1,-0.1,22.0,36.0,19.0,7.0,48.0,Matches,alaves
4,Rubén Duarte,es ESP,DF,22.0,30.8,847.0,1231.0,68.8,16222.0,8064.0,360.0,420.0,85.7,349.0,468.0,74.6,126.0,303.0,41.6,0,1.4,-1.4,21.0,95.0,21.0,11.0,85.0,Matches,alaves
5,Ximo Navarro,es ESP,DF,28.0,28.1,779.0,1001.0,77.8,15337.0,6160.0,295.0,335.0,88.1,369.0,435.0,84.8,108.0,199.0,54.3,2,1.2,0.8,13.0,53.0,13.0,8.0,57.0,Matches,alaves
6,Manu García,es ESP,MF,32.0,26.9,718.0,951.0,75.5,12736.0,3586.0,334.0,418.0,79.9,274.0,348.0,78.7,84.0,131.0,64.1,1,0.7,0.3,12.0,77.0,6.0,2.0,79.0,Matches,alaves
7,Tomás Pina Isla,es ESP,MF,30.0,26.0,886.0,1059.0,83.7,15754.0,4958.0,377.0,440.0,85.7,401.0,445.0,90.1,91.0,131.0,69.5,0,1.5,-1.5,19.0,85.0,6.0,2.0,108.0,Matches,alaves
8,Guillermo Maripán,cl CHI,DF,24.0,24.3,527.0,679.0,77.6,12316.0,4898.0,142.0,161.0,88.2,248.0,285.0,87.0,132.0,219.0,60.3,2,0.6,1.4,3.0,29.0,0.0,0.0,41.0,Matches,alaves
9,Martin Agirregabiria,es ESP,DF,22.0,23.6,673.0,968.0,69.5,11708.0,5682.0,311.0,366.0,85.0,301.0,410.0,73.4,56.0,159.0,35.2,0,0.4,-0.4,8.0,63.0,14.0,5.0,92.0,Matches,alaves
10,Darko Brašanac,rs SRB,MF,26.0,19.6,494.0,617.0,80.1,8965.0,2371.0,202.0,239.0,84.5,227.0,266.0,85.3,56.0,87.0,64.4,1,0.4,0.6,9.0,44.0,5.0,1.0,44.0,Matches,alaves
11,Wakaso,gh GHA,MF,28.0,18.5,506.0,669.0,75.6,10871.0,3081.0,178.0,209.0,85.2,212.0,264.0,80.3,107.0,177.0,60.5,1,0.5,0.5,8.0,70.0,14.0,4.0,68.0,Matches,alaves
12,Borja Bastón,es ESP,FW,25.0,17.8,208.0,321.0,64.8,2732.0,470.0,131.0,180.0,72.8,62.0,97.0,63.9,4.0,11.0,36.4,1,1.1,-0.1,9.0,11.0,4.0,1.0,11.0,Matches,alaves
13,Ibai Gómez,es ESP,"MF,FW",28.0,16.2,389.0,570.0,68.2,7003.0,2736.0,209.0,245.0,85.3,124.0,171.0,72.5,52.0,131.0,39.7,2,1.8,0.2,18.0,35.0,17.0,10.0,48.0,Matches,alaves
14,Rubén Sobrino,es ESP,"FW,MF",26.0,12.5,178.0,253.0,70.4,2573.0,542.0,102.0,140.0,72.9,55.0,75.0,73.3,11.0,20.0,55.0,1,1.1,-0.1,9.0,12.0,4.0,2.0,13.0,Matches,alaves
15,Takashi Inui,jp JPN,"MF,FW",30.0,9.2,188.0,255.0,73.7,2961.0,813.0,100.0,116.0,86.2,65.0,85.0,76.5,16.0,35.0,45.7,0,0.4,-0.4,2.0,15.0,7.0,2.0,21.0,Matches,alaves
16,Carlos Vigaray,es ESP,DF,23.0,9.2,172.0,229.0,75.1,3249.0,1731.0,77.0,85.0,90.6,70.0,90.0,77.8,23.0,45.0,51.1,0,0.3,-0.3,5.0,13.0,8.0,4.0,16.0,Matches,alaves
17,John Guidetti,se SWE,FW,26.0,8.5,107.0,158.0,67.7,1406.0,332.0,69.0,87.0,79.3,27.0,50.0,54.0,4.0,9.0,44.4,1,0.6,0.4,8.0,5.0,5.0,3.0,9.0,Matches,alaves
18,Burgui,es ESP,"MF,FW",24.0,8.2,167.0,212.0,78.8,2930.0,961.0,85.0,98.0,86.7,57.0,72.0,79.2,22.0,35.0,62.9,2,0.6,-0.6,11.0,17.0,7.0,2.0,23.0,Matches,alaves
