,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,club
0,Régis Gurtner,fr FRA,GK,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,Matches,amiens
1,Bakaye Dibassy,ml MLI,DF,28.0,34.7,40.0,28.0,25.0,11.0,4.0,14.0,34.0,41.2,20.0,318.0,108.0,34.0,155.0,129.0,34.0,64.0,22.0,1.0,42.0,27.0,65,121.0,1.0,Matches,amiens
2,Emil Krafth,se SWE,DF,23.0,34.0,62.0,39.0,39.0,18.0,5.0,26.0,74.0,35.1,48.0,448.0,126.0,28.1,255.0,140.0,53.0,66.0,14.0,1.0,52.0,17.0,79,105.0,0.0,Matches,amiens
3,Thomas Monconduit,fr FRA,MF,27.0,31.9,84.0,61.0,40.0,38.0,6.0,22.0,80.0,27.5,58.0,592.0,158.0,26.7,224.0,313.0,55.0,49.0,15.0,0.0,34.0,24.0,107,87.0,1.0,Matches,amiens
4,Prince-Désir Gouano,fr FRA,DF,24.0,31.1,34.0,21.0,27.0,7.0,0.0,9.0,26.0,34.6,17.0,221.0,73.0,33.0,162.0,50.0,9.0,45.0,26.0,0.0,19.0,29.0,63,161.0,1.0,Matches,amiens
5,Eddy Gnahoré,fr FRA,MF,24.0,28.4,47.0,36.0,24.0,18.0,5.0,7.0,48.0,14.6,41.0,492.0,129.0,26.2,150.0,275.0,67.0,45.0,4.0,0.0,41.0,15.0,62,28.0,0.0,Matches,amiens
6,Juan Ferney Otero,co COL,"FW,MF",23.0,27.0,25.0,18.0,9.0,11.0,5.0,10.0,48.0,20.8,38.0,541.0,116.0,21.4,128.0,240.0,173.0,36.0,4.0,0.0,32.0,15.0,40,13.0,0.0,Matches,amiens
7,Alexis Blin,fr FRA,MF,21.0,25.1,74.0,59.0,29.0,36.0,9.0,22.0,90.0,24.4,68.0,540.0,140.0,25.9,171.0,312.0,57.0,47.0,13.0,0.0,34.0,25.0,97,56.0,0.0,Matches,amiens
8,Jordan Lefort,fr FRA,"DF,MF",24.0,23.7,29.0,19.0,20.0,6.0,3.0,13.0,29.0,44.8,16.0,181.0,51.0,28.2,125.0,35.0,21.0,37.0,11.0,0.0,26.0,37.0,60,126.0,0.0,Matches,amiens
9,Khaled Adénon,bj BEN,DF,33.0,23.4,31.0,25.0,20.0,11.0,0.0,13.0,31.0,41.9,18.0,158.0,68.0,43.0,85.0,67.0,6.0,36.0,11.0,0.0,25.0,21.0,50,118.0,0.0,Matches,amiens
10,Stiven Mendoza,co COL,"FW,MF",26.0,22.5,36.0,22.0,14.0,16.0,6.0,12.0,37.0,32.4,25.0,455.0,107.0,23.5,116.0,220.0,119.0,27.0,0.0,0.0,27.0,12.0,45,9.0,0.0,Matches,amiens
11,Moussa Konaté,sn SEN,FW,25.0,21.1,12.0,9.0,3.0,3.0,6.0,2.0,18.0,11.1,16.0,358.0,82.0,22.9,30.0,181.0,147.0,23.0,3.0,0.0,20.0,5.0,17,9.0,0.0,Matches,amiens
12,Saman Ghoddos,ir IRN,"FW,MF",24.0,20.5,33.0,18.0,11.0,17.0,5.0,9.0,41.0,22.0,32.0,388.0,87.0,22.4,77.0,196.0,115.0,25.0,2.0,0.0,23.0,3.0,36,12.0,0.0,Matches,amiens
13,Cheick Timite,ci CIV,"FW,MF",20.0,19.1,24.0,18.0,5.0,10.0,9.0,7.0,27.0,25.9,20.0,354.0,82.0,23.2,82.0,159.0,113.0,19.0,2.0,0.0,17.0,9.0,31,18.0,0.0,Matches,amiens
14,Erik Pieters,nl NED,DF,29.0,14.0,54.0,35.0,32.0,18.0,4.0,19.0,31.0,61.3,12.0,241.0,76.0,31.5,126.0,84.0,31.0,30.0,11.0,0.0,19.0,11.0,65,63.0,0.0,Matches,amiens
15,Mathieu Bodmer,fr FRA,"MF,FW",35.0,13.9,16.0,13.0,5.0,9.0,2.0,4.0,14.0,28.6,10.0,176.0,44.0,25.0,22.0,97.0,57.0,8.0,2.0,0.0,6.0,5.0,20,11.0,0.0,Matches,amiens
