,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,club
0,Joselu,es ESP,FW,29.0,30.9,995.0,973.0,22.0,0.0,2.0,397.0,15.0,15,0.0,0.0,0.0,0.0,351.0,256.0,388.0,135.0,410.0,180.0,3.0,33.0,541.0,14.0,33.0,21.0,30.0,Matches,Alaves
1,Víctor Laguardia,es ESP,DF,29.0,29.5,1026.0,966.0,60.0,60.0,1.0,159.0,46.0,4,0.0,0.0,0.0,0.0,508.0,113.0,405.0,65.0,811.0,115.0,0.0,1.0,774.0,3.0,41.0,7.0,6.0,Matches,Alaves
2,Rubén Duarte,es ESP,DF,23.0,29.6,1310.0,971.0,339.0,33.0,0.0,229.0,27.0,44,4.0,0.0,1.0,0.0,549.0,266.0,495.0,778.0,116.0,80.0,302.0,4.0,933.0,3.0,29.0,18.0,38.0,Matches,Alaves
3,Lucas Pérez,es ESP,FW,30.0,27.7,705.0,540.0,165.0,49.0,6.0,147.0,46.0,64,63.0,22.0,23.0,6.0,399.0,129.0,177.0,586.0,85.0,16.0,8.0,2.0,448.0,5.0,32.0,25.0,28.0,Matches,Alaves
4,Fernando Pacheco,es ESP,GK,27.0,26.2,814.0,468.0,346.0,93.0,0.0,44.0,18.0,0,0.0,0.0,0.0,0.0,149.0,43.0,622.0,509.0,129.0,1.0,0.0,93.0,471.0,3.0,25.0,4.0,3.0,Matches,Alaves
5,Aleix Vidal,es ESP,MF,29.0,24.1,848.0,699.0,149.0,67.0,2.0,163.0,51.0,57,45.0,14.0,16.0,4.0,495.0,166.0,187.0,90.0,689.0,27.0,24.0,10.0,611.0,5.0,26.0,21.0,35.0,Matches,Alaves
6,Rodrigo Ely,br BRA,DF,25.0,23.6,839.0,799.0,40.0,39.0,0.0,105.0,43.0,0,0.0,0.0,0.0,0.0,457.0,117.0,265.0,109.0,588.0,100.0,0.0,6.0,667.0,0.0,21.0,4.0,8.0,Matches,Alaves
7,Martin Agirregabiria,es ESP,DF,23.0,23.3,1014.0,765.0,249.0,9.0,1.0,161.0,22.0,30,2.0,0.0,1.0,0.0,484.0,234.0,296.0,39.0,661.0,61.0,238.0,3.0,722.0,3.0,31.0,17.0,44.0,Matches,Alaves
8,Manu García,es ESP,MF,33.0,21.9,710.0,698.0,12.0,11.0,1.0,172.0,19.0,5,0.0,0.0,0.0,0.0,411.0,122.0,177.0,354.0,214.0,101.0,0.0,3.0,521.0,2.0,30.0,6.0,26.0,Matches,Alaves
9,Ximo Navarro,es ESP,DF,29.0,21.1,848.0,670.0,178.0,26.0,0.0,140.0,22.0,15,0.0,0.0,0.0,0.0,418.0,150.0,280.0,65.0,531.0,75.0,152.0,2.0,643.0,3.0,24.0,8.0,17.0,Matches,Alaves
10,Luis Rioja,es ESP,MF,25.0,18.2,436.0,413.0,23.0,8.0,0.0,73.0,7.0,36,5.0,1.0,3.0,0.0,280.0,69.0,87.0,350.0,39.0,27.0,8.0,4.0,306.0,3.0,11.0,9.0,32.0,Matches,Alaves
11,Tomás Pina Isla,es ESP,MF,31.0,14.9,525.0,515.0,10.0,5.0,0.0,100.0,10.0,4,0.0,0.0,0.0,0.0,340.0,89.0,96.0,230.0,227.0,35.0,5.0,2.0,419.0,2.0,5.0,9.0,15.0,Matches,Alaves
