,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,club
12,Víctor Camarasa,es ESP,MF,25.0,14.4,533.0,491.0,42.0,24.0,2.0,121.0,26.0,13,11.0,4.0,4.0,1.0,359.0,77.0,97.0,53.0,448.0,21.0,1.0,1.0,430.0,1.0,14.0,8.0,11.0,Matches,Alaves
13,Wakaso,gh GHA,MF,29.0,14.3,488.0,461.0,27.0,10.0,3.0,95.0,39.0,18,1.0,0.0,0.0,0.0,280.0,80.0,128.0,403.0,21.0,35.0,15.0,2.0,351.0,3.0,16.0,13.0,8.0,Matches,Alaves
14,Oliver Burke,sco SCO,"MF,FW",22.0,15.9,333.0,323.0,10.0,0.0,1.0,90.0,3.0,19,0.0,0.0,0.0,0.0,204.0,72.0,57.0,28.0,230.0,46.0,7.0,2.0,226.0,1.0,4.0,5.0,17.0,Matches,Alaves
15,Lisandro Magallán,ar ARG,DF,25.0,13.3,426.0,396.0,30.0,27.0,3.0,65.0,15.0,0,0.0,0.0,0.0,0.0,233.0,54.0,139.0,73.0,288.0,45.0,3.0,2.0,341.0,0.0,16.0,3.0,4.0,Matches,Alaves
16,Ljubomir Fejsa,rs SRB,MF,30.0,8.7,290.0,288.0,2.0,1.0,0.0,63.0,3.0,0,0.0,0.0,0.0,0.0,174.0,55.0,61.0,29.0,220.0,20.0,1.0,2.0,234.0,1.0,3.0,4.0,8.0,Matches,Alaves
17,Édgar Méndez,es ESP,"MF,FW",29.0,9.6,197.0,193.0,4.0,1.0,0.0,48.0,5.0,11,0.0,0.0,0.0,0.0,121.0,32.0,44.0,34.0,129.0,22.0,2.0,0.0,134.0,0.0,4.0,2.0,11.0,Matches,Alaves
18,Adrián Marín,es ESP,DF,22.0,9.5,355.0,255.0,100.0,11.0,0.0,39.0,8.0,16,2.0,0.0,2.0,0.0,169.0,74.0,112.0,230.0,12.0,19.0,87.0,4.0,253.0,3.0,6.0,7.0,10.0,Matches,Alaves
19,Roberto,es ESP,GK,33.0,8.8,238.0,127.0,111.0,42.0,0.0,9.0,10.0,0,0.0,0.0,0.0,0.0,31.0,5.0,202.0,4.0,201.0,0.0,0.0,9.0,122.0,0.0,15.0,0.0,1.0,Matches,Alaves
20,Pere Pons,es ESP,MF,26.0,12.1,378.0,366.0,12.0,7.0,2.0,101.0,11.0,8,0.0,0.0,0.0,0.0,240.0,62.0,76.0,59.0,272.0,25.0,1.0,5.0,280.0,0.0,7.0,4.0,12.0,Matches,Alaves
21,Borja Sainz,es ESP,"MF,FW",18.0,6.4,130.0,128.0,2.0,1.0,0.0,36.0,1.0,9,0.0,0.0,0.0,0.0,77.0,28.0,25.0,12.0,107.0,2.0,1.0,3.0,94.0,0.0,1.0,2.0,11.0,Matches,Alaves
22,Antonio Sivera,es ESP,GK,22.0,3.0,83.0,42.0,41.0,14.0,0.0,6.0,3.0,0,0.0,0.0,0.0,0.0,19.0,1.0,63.0,6.0,64.0,0.0,0.0,9.0,43.0,0.0,6.0,0.0,0.0,Matches,Alaves
23,Tachi,es ESP,DF,21.0,2.6,59.0,46.0,13.0,3.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,28.0,10.0,21.0,4.0,42.0,2.0,10.0,0.0,43.0,2.0,2.0,1.0,0.0,Matches,Alaves
24,Abdallahi Mahmoud,mr MTN,MF,19.0,1.7,38.0,38.0,0.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0,27.0,10.0,1.0,3.0,28.0,3.0,0.0,1.0,33.0,0.0,2.0,0.0,2.0,Matches,Alaves
25,John Guidetti,se SWE,FW,27.0,1.1,35.0,33.0,2.0,0.0,1.0,10.0,1.0,0,1.0,0.0,0.0,0.0,19.0,11.0,5.0,2.0,27.0,5.0,0.0,0.0,22.0,0.0,2.0,1.0,4.0,Matches,Alaves
26,Javi López,es ESP,DF,17.0,1.0,30.0,22.0,8.0,0.0,0.0,6.0,0.0,2,0.0,0.0,0.0,0.0,13.0,7.0,10.0,18.0,1.0,2.0,8.0,0.0,18.0,0.0,0.0,0.0,2.0,Matches,Alaves
27,Guillermo Maripán,cl CHI,DF,25.0,1.0,11.0,10.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,1.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,Matches,Alaves
28,Javier Muñoz,es ESP,MF,24.0,0.6,18.0,18.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,1.0,16.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Matches,Alaves
29,Paulino,es ESP,MF,22.0,0.8,29.0,26.0,3.0,1.0,0.0,3.0,3.0,3,2.0,1.0,1.0,0.0,12.0,5.0,12.0,18.0,6.0,4.0,0.0,0.0,16.0,1.0,2.0,0.0,0.0,Matches,Alaves
30,Burgui,es ESP,MF,25.0,0.2,7.0,6.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,Matches,Alaves
31,José Luis Rodríguez,pa PAN,FW,21.0,0.2,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,Matches,Alaves
32,Squad Total,,,27.6,38.0,13753.0,11751.0,2002.0,544.0,25.0,2598.0,458.0,373,136.0,42.0,51.0,11.0,6874.0,2348.0,4531.0,4294.0,6628.0,1070.0,876.0,203.0,9724.0,58.0,408.0,199.0,385.0,,Alaves
33,Opponent Total,,,27.3,38.0,19824.0,17805.0,2019.0,634.0,51.0,3102.0,751.0,486,176.0,61.0,59.0,9.0,12104.0,3279.0,4441.0,5696.0,11454.0,1031.0,907.0,250.0,15810.0,80.0,429.0,204.0,456.0,,Alaves
34,Régis Gurtner,fr FRA,GK,32.0,28.0,821.0,489.0,332.0,78.0,0.0,71.0,33.0,0,0.0,0.0,0.0,0.0,267.0,47.0,507.0,22.0,639.0,1.0,0.0,95.0,520.0,0.0,33.0,3.0,4.0,Matches,amiens
35,Haitam Aleesami,no NOR,DF,28.0,24.6,1170.0,934.0,236.0,19.0,0.0,200.0,17.0,37,4.0,1.0,2.0,0.0,648.0,231.0,291.0,757.0,124.0,57.0,213.0,1.0,910.0,2.0,13.0,24.0,23.0,Matches,amiens
36,Arturo Calabresi,it ITA,DF,23.0,24.4,964.0,722.0,242.0,15.0,0.0,123.0,17.0,28,0.0,0.0,0.0,0.0,448.0,207.0,309.0,59.0,613.0,49.0,227.0,2.0,714.0,0.0,25.0,16.0,31.0,Matches,amiens
37,Aurélien Chedjou,cm CMR,DF,34.0,24.1,994.0,952.0,42.0,40.0,0.0,134.0,45.0,0,0.0,0.0,0.0,0.0,660.0,118.0,216.0,150.0,777.0,47.0,2.0,2.0,828.0,3.0,20.0,11.0,10.0,Matches,amiens
38,Bakaye Dibassy,ml MLI,DF,29.0,24.1,902.0,844.0,58.0,15.0,0.0,126.0,9.0,7,0.0,0.0,0.0,0.0,629.0,109.0,164.0,631.0,166.0,47.0,43.0,6.0,732.0,1.0,31.0,12.0,15.0,Matches,amiens
39,Alexis Blin,fr FRA,MF,22.0,22.4,1040.0,1002.0,38.0,30.0,1.0,184.0,30.0,10,5.0,3.0,0.0,1.0,730.0,134.0,176.0,94.0,858.0,53.0,2.0,11.0,874.0,2.0,14.0,22.0,13.0,Matches,amiens
40,Gaël Kakuta,cd COD,"MF,FW",28.0,22.2,868.0,799.0,69.0,15.0,6.0,201.0,20.0,45,34.0,11.0,11.0,1.0,542.0,157.0,169.0,711.0,106.0,22.0,4.0,5.0,592.0,7.0,23.0,20.0,46.0,Matches,amiens
41,Sehrou Guirassy,fr FRA,FW,23.0,22.1,622.0,598.0,24.0,1.0,3.0,226.0,9.0,6,0.0,0.0,0.0,0.0,381.0,127.0,114.0,53.0,446.0,38.0,4.0,8.0,455.0,2.0,12.0,11.0,37.0,Matches,amiens
42,Thomas Monconduit,fr FRA,MF,28.0,18.8,709.0,638.0,71.0,42.0,1.0,142.0,33.0,17,16.0,9.0,5.0,0.0,452.0,97.0,160.0,131.0,521.0,37.0,1.0,2.0,546.0,4.0,16.0,18.0,21.0,Matches,amiens
43,Fousseni Diabaté,ml MLI,"FW,MF",23.0,15.4,482.0,472.0,10.0,4.0,1.0,97.0,9.0,28,1.0,0.0,1.0,0.0,335.0,98.0,49.0,345.0,110.0,13.0,5.0,2.0,362.0,1.0,7.0,12.0,21.0,Matches,amiens
44,Eddy Gnahoré,fr FRA,MF,25.0,14.9,726.0,694.0,32.0,28.0,1.0,140.0,14.0,3,0.0,0.0,0.0,0.0,590.0,74.0,62.0,37.0,656.0,18.0,3.0,5.0,665.0,1.0,5.0,4.0,10.0,Matches,amiens
45,Juan Ferney Otero,co COL,"FW,MF",24.0,14.4,362.0,340.0,22.0,3.0,0.0,105.0,5.0,29,5.0,1.0,2.0,0.0,199.0,87.0,76.0,45.0,248.0,23.0,10.0,5.0,241.0,3.0,7.0,5.0,23.0,Matches,amiens
46,Stiven Mendoza,co COL,"FW,MF",27.0,14.0,375.0,360.0,15.0,3.0,3.0,98.0,11.0,15,3.0,3.0,0.0,0.0,247.0,81.0,47.0,320.0,32.0,8.0,4.0,5.0,264.0,1.0,10.0,11.0,24.0,Matches,amiens
47,Jordan Lefort,fr FRA,DF,25.0,13.7,484.0,441.0,43.0,8.0,0.0,40.0,19.0,7,0.0,0.0,0.0,0.0,304.0,63.0,117.0,381.0,47.0,17.0,35.0,1.0,400.0,0.0,10.0,6.0,7.0,Matches,amiens
48,Bongani Zungu,za RSA,MF,26.0,13.4,538.0,523.0,15.0,13.0,1.0,99.0,24.0,3,0.0,0.0,0.0,0.0,365.0,70.0,103.0,27.0,457.0,33.0,0.0,7.0,437.0,0.0,7.0,19.0,3.0,Matches,amiens
49,Christophe Jallet,fr FRA,DF,35.0,10.5,556.0,421.0,135.0,17.0,0.0,46.0,19.0,30,15.0,8.0,2.0,2.0,283.0,132.0,141.0,83.0,343.0,18.0,103.0,5.0,433.0,2.0,5.0,11.0,14.0,Matches,amiens
50,Moussa Konaté,sn SEN,FW,26.0,8.5,118.0,103.0,15.0,0.0,0.0,26.0,1.0,1,0.0,0.0,0.0,0.0,73.0,29.0,16.0,22.0,71.0,8.0,1.0,4.0,87.0,0.0,2.0,1.0,7.0,Matches,amiens
51,Nicholas Opoku,gh GHA,DF,21.0,7.0,214.0,206.0,8.0,6.0,0.0,23.0,9.0,0,1.0,0.0,0.0,0.0,141.0,19.0,54.0,17.0,173.0,14.0,1.0,0.0,170.0,0.0,4.0,1.0,4.0,Matches,amiens
52,Chadrac Akolo,cd COD,"FW,MF",24.0,6.9,206.0,202.0,4.0,2.0,0.0,48.0,3.0,10,1.0,0.0,0.0,1.0,164.0,21.0,21.0,14.0,181.0,6.0,1.0,0.0,172.0,0.0,2.0,6.0,4.0,Matches,amiens
53,Quentin Cornette,fr FRA,"FW,MF",25.0,5.6,141.0,123.0,18.0,1.0,1.0,36.0,14.0,34,13.0,8.0,3.0,0.0,55.0,38.0,48.0,15.0,114.0,4.0,4.0,1.0,77.0,1.0,10.0,0.0,12.0,Matches,amiens
54,Matthieu Dreyer,fr FRA,GK,30.0,4.3,,,,,,,,0,,,,,,,,,,,,,,,,,,Matches,amiens
55,Saman Ghoddos,ir IRN,FW,25.0,3.4,96.0,82.0,14.0,4.0,1.0,13.0,6.0,7,6.0,2.0,3.0,0.0,56.0,14.0,26.0,11.0,81.0,1.0,2.0,0.0,73.0,0.0,1.0,1.0,3.0,Matches,amiens
56,Prince-Désir Gouano,fr FRA,DF,25.0,3.0,99.0,94.0,5.0,5.0,0.0,14.0,1.0,1,0.0,0.0,0.0,0.0,74.0,8.0,17.0,9.0,86.0,4.0,0.0,0.0,86.0,0.0,3.0,0.0,1.0,Matches,amiens
57,Mathieu Bodmer,fr FRA,MF,36.0,1.9,93.0,92.0,1.0,1.0,1.0,25.0,2.0,1,0.0,0.0,0.0,0.0,59.0,16.0,18.0,10.0,74.0,2.0,0.0,1.0,76.0,0.0,1.0,2.0,0.0,Matches,amiens
58,Mahdi Talal,fr FRA,FW,21.0,1.7,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Matches,amiens
59,Cheick Timite,ci CIV,"MF,FW",21.0,1.3,41.0,40.0,1.0,0.0,0.0,6.0,2.0,2,0.0,0.0,0.0,0.0,27.0,6.0,8.0,3.0,32.0,2.0,1.0,1.0,32.0,0.0,1.0,0.0,1.0,Matches,amiens
60,Jonathan Bumbu,fr FRA,MF,20.0,1.1,,,,,,,,0,,,,,,,,,,,,,,,,,,Matches,amiens
61,Isaac Mbenza,be BEL,FW,23.0,0.9,37.0,32.0,5.0,1.0,0.0,6.0,1.0,3,3.0,0.0,1.0,1.0,27.0,3.0,7.0,2.0,34.0,0.0,1.0,0.0,27.0,1.0,1.0,0.0,2.0,Matches,amiens
62,Jack Lahne,se SWE,FW,17.0,0.4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,amiens
63,Baptiste Santamaria,fr FRA,MF,24.0,30.2,1340.0,1317.0,23.0,19.0,5.0,242.0,73.0,4,0.0,0.0,0.0,0.0,871.0,206.0,263.0,121.0,1093.0,86.0,4.0,5.0,1117.0,2.0,21.0,20.0,34.0,Matches,angers
64,Romain Thomas,fr FRA,DF,31.0,29.4,1136.0,1082.0,54.0,52.0,0.0,115.0,51.0,1,0.0,0.0,0.0,0.0,781.0,118.0,237.0,926.0,120.0,65.0,2.0,0.0,992.0,3.0,20.0,6.0,7.0,Matches,angers
65,Ludovic Butelle,fr FRA,GK,36.0,26.0,696.0,414.0,282.0,79.0,0.0,46.0,11.0,0,0.0,0.0,0.0,0.0,265.0,49.0,382.0,322.0,206.0,2.0,0.0,115.0,449.0,1.0,15.0,1.0,0.0,Matches,angers
66,Vincent Manceau,fr FRA,DF,30.0,25.1,1317.0,1065.0,252.0,13.0,2.0,174.0,20.0,41,0.0,0.0,0.0,0.0,738.0,283.0,296.0,113.0,914.0,36.0,239.0,6.0,1063.0,2.0,28.0,25.0,36.0,Matches,angers
67,Thomas Mangani,fr FRA,MF,32.0,23.6,1366.0,1209.0,157.0,75.0,2.0,186.0,55.0,47,73.0,19.0,45.0,5.0,780.0,228.0,358.0,1101.0,205.0,33.0,9.0,6.0,1073.0,2.0,17.0,19.0,25.0,Matches,angers
68,Ismaël Traoré,ci CIV,DF,32.0,22.8,1027.0,993.0,34.0,31.0,2.0,113.0,19.0,2,0.0,0.0,0.0,0.0,787.0,94.0,146.0,105.0,879.0,28.0,3.0,1.0,877.0,2.0,16.0,22.0,12.0,Matches,angers
69,Pierrick Capelle,fr FRA,"MF,DF",32.0,21.9,790.0,746.0,44.0,8.0,1.0,147.0,17.0,25,4.0,3.0,0.0,0.0,529.0,142.0,119.0,594.0,108.0,30.0,32.0,2.0,646.0,2.0,10.0,10.0,18.0,Matches,angers
70,Angelo Fulgini,fr FRA,MF,22.0,20.3,930.0,852.0,78.0,31.0,0.0,192.0,29.0,32,38.0,8.0,21.0,5.0,674.0,137.0,119.0,83.0,798.0,16.0,8.0,9.0,741.0,3.0,14.0,24.0,36.0,Matches,angers
71,Rachid Alioui,ma MAR,FW,27.0,19.2,467.0,430.0,37.0,3.0,1.0,116.0,7.0,15,1.0,1.0,0.0,0.0,300.0,90.0,77.0,97.0,301.0,28.0,2.0,7.0,342.0,0.0,7.0,19.0,21.0,Matches,angers
72,Sada Thioub,sn SEN,"MF,FW",24.0,18.9,696.0,665.0,31.0,6.0,3.0,171.0,15.0,46,2.0,0.0,2.0,0.0,486.0,109.0,101.0,80.0,573.0,18.0,15.0,3.0,555.0,0.0,12.0,13.0,28.0,Matches,angers
73,Mathias Pereira Lage,pt POR,MF,22.0,18.7,542.0,525.0,17.0,4.0,4.0,106.0,7.0,29,10.0,4.0,6.0,0.0,347.0,88.0,107.0,76.0,411.0,26.0,3.0,4.0,391.0,1.0,13.0,17.0,26.0,Matches,angers
74,Rayan Aït Nouri,fr FRA,DF,18.0,14.2,801.0,649.0,152.0,7.0,1.0,104.0,21.0,38,3.0,0.0,2.0,1.0,446.0,147.0,208.0,554.0,72.0,22.0,142.0,1.0,625.0,2.0,19.0,17.0,30.0,Matches,angers
75,Mateo Pavlović,ba BIH,DF,29.0,13.4,335.0,329.0,6.0,6.0,0.0,44.0,16.0,1,0.0,0.0,0.0,0.0,239.0,58.0,38.0,38.0,252.0,29.0,0.0,1.0,299.0,0.0,2.0,1.0,3.0,Matches,angers
76,Stéphane Bahoken,cm CMR,FW,27.0,13.3,204.0,185.0,19.0,0.0,1.0,49.0,6.0,16,0.0,0.0,0.0,0.0,138.0,43.0,23.0,15.0,171.0,3.0,2.0,7.0,150.0,1.0,6.0,3.0,6.0,Matches,angers
77,Antonin Bobichon,fr FRA,MF,23.0,10.1,283.0,260.0,23.0,6.0,1.0,44.0,9.0,8,15.0,4.0,7.0,4.0,195.0,36.0,52.0,17.0,249.0,10.0,2.0,2.0,221.0,1.0,3.0,5.0,6.0,Matches,angers
78,Abdoulaye Bamba,ci CIV,DF,29.0,8.5,279.0,221.0,58.0,5.0,0.0,36.0,3.0,15,0.0,0.0,0.0,0.0,150.0,51.0,78.0,12.0,202.0,10.0,53.0,0.0,207.0,0.0,2.0,3.0,11.0,Matches,angers
79,Casimir Ninga,td CHA,"MF,FW",26.0,8.2,207.0,202.0,5.0,0.0,0.0,40.0,4.0,10,0.0,0.0,0.0,0.0,151.0,29.0,27.0,13.0,178.0,5.0,5.0,2.0,160.0,0.0,3.0,7.0,6.0,Matches,angers
80,Théo Pellenard,fr FRA,DF,25.0,7.3,281.0,233.0,48.0,1.0,0.0,42.0,2.0,23,0.0,0.0,0.0,0.0,153.0,70.0,58.0,181.0,43.0,6.0,47.0,1.0,210.0,0.0,3.0,10.0,12.0,Matches,angers
81,Danijel Petković,me MNE,GK,26.0,6.3,54.0,27.0,27.0,8.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,22.0,3.0,29.0,4.0,37.0,0.0,0.0,10.0,39.0,0.0,0.0,0.0,0.0,Matches,angers
82,Farid El Melali,dz ALG,"MF,FW",22.0,5.4,103.0,103.0,0.0,0.0,0.0,32.0,3.0,7,0.0,0.0,0.0,0.0,68.0,27.0,8.0,4.0,93.0,4.0,0.0,1.0,70.0,0.0,2.0,8.0,7.0,Matches,angers
83,Souleyman Doumbia,ci CIV,DF,22.0,5.0,303.0,240.0,63.0,2.0,1.0,35.0,7.0,12,0.0,0.0,0.0,0.0,182.0,53.0,68.0,207.0,24.0,9.0,61.0,0.0,233.0,1.0,6.0,5.0,9.0,Matches,angers
84,Vincent Pajot,fr FRA,MF,28.0,2.3,48.0,48.0,0.0,0.0,0.0,10.0,1.0,1,0.0,0.0,0.0,0.0,38.0,6.0,4.0,5.0,39.0,1.0,0.0,0.0,36.0,1.0,1.0,0.0,2.0,Matches,angers
85,Zinédine Ould Khaled,fr FRA,MF,19.0,1.7,25.0,25.0,0.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,2.0,21.0,1.0,0.0,1.0,22.0,0.0,0.0,1.0,1.0,Matches,angers
86,Ibrahim Cissé,sn SEN,DF,23.0,1.6,63.0,48.0,15.0,1.0,0.0,5.0,0.0,1,0.0,0.0,0.0,0.0,40.0,13.0,10.0,2.0,44.0,2.0,14.0,0.0,57.0,0.0,1.0,2.0,0.0,Matches,angers
87,Wilfried Kanga,fr FRA,FW,21.0,1.0,17.0,15.0,2.0,0.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,12.0,3.0,2.0,2.0,13.0,2.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0,Matches,angers
88,Jeff Reine-Adélaïde,fr FRA,MF,21.0,0.9,36.0,34.0,2.0,0.0,1.0,6.0,1.0,0,0.0,0.0,0.0,0.0,31.0,3.0,2.0,5.0,29.0,1.0,0.0,1.0,29.0,0.0,3.0,2.0,0.0,Matches,angers
89,Pierre-Emerick Aubameyang,ga GAB,FW,30.0,41.4,1012.0,973.0,39.0,0.0,1.0,277.0,12.0,95,2.0,0.0,0.0,0.0,624.0,207.0,181.0,109.0,840.0,28.0,3.0,3.0,705.0,2.0,24.0,27.0,58.0,Matches,Arsenal
90,David Luiz,br BRA,DF,32.0,40.4,1977.0,1864.0,113.0,108.0,6.0,279.0,82.0,6,0.0,0.0,0.0,0.0,1419.0,204.0,354.0,468.0,1420.0,59.0,5.0,10.0,1712.0,7.0,34.0,10.0,18.0,Matches,Arsenal
91,Granit Xhaka,ch SUI,"MF,DF",26.0,38.1,2182.0,2091.0,91.0,66.0,5.0,421.0,95.0,22,10.0,2.0,8.0,0.0,1513.0,343.0,326.0,1702.0,326.0,94.0,15.0,4.0,1906.0,9.0,28.0,26.0,31.0,Matches,Arsenal
92,Bernd Leno,de GER,GK,27.0,31.8,1053.0,722.0,331.0,63.0,0.0,134.0,22.0,0,0.0,0.0,0.0,0.0,657.0,56.0,340.0,168.0,668.0,4.0,0.0,185.0,797.0,6.0,24.0,3.0,1.0,Matches,Arsenal
93,Bukayo Saka,eng ENG,"DF,FW",17.0,30.4,1078.0,928.0,150.0,15.0,4.0,215.0,23.0,79,11.0,3.0,4.0,3.0,679.0,223.0,176.0,743.0,176.0,26.0,124.0,2.0,838.0,6.0,25.0,27.0,48.0,Matches,Arsenal
94,Nicolas Pépé,ci CIV,"FW,DF",24.0,30.2,986.0,885.0,101.0,14.0,3.0,207.0,39.0,90,73.0,26.0,20.0,17.0,713.0,98.0,175.0,834.0,98.0,24.0,14.0,5.0,761.0,1.0,17.0,15.0,40.0,Matches,Arsenal
95,Alexandre Lacazette,fr FRA,FW,28.0,28.6,613.0,562.0,51.0,1.0,5.0,153.0,10.0,22,0.0,0.0,0.0,0.0,413.0,121.0,79.0,86.0,497.0,11.0,0.0,8.0,465.0,0.0,16.0,13.0,26.0,Matches,Arsenal
96,Mattéo Guendouzi,fr FRA,MF,20.0,26.8,1389.0,1347.0,42.0,30.0,3.0,275.0,35.0,7,1.0,0.0,0.0,0.0,1127.0,137.0,125.0,81.0,1248.0,41.0,10.0,5.0,1234.0,5.0,8.0,23.0,36.0,Matches,Arsenal
97,Dani Ceballos,es ESP,MF,22.0,26.3,1586.0,1462.0,124.0,43.0,6.0,247.0,71.0,40,77.0,13.0,22.0,11.0,1183.0,173.0,230.0,80.0,1468.0,23.0,4.0,4.0,1349.0,3.0,20.0,24.0,38.0,Matches,Arsenal
98,Sokratis Papastathopoulos,gr GRE,DF,31.0,25.8,1215.0,1161.0,54.0,38.0,0.0,171.0,46.0,2,0.0,0.0,0.0,0.0,950.0,127.0,138.0,48.0,1106.0,23.0,16.0,2.0,1103.0,2.0,10.0,5.0,10.0,Matches,Arsenal
99,Shkodran Mustafi,de GER,DF,27.0,25.3,1248.0,1222.0,26.0,24.0,0.0,157.0,42.0,0,0.0,0.0,0.0,0.0,942.0,96.0,210.0,50.0,1083.0,70.0,2.0,7.0,1065.0,1.0,21.0,10.0,19.0,Matches,Arsenal
100,Ainsley Maitland-Niles,eng ENG,"DF,FW",21.0,23.0,1182.0,968.0,214.0,20.0,0.0,197.0,14.0,34,0.0,0.0,0.0,0.0,755.0,264.0,163.0,156.0,790.0,26.0,194.0,6.0,960.0,1.0,35.0,32.0,40.0,Matches,Arsenal
101,Emiliano Martínez,ar ARG,GK,26.0,22.9,469.0,319.0,150.0,28.0,1.0,47.0,11.0,0,0.0,0.0,0.0,0.0,266.0,22.0,181.0,55.0,300.0,1.0,0.0,76.0,342.0,1.0,19.0,0.0,1.0,Matches,Arsenal
