,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,club
22,John Guidetti,se SWE,"FW,MF",29-016,3.2,37.0,32.0,5.0,1.0,1.0,8.0,0.0,7.0,1.0,0.0,1.0,0.0,22.0,9.0,6.0,7.0,22.0,4.0,0.0,1.0,25.0,0.0,0.0,2.0,2.0,Matches,Alaves
23,Antonio Sivera,es ESP,GK,24-263,3.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Matches,Alaves
24,Tomás Tavares,pt POR,"MF,DF",20-055,2.7,22.0,21.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,3.0,3.0,4.0,16.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0,Matches,Alaves
25,Iñigo Córdoba,es ESP,MF,24-049,2.4,77.0,72.0,5.0,0.0,0.0,21.0,2.0,6.0,4.0,1.0,0.0,1.0,41.0,12.0,24.0,40.0,25.0,8.0,0.0,0.0,49.0,1.0,2.0,1.0,4.0,Matches,Alaves
26,Abdallahi Mahmoud,mr MTN,MF,20-362,0.7,18.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,1.0,14.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,Matches,Alaves
27,Burgui,es ESP,MF,27-184,0.7,9.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,Matches,Alaves
28,Sergi García,es ESP,MF,22-017,0.3,8.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,6.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,Matches,Alaves
29,Stephane Keller,cm CMR,DF,19-254,0.2,13.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,1.0,11.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,Matches,Alaves
30,Paul Bernardoni,fr FRA,GK,24-014,34.0,885.0,530.0,355.0,107.0,0.0,42.0,25.0,0.0,0.0,0.0,0.0,0.0,358.0,42.0,485.0,550.0,110.0,1.0,1.0,184.0,568.0,3.0,36.0,5.0,0.0,Matches,angers
31,Romain Thomas,fr FRA,DF,32-324,33.3,1404.0,1344.0,60.0,58.0,0.0,129.0,58.0,0.0,0.0,0.0,0.0,0.0,996.0,110.0,298.0,1142.0,143.0,68.0,2.0,2.0,1212.0,1.0,12.0,20.0,11.0,Matches,angers
32,Ismaël Traoré,ci CIV,DF,34-257,33.0,1691.0,1622.0,69.0,65.0,0.0,171.0,32.0,4.0,0.0,0.0,0.0,0.0,1330.0,104.0,257.0,145.0,1483.0,42.0,4.0,6.0,1452.0,5.0,23.0,38.0,18.0,Matches,angers
33,Angelo Fulgini,fr FRA,MF,24-255,30.0,1441.0,1326.0,115.0,40.0,14.0,242.0,54.0,50.0,56.0,12.0,24.0,10.0,1056.0,178.0,207.0,149.0,1227.0,27.0,5.0,19.0,1154.0,5.0,18.0,46.0,32.0,Matches,angers
34,Thomas Mangani,fr FRA,MF,34-003,29.0,1697.0,1534.0,163.0,97.0,3.0,211.0,72.0,46.0,62.0,27.0,30.0,3.0,1061.0,179.0,457.0,1351.0,254.0,61.0,4.0,4.0,1366.0,7.0,19.0,16.0,26.0,Matches,angers
35,Souleyman Doumbia,ci CIV,DF,24-220,25.3,1241.0,999.0,242.0,11.0,0.0,101.0,17.0,35.0,0.0,0.0,0.0,0.0,781.0,273.0,187.0,853.0,107.0,29.0,231.0,6.0,1011.0,2.0,28.0,28.0,34.0,Matches,angers
36,Vincent Manceau,fr FRA,DF,31-296,24.4,1321.0,1071.0,250.0,22.0,0.0,84.0,19.0,41.0,0.0,0.0,0.0,0.0,776.0,255.0,290.0,148.0,898.0,35.0,228.0,3.0,1063.0,1.0,15.0,37.0,29.0,Matches,angers
37,Pierrick Capelle,fr FRA,"MF,FW",34-017,22.6,895.0,846.0,49.0,11.0,3.0,176.0,18.0,32.0,9.0,3.0,3.0,1.0,618.0,138.0,139.0,696.0,103.0,33.0,27.0,7.0,718.0,1.0,5.0,23.0,32.0,Matches,angers
38,Ibrahim Amadou,fr FRA,MF,28-026,20.2,685.0,665.0,20.0,19.0,2.0,103.0,14.0,3.0,0.0,0.0,0.0,0.0,554.0,51.0,80.0,48.0,590.0,28.0,1.0,1.0,594.0,1.0,7.0,12.0,9.0,Matches,angers
