,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club
261,Tobias Strobl,de GER,MF,30-352,21.9,0,7.0,1.0,14.3,0.32,0.05,0.0,0.0,17.1,0.0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,Augsburg
262,André Hahn,de GER,"FW,MF",30-259,20.3,8,40.0,16.0,40.0,1.97,0.79,0.2,0.5,14.7,0.0,0,0,5.3,5.3,0.14,1.7,1.7,Matches,Augsburg
263,Rani Khedira,de GER,MF,27-092,20.2,0,7.0,2.0,28.6,0.35,0.1,0.0,0.0,18.6,0.0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,Augsburg
264,Ruben Vargas,ch SUI,"MF,FW",22-267,18.5,7,39.0,13.0,33.3,2.1,0.7,0.18,0.54,15.2,1.0,0,0,3.7,3.7,0.11,2.3,2.3,Matches,Augsburg
265,Florian Niederlechner,de GER,FW,30-187,17.8,4,44.0,17.0,38.6,2.47,0.96,0.09,0.24,15.2,0.0,0,0,5.0,5.0,0.12,-2.0,-2.0,Matches,Augsburg
266,Iago,br BRA,DF,24-037,17.4,1,9.0,1.0,11.1,0.52,0.06,0.11,1.0,19.3,0.0,0,0,0.9,0.9,0.11,0.1,0.1,Matches,Augsburg
267,Raphael Framberger,de GER,DF,25-235,17.4,0,2.0,2.0,100.0,0.12,0.12,0.0,0.0,24.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Augsburg
268,Marco Richter,de GER,"FW,MF",23-156,13.4,3,44.0,15.0,34.1,3.28,1.12,0.07,0.2,19.3,0.0,0,0,4.0,4.0,0.09,-1.0,-1.0,Matches,Augsburg
269,Robert Gumny,pl POL,DF,22-329,13.4,1,6.0,3.0,50.0,0.45,0.22,0.17,0.33,12.7,0.0,0,0,0.8,0.8,0.13,0.2,0.2,Matches,Augsburg
270,Reece Oxford,eng ENG,DF,22-134,12.9,0,4.0,0.0,0.0,0.31,0.0,0.0,,8.4,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches,Augsburg
271,Michael Gregoritsch,at AUT,"FW,MF",27-011,10.7,1,16.0,4.0,25.0,1.5,0.37,0.06,0.25,18.5,0.0,0,0,1.0,1.0,0.08,0.0,0.0,Matches,Augsburg
272,Mads Pedersen,dk DEN,DF,24-240,9.3,0,1.0,0.0,0.0,0.11,0.0,0.0,,24.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Augsburg
273,Alfreð Finnbogason,is ISL,FW,32-087,6.2,1,14.0,9.0,64.3,2.26,1.45,0.0,0.0,15.5,0.0,1,3,3.1,1.6,0.15,-3.1,-1.6,Matches,Augsburg
274,László Bénes,sk SVK,"MF,FW",23-232,5.9,1,6.0,2.0,33.3,1.01,0.34,0.17,0.5,21.1,1.0,0,0,0.3,0.3,0.05,0.7,0.7,Matches,Augsburg
275,Fredrik Jensen,fi FIN,"FW,MF",23-232,4.0,2,6.0,2.0,33.3,1.52,0.51,0.33,1.0,18.2,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,Augsburg
276,Marek Suchý,cz CZE,DF,33-031,2.9,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Augsburg
277,Jan Morávek,cz CZE,MF,31-179,1.4,0,1.0,0.0,0.0,0.69,0.0,0.0,,14.0,0.0,0,0,0.1,0.1,0.15,-0.1,-0.1,Matches,Augsburg
278,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",24-251,0.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Augsburg
279,Tim Civeja,de GER,"MF,DF",19-115,0.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Augsburg
280,Frenkie de Jong,nl NED,MF,23-356,47.1,7,24.0,10.0,41.7,0.51,0.21,0.29,0.7,10.2,0.0,0,0,5.1,5.1,0.35,-2.1,-2.1,Matches,barcelona
281,Lionel Messi,ar ARG,FW,33-313,43.6,36,244.0,113.0,46.3,5.6,2.59,0.12,0.26,19.4,43.0,7,10,27.1,20.1,0.1,3.9,3.9,Matches,barcelona
282,Jordi Alba,es ESP,DF,32-043,43.1,5,31.0,13.0,41.9,0.72,0.3,0.16,0.38,20.1,1.0,0,0,2.0,2.0,0.08,1.0,1.0,Matches,barcelona
283,Marc-André ter Stegen,de GER,GK,29-003,40.3,0,1.0,0.0,0.0,0.02,0.0,0.0,,18.0,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,barcelona
284,Antoine Griezmann,fr FRA,FW,30-043,39.5,19,103.0,44.0,42.7,2.61,1.11,0.17,0.41,14.2,0.0,1,2,15.3,13.8,0.18,-2.3,-1.8,Matches,barcelona
285,Clément Lenglet,fr FRA,DF,25-320,38.1,1,14.0,5.0,35.7,0.37,0.13,0.07,0.2,11.4,0.0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches,barcelona
286,Pedri,es ESP,MF,18-159,36.9,3,32.0,11.0,34.4,0.87,0.3,0.09,0.27,16.2,0.0,0,0,3.2,3.2,0.13,-0.2,-0.2,Matches,barcelona
287,Sergio Busquets,es ESP,MF,32-291,35.9,0,9.0,5.0,55.6,0.25,0.14,0.0,0.0,14.1,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,barcelona
288,Óscar Mingueza,es ESP,DF,21-355,29.9,2,13.0,5.0,38.5,0.44,0.17,0.15,0.4,11.9,0.0,0,0,1.0,1.0,0.08,1.0,1.0,Matches,barcelona
289,Sergiño Dest,us USA,DF,20-181,27.9,3,19.0,7.0,36.8,0.68,0.25,0.16,0.43,16.3,0.0,0,0,2.8,2.8,0.16,0.2,0.2,Matches,barcelona
290,Ousmane Dembélé,fr FRA,"MF,FW",23-353,27.2,10,86.0,34.0,39.5,3.17,1.25,0.1,0.26,17.6,0.0,1,2,8.0,7.2,0.11,0.0,-0.2,Matches,barcelona
291,Ronald Araújo,uy URU,DF,22-057,21.8,2,16.0,8.0,50.0,0.73,0.37,0.13,0.25,8.7,0.0,0,0,0.7,0.7,0.08,1.3,1.3,Matches,barcelona
292,Gerard Piqué,es ESP,DF,34-090,18.6,2,7.0,2.0,28.6,0.38,0.11,0.29,1.0,9.4,0.0,0,0,0.5,0.5,0.09,0.5,0.5,Matches,barcelona
293,Martin Braithwaite,dk DEN,MF,29-332,18.5,7,39.0,16.0,41.0,2.11,0.87,0.15,0.38,11.7,0.0,1,2,7.3,5.8,0.2,-2.3,-1.8,Matches,barcelona
294,Miralem Pjanić,ba BIH,MF,31-031,14.2,0,26.0,6.0,23.1,1.83,0.42,0.0,0.0,22.9,2.0,0,1,1.5,1.5,0.06,-1.5,-1.5,Matches,barcelona
295,Francisco Trincão,pt POR,FW,21-125,14.1,3,42.0,20.0,47.6,2.98,1.42,0.07,0.15,17.2,0.0,0,0,4.6,4.6,0.13,-1.6,-1.6,Matches,barcelona
296,Sergi Roberto,es ESP,"DF,MF",29-085,12.7,1,7.0,3.0,42.9,0.55,0.24,0.14,0.33,15.3,0.0,0,0,0.8,0.8,0.13,0.2,0.2,Matches,barcelona
297,Neto,br BRA,GK,31-288,11.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,barcelona
298,Junior Firpo,es ESP,"DF,MF",24-254,9.2,1,4.0,2.0,50.0,0.43,0.22,0.25,0.5,6.0,0.0,0,0,0.9,0.9,0.44,0.1,0.1,Matches,barcelona
