,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,club
18,Rodrigo Ely,br BRA,DF,27-179,8,6,468.0,5.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,0.2,0.2,0.1,0.3,0.04,0.02,0.06,0.04,0.06,Matches,Alaves
19,Facundo Pellistri,uy URU,MF,19-132,8,4,422.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.07,0.01,0.09,0.07,0.09,Matches,Alaves
20,Javi López,es ESP,"DF,MF",19-120,11,3,398.0,4.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,Matches,Alaves
21,Adrián Marín,es ESP,"DF,MF",24-112,8,3,303.0,3.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.07,0.52,0.58,0.07,0.58,Matches,Alaves
22,John Guidetti,se SWE,"FW,MF",29-016,10,3,289.0,3.2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.93,0.0,0.93,0.93,0.93,1.0,1.0,0.0,1.0,0.92,0.0,0.92,0.92,0.92,Matches,Alaves
23,Antonio Sivera,es ESP,GK,24-263,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,Alaves
24,Tomás Tavares,pt POR,"MF,DF",20-055,5,2,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
25,Iñigo Córdoba,es ESP,MF,24-049,7,3,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.01,0.11,0.12,0.01,0.12,Matches,Alaves
26,Abdallahi Mahmoud,mr MTN,MF,20-362,2,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Alaves
27,Burgui,es ESP,MF,27-184,3,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
28,Sergi García,es ESP,MF,22-017,3,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
29,Stephane Keller,cm CMR,DF,19-254,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
30,Abdelkabir Abqar,ma MAR,DF,22-052,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves
31,Pepe Blanco,es ESP,MF,21-276,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves
32,Aritz Castro,es ESP,GK,22-346,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves
33,Paul Bernardoni,fr FRA,GK,24-014,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
34,Romain Thomas,fr FRA,DF,32-324,34,34,2996.0,33.3,3.0,0.0,3.0,0.0,0.0,5.0,1.0,0.09,0.0,0.09,0.09,0.09,1.4,1.4,0.0,1.4,0.05,0.0,0.05,0.05,0.05,Matches,angers
35,Ismaël Traoré,ci CIV,DF,34-257,33,33,2970.0,33.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.09,0.09,0.18,0.09,0.18,1.5,1.5,0.7,2.3,0.05,0.02,0.07,0.05,0.07,Matches,angers
36,Angelo Fulgini,fr FRA,MF,24-255,33,33,2703.0,30.0,8.0,4.0,6.0,2.0,2.0,4.0,0.0,0.27,0.13,0.4,0.2,0.33,4.8,4.1,4.1,8.1,0.18,0.15,0.32,0.15,0.3,Matches,angers
37,Thomas Mangani,fr FRA,MF,34-003,35,31,2609.0,29.0,3.0,4.0,0.0,3.0,3.0,5.0,0.0,0.1,0.14,0.24,0.0,0.14,3.3,1.0,2.7,3.7,0.13,0.1,0.23,0.04,0.14,Matches,angers
38,Souleyman Doumbia,ci CIV,DF,24-220,27,25,2278.0,25.3,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04,0.5,0.5,2.7,3.2,0.02,0.11,0.13,0.02,0.13,Matches,angers
39,Vincent Manceau,fr FRA,DF,31-296,26,24,2194.0,24.4,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.04,0.08,0.04,0.08,0.1,0.1,1.1,1.3,0.01,0.05,0.06,0.01,0.06,Matches,angers
40,Pierrick Capelle,fr FRA,"MF,FW",34-017,35,24,2038.0,22.6,3.0,4.0,3.0,0.0,0.0,2.0,0.0,0.13,0.18,0.31,0.13,0.31,3.4,3.4,1.3,4.6,0.18,0.07,0.24,0.18,0.24,Matches,angers
41,Ibrahim Amadou,fr FRA,MF,28-026,27,23,1815.0,20.2,2.0,0.0,2.0,0.0,0.0,6.0,0.0,0.1,0.0,0.1,0.1,0.1,2.1,2.1,0.3,2.4,0.12,0.02,0.15,0.12,0.15,Matches,angers
42,Lassana Coulibaly,ml MLI,MF,25-022,30,18,1785.0,19.8,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.05,0.1,0.05,0.1,0.7,0.7,1.3,1.9,0.04,0.07,0.1,0.04,0.1,Matches,angers
43,Stéphane Bahoken,cm CMR,FW,28-339,29,19,1655.0,18.4,7.0,1.0,7.0,0.0,1.0,4.0,0.0,0.38,0.05,0.44,0.38,0.44,6.6,5.9,1.2,7.0,0.42,0.07,0.49,0.37,0.44,Matches,angers
44,Lois Diony,fr FRA,FW,28-133,34,17,1593.0,17.7,4.0,1.0,3.0,1.0,1.0,2.0,0.0,0.23,0.06,0.28,0.17,0.23,3.8,3.0,1.3,4.4,0.22,0.08,0.3,0.18,0.25,Matches,angers
45,Abdoulaye Bamba,ci CIV,DF,31-007,19,18,1552.0,17.2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,1.4,1.5,0.0,0.09,0.1,0.0,0.1,Matches,angers
46,Mathias Pereira Lage,pt POR,"FW,MF",24-153,26,16,1405.0,15.6,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,1.4,1.4,0.3,1.7,0.1,0.02,0.12,0.1,0.12,Matches,angers
47,Sada Thioub,sn SEN,"FW,MF",25-335,27,12,1275.0,14.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.14,0.07,0.14,1.4,1.4,2.0,3.4,0.11,0.17,0.28,0.11,0.28,Matches,angers
48,Mateo Pavlović,ba BIH,DF,30-327,14,12,1104.0,12.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.02,0.0,0.02,0.02,0.02,Matches,angers
49,Antonin Bobichon,fr FRA,"MF,FW",25-230,23,10,859.0,9.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,0.9,0.9,1.4,2.3,0.12,0.19,0.31,0.12,0.31,Matches,angers
50,Jimmy Cabot,fr FRA,FW,27-014,19,8,812.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,1.1,2.3,0.14,0.13,0.27,0.14,0.27,Matches,angers
51,Sofiane Boufal,ma MAR,"FW,MF",27-227,15,9,733.0,8.1,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.12,0.0,0.12,0.12,0.12,1.6,1.6,0.4,2.0,0.19,0.05,0.24,0.19,0.24,Matches,angers
52,Mohamed Ali Cho,fr FRA,"FW,MF",17-103,19,2,389.0,4.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,0.27,0.03,0.3,0.27,0.3,Matches,angers
53,Ludovic Butelle,fr FRA,GK,38-029,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,angers
54,Farid El Melali,dz ALG,"FW,MF",23-293,17,2,337.0,3.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.2,0.4,0.01,0.41,0.4,0.41,Matches,angers
55,Baptiste Santamaria,fr FRA,MF,26-054,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,0.12,0.04,0.16,0.12,0.16,Matches,angers
56,Enzo Ebosse,fr FRA,DF,22-052,6,3,260.0,2.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.21,0.21,0.0,0.21,Matches,angers
57,Rayan Aït Nouri,fr FRA,DF,19-330,3,2,187.0,2.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.48,0.1,0.1,0.4,0.4,0.04,0.17,0.21,0.04,0.21,Matches,angers
58,Wilfried Kanga,fr FRA,FW,23-070,2,2,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.18,0.0,0.18,0.18,0.18,Matches,angers
59,Zinédine Ould Khaled,fr FRA,MF,21-108,4,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
60,Waniss Taibi,fr FRA,MF,19-056,2,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
61,Noah Fatar,fr FRA,"FW,MF",19-076,4,0,33.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.73,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
62,Casimir Ninga,td CHA,FW,27-350,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
63,Rachid Alioui,ma MAR,FW,28-318,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
64,Yassin Fortune,fr FRA,FW,22-092,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
65,Kévin Boma,tg TOG,DF,18-163,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,angers
66,Oussama Falouh,ma MAR,DF,21-294,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,angers
67,Danijel Petković,me MNE,GK,27-342,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,angers
68,Stefan Ortega,de GER,GK,28-175,32,32,2880.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,Matches,Arminia
69,Ritsu Doan,jp JPN,"MF,FW",22-318,32,31,2587.0,28.7,4.0,2.0,4.0,0.0,0.0,1.0,0.0,0.14,0.07,0.21,0.14,0.21,4.4,4.3,3.2,7.5,0.16,0.11,0.27,0.15,0.27,Matches,Arminia
70,Fabian Klos,de GER,FW,33-149,32,30,2539.0,28.2,4.0,2.0,4.0,0.0,1.0,4.0,0.0,0.14,0.07,0.21,0.14,0.21,6.6,5.8,3.3,9.1,0.24,0.12,0.36,0.21,0.34,Matches,Arminia
71,Amos Pieper,de GER,DF,23-103,28,28,2502.0,27.8,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.04,0.04,0.07,0.04,0.07,0.9,0.9,0.5,1.5,0.04,0.02,0.05,0.04,0.05,Matches,Arminia
72,Cédric Brunner,ch SUI,DF,27-072,29,28,2475.0,27.5,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04,0.4,0.4,1.0,1.4,0.01,0.04,0.05,0.01,0.05,Matches,Arminia
73,Manuel Prietl,at AUT,MF,29-270,26,26,2337.0,26.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.04,0.08,0.04,0.08,0.5,0.5,1.3,1.9,0.02,0.05,0.07,0.02,0.07,Matches,Arminia
74,Joakim Nilsson,se SWE,DF,27-083,23,22,1982.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.0,0.01,0.01,0.01,Matches,Arminia
75,Marcel Hartel,de GER,MF,25-101,22,21,1759.0,19.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,2.4,0.06,0.07,0.13,0.06,0.13,Matches,Arminia
76,Anderson Lucoqui,ao ANG,DF,23-298,20,16,1469.0,16.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.01,0.01,0.01,0.01,Matches,Arminia
77,Mike van der Hoorn,nl NED,DF,28-197,20,15,1352.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,Arminia
78,Fabian Kunze,de GER,MF,22-320,23,12,1248.0,13.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.04,0.03,0.07,0.04,0.07,Matches,Arminia
79,Sergio Córdova,ve VEN,"FW,MF",23-264,24,13,1135.0,12.6,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.16,0.08,0.24,0.16,0.24,3.1,3.1,1.2,4.4,0.26,0.1,0.36,0.26,0.36,Matches,Arminia
80,Jacob Barrett Laursen,dk DEN,DF,26-164,16,13,1098.0,12.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,1.2,1.3,0.0,0.11,0.11,0.0,0.11,Matches,Arminia
81,Arne Maier,de GER,"MF,FW",22-112,13,10,767.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.0,0.03,0.1,0.12,0.03,0.12,Matches,Arminia
82,Andreas Voglsammer,de GER,"FW,MF",29-111,15,8,754.0,8.4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.12,0.24,0.12,0.24,2.4,2.4,1.1,3.5,0.29,0.13,0.42,0.29,0.42,Matches,Arminia
83,Sven Schipplock,de GER,"FW,MF",32-173,29,5,724.0,8.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,1.1,1.1,0.9,2.0,0.14,0.11,0.24,0.14,0.24,Matches,Arminia
84,Christian Gebauer,at AUT,"MF,FW",27-131,21,5,677.0,7.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13,0.13,0.27,0.13,0.27,2.0,2.0,0.6,2.6,0.26,0.08,0.35,0.26,0.35,Matches,Arminia
85,Masaya Okugawa,jp JPN,"MF,FW",25-016,10,8,676.0,7.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.9,0.9,0.6,1.5,0.12,0.08,0.2,0.12,0.2,Matches,Arminia
86,Reinhold Yabo,de GER,"MF,FW",29-079,13,8,647.0,7.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,0.6,0.6,0.0,0.6,0.09,0.0,0.09,0.09,0.09,Matches,Arminia
87,Nathan de Medina,be BEL,DF,23-204,15,7,604.0,6.7,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.6,0.6,0.0,0.09,0.09,0.0,0.09,Matches,Arminia
88,Cebio Soukou,bj BEN,"FW,MF",28-210,13,6,535.0,5.9,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,0.7,0.7,0.1,0.8,0.14,0.03,0.16,0.14,0.16,Matches,Arminia
89,Michel Vlap,nl NED,"MF,FW",23-332,7,5,371.0,4.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.24,0.24,0.49,0.24,0.49,0.3,0.3,0.6,0.9,0.08,0.15,0.22,0.08,0.22,Matches,Arminia
90,Nils Seufert,de GER,"MF,FW",24-086,13,2,343.0,3.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26,0.26,0.0,0.26,0.0,0.0,0.3,0.3,0.01,0.07,0.08,0.01,0.08,Matches,Arminia
91,Brian Behrendt,de GER,DF,29-188,3,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Arminia
92,Jóan Símun Edmundsson,fo FRO,"MF,FW",29-278,5,0,58.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.55,0.0,1.55,1.55,1.55,0.5,0.5,0.0,0.5,0.81,0.0,0.81,0.81,0.81,Matches,Arminia
93,Jomaine Consbruch,de GER,MF,19-094,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,Arminia
94,Noel Niemann,de GER,FW,21-167,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,Arminia
95,Sebastian Müller,de GER,"MF,DF",20-097,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
96,Nikolai Rehnen,de GER,GK,24-085,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arminia
97,Julian Frommann,de GER,MF,18-019,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arminia
98,Oscar Linnér,se SWE,GK,24-066,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arminia
99,Bernd Leno,de GER,GK,29-063,44,44,3971.0,44.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
100,Granit Xhaka,ch SUI,MF,28-221,43,41,3617.0,40.2,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.02,0.05,0.07,0.02,0.07,0.8,0.8,1.7,2.5,0.02,0.05,0.07,0.02,0.07,Matches,Arsenal
101,Bukayo Saka,eng ENG,FW,19-243,41,37,3266.0,36.3,7.0,6.0,7.0,0.0,0.0,2.0,0.0,0.19,0.17,0.36,0.19,0.36,7.9,7.9,5.8,13.7,0.24,0.18,0.42,0.24,0.42,Matches,Arsenal
102,Rob Holding,eng ENG,DF,25-228,34,31,2903.0,32.3,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,1.4,1.4,0.3,1.7,0.05,0.01,0.06,0.05,0.06,Matches,Arsenal
103,Pierre-Emerick Aubameyang,ga GAB,FW,31-322,35,29,2718.0,30.2,15.0,3.0,13.0,2.0,2.0,3.0,0.0,0.5,0.1,0.6,0.43,0.53,14.6,13.0,2.3,15.4,0.53,0.09,0.61,0.47,0.56,Matches,Arsenal
104,Héctor Bellerín,es ESP,MF,26-048,33,31,2656.0,29.5,1.0,3.0,1.0,0.0,0.0,8.0,0.0,0.03,0.1,0.14,0.03,0.14,0.9,0.9,3.9,4.9,0.03,0.14,0.17,0.03,0.17,Matches,Arsenal
105,Nicolas Pépé,ci CIV,"FW,MF",25-342,43,26,2574.0,28.6,11.0,5.0,9.0,2.0,2.0,1.0,1.0,0.38,0.17,0.56,0.31,0.49,9.6,8.1,3.8,11.9,0.4,0.16,0.56,0.34,0.5,Matches,Arsenal
106,Kieran Tierney,sco SCO,DF,23-335,33,28,2565.0,28.5,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.07,0.11,0.18,0.07,0.18,0.5,0.5,4.3,4.9,0.02,0.17,0.18,0.02,0.18,Matches,Arsenal
107,Gabriel Dos Santos,br BRA,DF,23-138,28,27,2446.0,27.2,3.0,1.0,3.0,0.0,0.0,5.0,1.0,0.11,0.04,0.15,0.11,0.15,1.0,1.0,0.1,1.1,0.04,0.0,0.04,0.04,0.04,Matches,Arsenal
108,Alexandre Lacazette,fr FRA,"FW,MF",29-343,39,28,2378.0,26.4,17.0,3.0,13.0,4.0,4.0,4.0,0.0,0.64,0.11,0.76,0.49,0.61,12.2,9.1,3.3,12.4,0.49,0.13,0.62,0.36,0.49,Matches,Arsenal
109,David Luiz,br BRA,DF,34-014,30,27,2311.0,25.7,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.08,0.0,0.08,0.08,0.08,1.2,1.2,0.8,2.0,0.05,0.04,0.09,0.05,0.09,Matches,Arsenal
110,Dani Ceballos,es ESP,MF,24-272,39,24,2296.0,25.5,0.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.12,0.12,0.0,0.12,0.8,0.8,4.2,5.0,0.03,0.18,0.21,0.03,0.21,Matches,Arsenal
