,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,club
0,Fernando Pacheco,es ESP,GK,28-348,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves
1,Joselu,es ESP,FW,31-035,33,31,2740.0,30.4,8.0,2.0,6.0,2.0,4.0,1.0,0.0,0.26,0.07,0.33,0.2,0.26,11.2,8.1,2.5,10.6,0.38,0.09,0.46,0.27,0.36,Matches,Alaves
2,Florian Lejeune,fr FRA,DF,29-346,31,30,2666.0,29.6,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.03,0.0,0.03,0.03,0.03,1.9,1.9,0.3,2.2,0.07,0.01,0.08,0.07,0.08,Matches,Alaves
3,Víctor Laguardia,es ESP,DF,31-177,30,28,2431.0,27.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.5,0.04,0.02,0.06,0.04,0.06,Matches,Alaves
4,Rodrigo Battaglia,ar ARG,MF,29-293,31,27,2328.0,25.9,1.0,0.0,1.0,0.0,0.0,8.0,1.0,0.04,0.0,0.04,0.04,0.04,0.7,0.7,0.2,0.9,0.03,0.01,0.04,0.03,0.04,Matches,Alaves
5,Tomás Pina Isla,es ESP,MF,33-199,30,28,2281.0,25.3,1.0,1.0,1.0,0.0,0.0,10.0,1.0,0.04,0.04,0.08,0.04,0.08,0.5,0.5,0.6,1.1,0.02,0.02,0.05,0.02,0.05,Matches,Alaves
6,Rubén Duarte,es ESP,DF,25-195,27,25,2202.0,24.5,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.04,0.04,0.0,0.04,0.5,0.5,2.2,2.8,0.02,0.09,0.11,0.02,0.11,Matches,Alaves
7,Ximo Navarro,es ESP,DF,31-098,27,26,2192.0,24.4,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,0.9,1.3,0.01,0.04,0.05,0.01,0.05,Matches,Alaves
8,Édgar Méndez,es ESP,"MF,FW",31-119,32,24,1976.0,22.0,5.0,1.0,5.0,0.0,0.0,11.0,1.0,0.23,0.05,0.27,0.23,0.27,4.4,4.4,1.0,5.4,0.21,0.05,0.26,0.21,0.26,Matches,Alaves
9,Luis Rioja,es ESP,"MF,DF",27-197,31,23,1882.0,20.9,3.0,1.0,3.0,0.0,0.0,3.0,0.0,0.14,0.05,0.19,0.14,0.19,2.7,2.7,2.4,5.2,0.14,0.12,0.26,0.14,0.26,Matches,Alaves
10,Lucas Pérez,es ESP,FW,32-233,24,17,1555.0,17.3,4.0,3.0,1.0,3.0,4.0,1.0,0.0,0.23,0.17,0.41,0.06,0.23,5.7,2.7,3.6,6.3,0.33,0.21,0.54,0.16,0.36,Matches,Alaves
11,Martin Agirregabiria,es ESP,"DF,MF",24-356,25,16,1554.0,17.3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,0.9,1.1,0.01,0.06,0.08,0.01,0.08,Matches,Alaves
12,Jota,es ESP,MF,29-319,22,17,1342.0,14.9,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.13,0.13,0.0,0.13,0.7,0.7,1.8,2.6,0.05,0.13,0.18,0.05,0.18,Matches,Alaves
13,Manu García,es ESP,MF,35-005,24,9,1058.0,11.8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.6,0.04,0.02,0.06,0.04,0.06,Matches,Alaves
14,Pere Pons,es ESP,MF,28-070,18,9,957.0,10.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,0.03,0.09,0.12,0.03,0.12,Matches,Alaves
15,Deyverson,br BRA,FW,29-358,26,12,952.0,10.6,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.09,0.19,0.28,0.09,0.28,1.8,1.8,1.1,2.9,0.19,0.11,0.3,0.19,0.3,Matches,Alaves
16,Tachi,es ESP,DF,23-233,13,9,940.0,10.4,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches,Alaves
17,Borja Sainz,es ESP,"MF,FW",20-089,22,4,585.0,6.5,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.15,0.31,0.46,0.15,0.46,1.1,1.1,0.4,1.4,0.23,0.07,0.3,0.23,0.3,Matches,Alaves
