,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,club
198,Amad Diallo,ci CIV,FW,17.0,3,0,27.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,3.33,3.33,0.1,0.1,0.1,0.2,0.36,0.17,0.53,0.36,0.53,Matches,Atalanta
199,Roger Ibanez,br BRA,DF,20.0,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atalanta
200,Raoul Bellanova,it ITA,MF,19.0,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.43,0.0,0.43,0.43,0.43,Matches,Atalanta
201,Lennart-Marten Czyborra,de GER,DF,20.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atalanta
202,Roberto Piccoli,it ITA,FW,18.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.87,0.14,2.01,1.87,2.01,Matches,Atalanta
203,Francesco Rossi,it ITA,GK,28.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atalanta
204,Jacopo Da Riva,it ITA,FW,18.0,2,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches,Atalanta
205,Ludovico Gelmi,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atalanta
206,Caleb Okoli,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atalanta
207,David Heidenreich,cz CZE,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atalanta
208,Rodrigo Guth,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atalanta
209,Khadim Ndiaye,sn SEN,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atalanta
210,Martin Škrtel,sk SVK,DF,34.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atalanta
211,Iñigo Martínez,es ESP,DF,28.0,39,39,3570.0,39.7,1.0,2.0,1.0,0.0,0.0,13.0,0.0,0.03,0.05,0.08,0.03,0.08,1.7,1.7,0.9,2.7,0.05,0.03,0.08,0.05,0.08,Matches,Athletic club
212,Iñaki Williams,es ESP,FW,25.0,44,40,3514.0,39.0,9.0,2.0,8.0,1.0,2.0,5.0,0.0,0.23,0.05,0.28,0.2,0.26,7.3,5.8,2.6,8.4,0.22,0.08,0.3,0.18,0.26,Matches,Athletic club
213,Raúl García,es ESP,"MF,FW",33.0,41,39,3443.0,38.3,15.0,2.0,8.0,7.0,7.0,12.0,0.0,0.39,0.05,0.44,0.21,0.26,10.8,5.4,0.9,6.3,0.34,0.03,0.37,0.17,0.2,Matches,Athletic club
214,Dani García,es ESP,MF,29.0,40,37,3397.0,37.7,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.03,0.03,0.0,0.03,0.5,0.5,1.0,1.6,0.02,0.03,0.05,0.02,0.05,Matches,Athletic club
215,Yuri Berchiche,es ESP,DF,29.0,39,37,3373.0,37.5,4.0,1.0,4.0,0.0,0.0,9.0,0.0,0.11,0.03,0.13,0.11,0.13,1.4,1.4,2.6,4.0,0.04,0.08,0.13,0.04,0.13,Matches,Athletic club
216,Unai Simón,es ESP,GK,22.0,38,38,3351.0,37.2,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Athletic club
217,Yeray Álvarez,es ESP,DF,24.0,37,37,3290.0,36.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.5,1.7,0.04,0.02,0.05,0.04,0.05,Matches,Athletic club
218,Ander Capa,es ESP,DF,27.0,41,36,3247.0,36.1,3.0,5.0,3.0,0.0,0.0,10.0,0.0,0.08,0.14,0.22,0.08,0.22,1.1,1.1,3.4,4.5,0.04,0.11,0.14,0.04,0.14,Matches,Athletic club
219,Iker Muniain,es ESP,"FW,MF",26.0,37,31,2922.0,32.5,6.0,2.0,6.0,0.0,0.0,4.0,1.0,0.18,0.06,0.25,0.18,0.25,4.0,4.0,2.2,6.2,0.15,0.08,0.23,0.15,0.23,Matches,Athletic club
220,Unai Núñez,es ESP,DF,22.0,25,21,1966.0,21.8,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.02,0.01,0.03,0.02,0.03,Matches,Athletic club
221,Unai López,es ESP,MF,23.0,29,25,1948.0,21.6,1.0,4.0,1.0,0.0,0.0,6.0,0.0,0.05,0.18,0.23,0.05,0.23,0.8,0.8,3.0,3.9,0.04,0.15,0.19,0.04,0.19,Matches,Athletic club
222,Mikel Vesga,es ESP,MF,26.0,26,17,1687.0,18.7,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.11,0.11,0.0,0.11,0.8,0.8,0.7,1.4,0.05,0.05,0.1,0.05,0.1,Matches,Athletic club
223,Iñigo Córdoba,es ESP,FW,22.0,26,22,1519.0,16.9,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.06,0.24,0.3,0.06,0.3,1.5,1.5,1.1,2.6,0.09,0.07,0.16,0.09,0.16,Matches,Athletic club
224,Iñigo Lekue,es ESP,"FW,DF",26.0,16,8,831.0,9.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,0.8,1.0,0.02,0.12,0.14,0.02,0.14,Matches,Athletic club
225,Oihan Sancet,es ESP,MF,19.0,18,9,742.0,8.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.12,0.24,0.12,0.24,0.9,0.9,0.7,1.5,0.11,0.08,0.19,0.11,0.19,Matches,Athletic club
226,Ibai Gómez,es ESP,FW,29.0,18,6,697.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.5,2.7,0.17,0.19,0.35,0.17,0.35,Matches,Athletic club
227,Mikel Balenziaga,es ESP,DF,31.0,10,7,639.0,7.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches,Athletic club
228,Óscar de Marcos,es ESP,"DF,FW",30.0,14,7,631.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,0.1,0.1,1.0,1.0,0.01,0.16,0.17,0.01,0.17,Matches,Athletic club
229,Asier Villalibre,es ESP,FW,21.0,22,5,587.0,6.5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,2.8,2.8,0.0,2.8,0.47,0.01,0.48,0.47,0.48,Matches,Athletic club
230,Iago Herrerín,es ESP,GK,31.0,7,6,546.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Athletic club
231,Mikel San José,es ESP,MF,30.0,12,4,469.0,5.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.13,0.01,0.13,0.13,0.13,Matches,Athletic club
232,Beñat Etxebarria,es ESP,MF,32.0,12,4,458.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.03,0.11,0.13,0.03,0.13,Matches,Athletic club
233,Kenan Kodro,ba BIH,"FW,MF",25.0,12,4,364.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.2,0.2,0.0,0.2,0.05,0.0,0.05,0.05,0.05,Matches,Athletic club
234,Aritz Aduriz,es ESP,FW,38.0,17,0,258.0,2.9,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.35,0.0,0.35,0.35,0.35,1.3,0.6,0.0,0.6,0.58,0.0,0.58,0.25,0.25,Matches,Athletic club
235,Larra,es ESP,"FW,MF",21.0,10,2,250.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,Matches,Athletic club
236,Unai Vencedor Paris,es ESP,MF,18.0,2,2,140.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.08,0.0,0.08,0.08,0.08,Matches,Athletic club
237,Jokin Ezkieta,es ESP,GK,22.0,1,0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,Athletic club
238,Álex Berenguer,es ESP,MF,24.0,1,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,Matches,Athletic club
239,Sillero,es ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Athletic club
240,Daniel Vivian,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Athletic club
241,Florian Niederlechner,de GER,"FW,MF",28.0,34,32,2810.0,31.2,13.0,6.0,12.0,1.0,2.0,1.0,0.0,0.42,0.19,0.61,0.38,0.58,12.5,11.0,5.5,16.6,0.41,0.18,0.6,0.36,0.55,Matches,Augsburg
242,Philipp Max,de GER,DF,25.0,31,31,2706.0,30.1,8.0,6.0,7.0,1.0,1.0,5.0,0.0,0.27,0.2,0.47,0.23,0.43,4.0,3.2,5.3,8.6,0.13,0.18,0.31,0.11,0.28,Matches,Augsburg
243,Rani Khedira,de GER,MF,25.0,33,32,2673.0,29.7,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.07,0.07,0.0,0.07,0.6,0.6,1.2,1.8,0.02,0.04,0.06,0.02,0.06,Matches,Augsburg
244,Tin Jedvaj,hr CRO,DF,23.0,31,30,2638.0,29.3,2.0,0.0,2.0,0.0,0.0,6.0,0.0,0.07,0.0,0.07,0.07,0.07,1.5,1.5,0.2,1.7,0.05,0.01,0.06,0.05,0.06,Matches,Augsburg
245,Ruben Vargas,ch SUI,"FW,MF",20.0,33,29,2530.0,28.1,6.0,1.0,6.0,0.0,0.0,8.0,0.0,0.21,0.04,0.25,0.21,0.25,6.9,6.9,3.3,10.1,0.24,0.12,0.36,0.24,0.36,Matches,Augsburg
246,Marco Richter,de GER,"MF,FW",21.0,32,27,2365.0,26.3,4.0,3.0,4.0,0.0,0.0,2.0,0.0,0.15,0.11,0.27,0.15,0.27,4.5,4.5,1.9,6.4,0.18,0.08,0.25,0.18,0.25,Matches,Augsburg
247,Tomáš Koubek,cz CZE,GK,26.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Matches,Augsburg
