,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,club
0,Régis Gurtner,fr FRA,GK,32.0,28.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,Matches,amiens
1,Haitam Aleesami,no NOR,DF,28.0,24.6,44.0,31,24.0,17.0,3.0,20.0,50.0,40.0,30.0,374.0,105.0,28.1,170.0,160.0,44.0,55.0,13.0,1.0,42.0,29,70,98.0,1.0,Matches,amiens
2,Arturo Calabresi,it ITA,DF,23.0,24.4,59.0,47,32.0,24.0,3.0,34.0,91.0,37.4,57.0,314.0,113.0,36.0,149.0,119.0,46.0,50.0,11.0,0.0,39.0,27,86,112.0,1.0,Matches,amiens
3,Aurélien Chedjou,cm CMR,DF,34.0,24.1,35.0,27,24.0,11.0,0.0,12.0,26.0,46.2,14.0,183.0,66.0,36.1,121.0,58.0,4.0,33.0,15.0,0.0,18.0,32,62,183.0,1.0,Matches,amiens
4,Bakaye Dibassy,ml MLI,DF,29.0,24.1,35.0,24,24.0,10.0,1.0,13.0,21.0,61.9,8.0,199.0,64.0,32.2,123.0,67.0,9.0,54.0,20.0,0.0,34.0,36,69,98.0,1.0,Matches,amiens
5,Alexis Blin,fr FRA,MF,22.0,22.4,56.0,43,28.0,22.0,6.0,20.0,68.0,29.4,48.0,571.0,149.0,26.1,202.0,310.0,59.0,36.0,6.0,0.0,30.0,18,74,65.0,1.0,Matches,amiens
6,Gaël Kakuta,cd COD,"MF,FW",28.0,22.2,44.0,31,11.0,29.0,4.0,15.0,46.0,32.6,31.0,552.0,153.0,27.7,91.0,317.0,144.0,18.0,1.0,0.0,17.0,16,60,8.0,0.0,Matches,amiens
7,Sehrou Guirassy,fr FRA,FW,23.0,22.1,6.0,4,0.0,3.0,3.0,1.0,5.0,20.0,4.0,279.0,67.0,24.0,11.0,127.0,141.0,14.0,9.0,0.0,5.0,5,11,21.0,0.0,Matches,amiens
8,Thomas Monconduit,fr FRA,MF,28.0,18.8,23.0,15,6.0,16.0,1.0,8.0,29.0,27.6,21.0,310.0,77.0,24.8,82.0,184.0,44.0,16.0,3.0,0.0,13.0,15,35,31.0,0.0,Matches,amiens
9,Fousseni Diabaté,ml MLI,"FW,MF",23.0,15.4,18.0,10,7.0,7.0,4.0,3.0,11.0,27.3,8.0,378.0,99.0,26.2,100.0,188.0,90.0,15.0,0.0,0.0,15.0,9,26,8.0,1.0,Matches,amiens
10,Eddy Gnahoré,fr FRA,MF,25.0,14.9,27.0,22,12.0,12.0,3.0,5.0,26.0,19.2,21.0,276.0,64.0,23.2,87.0,153.0,36.0,27.0,5.0,0.0,22.0,15,40,29.0,0.0,Matches,amiens
11,Juan Ferney Otero,co COL,"FW,MF",24.0,14.4,15.0,12,4.0,10.0,1.0,10.0,30.0,33.3,20.0,270.0,61.0,22.6,61.0,127.0,82.0,25.0,2.0,0.0,23.0,12,27,17.0,0.0,Matches,amiens
12,Stiven Mendoza,co COL,"FW,MF",27.0,14.0,18.0,13,6.0,9.0,3.0,3.0,20.0,15.0,17.0,265.0,68.0,25.7,35.0,142.0,88.0,21.0,2.0,1.0,19.0,9,25,5.0,1.0,Matches,amiens
13,Jordan Lefort,fr FRA,DF,25.0,13.7,5.0,5,3.0,2.0,0.0,3.0,7.0,42.9,4.0,65.0,20.0,30.8,42.0,23.0,0.0,10.0,2.0,1.0,8.0,15,16,50.0,0.0,Matches,amiens
14,Bongani Zungu,za RSA,MF,26.0,13.4,26.0,17,9.0,13.0,4.0,14.0,34.0,41.2,20.0,227.0,68.0,30.0,62.0,136.0,29.0,19.0,4.0,0.0,15.0,20,44,26.0,1.0,Matches,amiens
15,Christophe Jallet,fr FRA,DF,35.0,10.5,28.0,18,17.0,9.0,2.0,11.0,35.0,31.4,24.0,176.0,49.0,27.8,75.0,75.0,26.0,23.0,5.0,0.0,18.0,14,41,34.0,0.0,Matches,amiens
16,Moussa Konaté,sn SEN,FW,26.0,8.5,5.0,6,1.0,4.0,0.0,1.0,6.0,16.7,5.0,139.0,28.0,20.1,13.0,76.0,50.0,4.0,2.0,0.0,2.0,0,5,1.0,0.0,Matches,amiens
17,Nicholas Opoku,gh GHA,DF,21.0,7.0,8.0,3,6.0,2.0,0.0,5.0,9.0,55.6,4.0,42.0,12.0,28.6,29.0,12.0,1.0,11.0,6.0,0.0,5.0,5,13,46.0,0.0,Matches,amiens
18,Chadrac Akolo,cd COD,"FW,MF",24.0,6.9,17.0,14,7.0,7.0,3.0,3.0,17.0,17.6,14.0,140.0,43.0,30.7,40.0,71.0,29.0,8.0,1.0,0.0,7.0,6,22,4.0,0.0,Matches,amiens
19,Quentin Cornette,fr FRA,"FW,MF",25.0,5.6,6.0,1,4.0,1.0,1.0,1.0,11.0,9.1,10.0,96.0,20.0,20.8,19.0,38.0,39.0,11.0,1.0,0.0,10.0,10,15,3.0,0.0,Matches,amiens
20,Matthieu Dreyer,fr FRA,GK,30.0,4.3,,0,,,,,,,,,,,,,,,,,,0,0,,,Matches,amiens
21,Saman Ghoddos,ir IRN,FW,25.0,3.4,3.0,2,1.0,1.0,1.0,1.0,5.0,20.0,4.0,45.0,9.0,20.0,9.0,23.0,13.0,5.0,0.0,0.0,5.0,2,5,4.0,0.0,Matches,amiens
22,Prince-Désir Gouano,fr FRA,DF,25.0,3.0,2.0,2,1.0,1.0,0.0,0.0,0.0,,0.0,25.0,9.0,36.0,13.0,12.0,0.0,5.0,3.0,0.0,2.0,4,6,15.0,0.0,Matches,amiens
23,Mathieu Bodmer,fr FRA,MF,36.0,1.9,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,3.0,21.4,2.0,10.0,2.0,1.0,1.0,0.0,0.0,1,1,1.0,0.0,Matches,amiens
24,Mahdi Talal,fr FRA,FW,21.0,1.7,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,12.0,3.0,25.0,6.0,3.0,3.0,3.0,0.0,0.0,3.0,0,0,1.0,0.0,Matches,amiens
25,Cheick Timite,ci CIV,"MF,FW",21.0,1.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,7.0,33.3,4.0,12.0,5.0,2.0,0.0,0.0,2.0,0,0,1.0,0.0,Matches,amiens
26,Jonathan Bumbu,fr FRA,MF,20.0,1.1,,0,,,,,,,,,,,,,,,,,,0,0,,,Matches,amiens
27,Isaac Mbenza,be BEL,FW,23.0,0.9,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,12.0,4.0,33.3,3.0,5.0,4.0,1.0,0.0,0.0,1.0,0,1,0.0,0.0,Matches,amiens
28,Jack Lahne,se SWE,FW,17.0,0.4,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,2.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,Matches,amiens
29,Baptiste Santamaria,fr FRA,MF,24.0,30.2,93.0,58,38.0,45.0,10.0,31.0,99.0,31.3,68.0,632.0,210.0,33.2,230.0,346.0,56.0,39.0,5.0,0.0,34.0,32,125,64.0,1.0,Matches,angers
30,Romain Thomas,fr FRA,DF,31.0,29.4,29.0,23,17.0,12.0,0.0,8.0,30.0,26.7,22.0,227.0,90.0,39.6,164.0,59.0,4.0,53.0,20.0,1.0,33.0,33,62,179.0,1.0,Matches,angers
31,Ludovic Butelle,fr FRA,GK,36.0,26.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,2.0,22.2,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,3.0,2.0,Matches,angers
32,Vincent Manceau,fr FRA,DF,30.0,25.1,49.0,29,25.0,19.0,5.0,22.0,51.0,43.1,29.0,290.0,101.0,34.8,169.0,88.0,33.0,47.0,3.0,0.0,44.0,22,71,59.0,0.0,Matches,angers
33,Thomas Mangani,fr FRA,MF,32.0,23.6,34.0,23,14.0,16.0,4.0,13.0,60.0,21.7,47.0,497.0,122.0,24.5,119.0,307.0,71.0,29.0,3.0,0.0,26.0,11,45,31.0,1.0,Matches,angers
34,Ismaël Traoré,ci CIV,DF,32.0,22.8,32.0,22,22.0,9.0,1.0,12.0,24.0,50.0,12.0,218.0,79.0,36.2,153.0,56.0,9.0,35.0,15.0,0.0,20.0,17,49,116.0,1.0,Matches,angers
35,Pierrick Capelle,fr FRA,"MF,DF",32.0,21.9,46.0,35,17.0,22.0,7.0,17.0,60.0,28.3,43.0,455.0,107.0,23.5,115.0,239.0,101.0,26.0,4.0,0.0,22.0,17,63,36.0,0.0,Matches,angers
36,Angelo Fulgini,fr FRA,MF,22.0,20.3,33.0,23,11.0,18.0,4.0,12.0,31.0,38.7,19.0,297.0,85.0,28.6,56.0,177.0,64.0,22.0,0.0,0.0,22.0,22,55,10.0,0.0,Matches,angers
37,Rachid Alioui,ma MAR,FW,27.0,19.2,13.0,12,2.0,8.0,3.0,4.0,13.0,30.8,9.0,373.0,84.0,22.5,10.0,213.0,150.0,4.0,0.0,0.0,4.0,4,17,10.0,0.0,Matches,angers
38,Sada Thioub,sn SEN,"MF,FW",24.0,18.9,21.0,16,12.0,6.0,3.0,5.0,21.0,23.8,16.0,347.0,84.0,24.2,78.0,162.0,107.0,20.0,2.0,0.0,18.0,11,30,8.0,0.0,Matches,angers
39,Mathias Pereira Lage,pt POR,MF,22.0,18.7,40.0,22,19.0,16.0,5.0,16.0,51.0,31.4,35.0,526.0,142.0,27.0,125.0,297.0,104.0,28.0,1.0,0.0,27.0,20,60,16.0,0.0,Matches,angers
40,Rayan Aït Nouri,fr FRA,DF,18.0,14.2,32.0,18,13.0,11.0,8.0,6.0,24.0,25.0,18.0,224.0,83.0,37.1,104.0,83.0,37.0,32.0,1.0,0.0,31.0,13,45,51.0,0.0,Matches,angers
41,Mateo Pavlović,ba BIH,DF,29.0,13.4,6.0,3,4.0,2.0,0.0,3.0,9.0,33.3,6.0,59.0,14.0,23.7,41.0,13.0,5.0,3.0,1.0,0.0,2.0,7,13,52.0,2.0,Matches,angers
42,Stéphane Bahoken,cm CMR,FW,27.0,13.3,7.0,7,0.0,3.0,4.0,0.0,4.0,0.0,4.0,210.0,40.0,19.0,7.0,103.0,100.0,4.0,1.0,0.0,3.0,1,8,6.0,0.0,Matches,angers
43,Antonin Bobichon,fr FRA,MF,23.0,10.1,11.0,10,3.0,8.0,0.0,4.0,18.0,22.2,14.0,237.0,58.0,24.5,67.0,127.0,43.0,17.0,0.0,0.0,17.0,4,12,6.0,0.0,Matches,angers
44,Abdoulaye Bamba,ci CIV,DF,29.0,8.5,13.0,6,9.0,1.0,3.0,7.0,14.0,50.0,7.0,62.0,14.0,22.6,28.0,24.0,10.0,9.0,1.0,0.0,8.0,4,15,14.0,0.0,Matches,angers
45,Casimir Ninga,td CHA,"MF,FW",26.0,8.2,7.0,5,6.0,1.0,0.0,1.0,6.0,16.7,5.0,152.0,27.0,17.8,37.0,80.0,35.0,7.0,0.0,0.0,7.0,4,11,1.0,0.0,Matches,angers
46,Théo Pellenard,fr FRA,DF,25.0,7.3,7.0,4,4.0,2.0,1.0,3.0,12.0,25.0,9.0,83.0,25.0,30.1,37.0,30.0,16.0,12.0,1.0,0.0,11.0,7,12,8.0,0.0,Matches,angers
47,Danijel Petković,me MNE,GK,26.0,6.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,angers
48,Farid El Melali,dz ALG,"MF,FW",22.0,5.4,13.0,6,5.0,4.0,4.0,2.0,15.0,13.3,13.0,94.0,23.0,24.5,33.0,37.0,24.0,10.0,1.0,0.0,9.0,8,19,2.0,0.0,Matches,angers
