,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
30,Paul Bernardoni,fr FRA,GK,24-014,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
31,Romain Thomas,fr FRA,DF,32-324,33.3,7.0,0.24,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
32,Ismaël Traoré,ci CIV,DF,34-257,33.0,19.0,0.58,18.0,0.0,0.0,0.0,0.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
33,Angelo Fulgini,fr FRA,MF,24-255,30.0,104.0,3.78,69.0,15.0,7.0,4.0,8.0,1.0,8.0,0.29,5.0,1.0,1.0,0.0,1.0,0.0,0.0,Matches,angers
34,Thomas Mangani,fr FRA,MF,34-003,29.0,52.0,2.0,36.0,14.0,1.0,1.0,0.0,0.0,5.0,0.19,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
35,Souleyman Doumbia,ci CIV,DF,24-220,25.3,25.0,1.03,22.0,1.0,0.0,0.0,1.0,1.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,angers
36,Vincent Manceau,fr FRA,DF,31-296,24.4,23.0,1.06,20.0,3.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
37,Pierrick Capelle,fr FRA,"MF,FW",34-017,22.6,41.0,2.17,31.0,2.0,4.0,1.0,1.0,2.0,3.0,0.16,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
38,Ibrahim Amadou,fr FRA,MF,28-026,20.2,24.0,1.45,20.0,0.0,0.0,2.0,0.0,2.0,2.0,0.12,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,angers
39,Lassana Coulibaly,ml MLI,MF,25-022,19.8,20.0,1.08,17.0,0.0,1.0,0.0,1.0,1.0,3.0,0.16,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,angers
40,Stéphane Bahoken,cm CMR,FW,28-339,18.4,25.0,1.58,15.0,0.0,4.0,2.0,2.0,2.0,4.0,0.25,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,angers
41,Lois Diony,fr FRA,FW,28-133,17.7,27.0,1.57,19.0,0.0,2.0,1.0,4.0,1.0,2.0,0.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,angers
42,Abdoulaye Bamba,ci CIV,DF,31-007,17.2,21.0,1.4,18.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
