,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,club
0,Héctor Bellerín,es ESP,"DF,MF",22.0,46.2,52.0,46.0,34.0,12.0,6.0,21.0,52.0,40.4,31.0,397.0,117.0,29.5,205.0,119.0,73.0,67.0,9.0,2.0,58.0,43.0,80.0,53.0,1.0,Matches,Arsenal
1,Granit Xhaka,ch SUI,MF,24.0,46.0,65.0,51.0,30.0,26.0,9.0,16.0,65.0,24.6,49.0,529.0,167.0,31.6,148.0,284.0,97.0,53.0,10.0,0.0,43.0,40.0,90.0,67.0,1.0,Matches,Arsenal
2,Petr Čech,cz CZE,GK,35.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Matches,Arsenal
3,Shkodran Mustafi,de GER,DF,25.0,36.3,60.0,48.0,43.0,13.0,4.0,20.0,44.0,45.5,24.0,235.0,97.0,41.3,147.0,77.0,11.0,30.0,15.0,0.0,15.0,72.0,106.0,138.0,5.0,Matches,Arsenal
4,Nacho Monreal,es ESP,DF,31.0,34.3,51.0,33.0,20.0,26.0,5.0,21.0,51.0,41.2,30.0,277.0,94.0,33.9,145.0,103.0,29.0,36.0,6.0,3.0,30.0,43.0,79.0,72.0,0.0,Matches,Arsenal
5,Mesut Özil,de GER,"MF,FW",28.0,32.8,14.0,16.0,5.0,8.0,1.0,2.0,11.0,18.2,9.0,319.0,85.0,26.6,78.0,142.0,99.0,18.0,1.0,0.0,17.0,16.0,27.0,3.0,0.0,Matches,Arsenal
6,Laurent Koscielny,fr FRA,DF,31.0,31.0,38.0,33.0,23.0,10.0,5.0,13.0,24.0,54.2,11.0,188.0,73.0,38.8,116.0,61.0,11.0,45.0,18.0,0.0,27.0,63.0,83.0,107.0,1.0,Matches,Arsenal
7,Alexandre Lacazette,fr FRA,FW,26.0,30.5,25.0,22.0,5.0,12.0,8.0,2.0,16.0,12.5,14.0,423.0,133.0,31.4,40.0,157.0,226.0,24.0,4.0,0.0,20.0,9.0,33.0,2.0,0.0,Matches,Arsenal
8,Jack Wilshere,eng ENG,MF,25.0,29.6,17.0,19.0,3.0,10.0,4.0,4.0,18.0,22.2,14.0,222.0,72.0,32.4,67.0,109.0,46.0,13.0,2.0,0.0,11.0,19.0,31.0,4.0,0.0,Matches,Arsenal
9,Alex Iwobi,ng NGA,"FW,MF",21.0,29.2,20.0,22.0,9.0,6.0,5.0,8.0,17.0,47.1,9.0,253.0,78.0,30.8,81.0,105.0,67.0,24.0,1.0,0.0,23.0,16.0,30.0,9.0,0.0,Matches,Arsenal
10,Sead Kolašinac,ba BIH,"DF,MF",24.0,29.1,53.0,37.0,30.0,17.0,6.0,15.0,38.0,39.5,23.0,268.0,80.0,29.9,144.0,87.0,37.0,22.0,4.0,0.0,18.0,24.0,74.0,46.0,1.0,Matches,Arsenal
11,Aaron Ramsey,wal WAL,MF,26.0,27.4,33.0,31.0,17.0,14.0,2.0,5.0,36.0,13.9,31.0,307.0,90.0,29.3,65.0,157.0,85.0,20.0,3.0,0.0,17.0,33.0,52.0,6.0,0.0,Matches,Arsenal
12,Mohamed Elneny,eg EGY,MF,25.0,26.0,12.0,16.0,5.0,4.0,3.0,6.0,15.0,40.0,9.0,162.0,48.0,29.6,64.0,69.0,29.0,15.0,1.0,1.0,14.0,35.0,22.0,11.0,0.0,Matches,Arsenal
13,Danny Welbeck,eng ENG,"FW,MF",26.0,26.0,19.0,23.0,7.0,6.0,6.0,4.0,16.0,25.0,12.0,211.0,56.0,26.5,35.0,95.0,81.0,26.0,3.0,0.0,23.0,15.0,29.0,13.0,0.0,Matches,Arsenal
14,Rob Holding,eng ENG,DF,21.0,22.4,14.0,22.0,10.0,3.0,1.0,3.0,10.0,30.0,7.0,90.0,35.0,38.9,57.0,30.0,3.0,24.0,10.0,0.0,14.0,32.0,24.0,34.0,0.0,Matches,Arsenal
15,Ainsley Maitland-Niles,eng ENG,"DF,MF",19.0,21.7,27.0,33.0,13.0,6.0,8.0,13.0,28.0,46.4,15.0,182.0,57.0,31.3,110.0,51.0,21.0,27.0,1.0,0.0,26.0,34.0,44.0,20.0,0.0,Matches,Arsenal
16,David Ospina,co COL,GK,28.0,20.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Arsenal
17,Calum Chambers,eng ENG,DF,22.0,19.5,17.0,22.0,10.0,6.0,1.0,6.0,16.0,37.5,10.0,65.0,28.0,43.1,36.0,25.0,4.0,27.0,12.0,0.0,15.0,30.0,27.0,28.0,0.0,Matches,Arsenal
18,Alexis Sánchez,cl CHI,"FW,MF",28.0,19.0,15.0,10.0,5.0,5.0,5.0,3.0,18.0,16.7,15.0,229.0,65.0,28.4,24.0,91.0,114.0,11.0,2.0,0.0,9.0,7.0,22.0,1.0,0.0,Matches,Arsenal
