,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club
76,Stéphane Bahoken,cm CMR,FW,27.0,13.3,7,25,11,44.0,1.88,0.83,0.2,0.45,15.7,0.0,2,2,3.0,2.2,0.11,1.0,0.8,Matches,angers
77,Antonin Bobichon,fr FRA,MF,23.0,10.1,2,21,6,28.6,2.08,0.59,0.1,0.33,20.5,1.0,0,0,1.0,1.0,0.05,1.0,1.0,Matches,angers
78,Abdoulaye Bamba,ci CIV,DF,29.0,8.5,0,1,0,0.0,0.12,0.0,0.0,,22.8,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,angers
79,Casimir Ninga,td CHA,"MF,FW",26.0,8.2,3,32,6,18.8,3.91,0.73,0.09,0.5,13.9,0.0,0,0,2.8,2.8,0.09,0.2,0.2,Matches,angers
80,Théo Pellenard,fr FRA,DF,25.0,7.3,0,1,0,0.0,0.14,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,angers
81,Danijel Petković,me MNE,GK,26.0,6.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,angers
82,Farid El Melali,dz ALG,"MF,FW",22.0,5.4,5,9,7,77.8,1.67,1.3,0.56,0.71,14.7,0.0,0,0,0.9,0.9,0.14,2.1,2.1,Matches,angers
83,Souleyman Doumbia,ci CIV,DF,22.0,5.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,angers
84,Vincent Pajot,fr FRA,MF,28.0,2.3,0,5,0,0.0,2.22,0.0,0.0,,21.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,angers
85,Zinédine Ould Khaled,fr FRA,MF,19.0,1.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,angers
86,Ibrahim Cissé,sn SEN,DF,23.0,1.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,angers
87,Wilfried Kanga,fr FRA,FW,21.0,1.0,1,3,1,33.3,2.9,0.97,0.33,1.0,8.7,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,angers
88,Jeff Reine-Adélaïde,fr FRA,MF,21.0,0.9,1,2,1,50.0,2.28,1.14,0.5,1.0,10.4,0.0,0,0,0.4,0.4,0.19,0.6,0.6,Matches,angers
89,Pierre-Emerick Aubameyang,ga GAB,FW,30.0,41.4,29,112,48,42.9,2.71,1.16,0.23,0.54,14.9,2.0,3,3,18.7,17.2,0.16,6.3,5.8,Matches,Arsenal
90,David Luiz,br BRA,DF,32.0,40.4,2,35,7,20.0,0.87,0.17,0.06,0.29,21.5,9.0,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches,Arsenal
91,Granit Xhaka,ch SUI,"MF,DF",26.0,38.1,1,21,5,23.8,0.55,0.13,0.05,0.2,24.2,2.0,0,0,0.8,0.8,0.05,0.2,0.2,Matches,Arsenal
92,Bernd Leno,de GER,GK,27.0,31.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal
93,Bukayo Saka,eng ENG,"DF,FW",17.0,30.4,4,34,15,44.1,1.12,0.49,0.12,0.27,17.1,0.0,0,0,2.3,2.3,0.1,0.7,0.7,Matches,Arsenal
94,Nicolas Pépé,ci CIV,"FW,DF",24.0,30.2,8,66,23,34.8,2.19,0.76,0.09,0.26,19.2,10.0,2,2,5.1,4.4,0.08,1.9,1.6,Matches,Arsenal
95,Alexandre Lacazette,fr FRA,FW,28.0,28.6,12,69,31,44.9,2.41,1.08,0.17,0.39,12.1,4.0,0,0,10.9,10.9,0.17,1.1,1.1,Matches,Arsenal
96,Mattéo Guendouzi,fr FRA,MF,20.0,26.8,0,13,5,38.5,0.48,0.19,0.0,0.0,21.7,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,Arsenal
97,Dani Ceballos,es ESP,MF,22.0,26.3,2,24,6,25.0,0.91,0.23,0.08,0.33,19.7,1.0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches,Arsenal
98,Sokratis Papastathopoulos,gr GRE,DF,31.0,25.8,3,12,3,25.0,0.46,0.12,0.25,1.0,8.4,0.0,0,0,1.2,1.2,0.13,0.8,0.8,Matches,Arsenal
99,Shkodran Mustafi,de GER,DF,27.0,25.3,1,20,5,25.0,0.79,0.2,0.05,0.2,8.6,0.0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,Arsenal
100,Ainsley Maitland-Niles,eng ENG,"DF,FW",21.0,23.0,1,6,2,33.3,0.26,0.09,0.17,0.5,15.8,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,Arsenal
101,Emiliano Martínez,ar ARG,GK,26.0,22.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal
102,Lucas Torreira,uy URU,MF,23.0,22.8,2,33,8,24.2,1.45,0.35,0.06,0.25,17.3,1.0,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches,Arsenal
103,Sead Kolašinac,ba BIH,DF,26.0,22.7,0,5,0,0.0,0.22,0.0,0.0,,12.5,0.0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches,Arsenal
104,Joe Willock,eng ENG,MF,19.0,21.1,5,33,10,30.3,1.56,0.47,0.15,0.5,15.7,0.0,0,0,4.0,4.0,0.16,-1.0,-1.0,Matches,Arsenal
105,Héctor Bellerín,es ESP,DF,24.0,20.3,1,10,2,20.0,0.49,0.1,0.1,0.5,16.2,0.0,0,0,0.5,0.5,0.06,0.5,0.5,Matches,Arsenal
106,Mesut Özil,de GER,"MF,FW",30.0,20.0,1,11,3,27.3,0.55,0.15,0.09,0.33,13.8,0.0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches,Arsenal
107,Kieran Tierney,sco SCO,DF,22.0,19.2,1,8,2,25.0,0.42,0.1,0.13,0.5,19.8,0.0,0,0,0.3,0.3,0.04,0.7,0.7,Matches,Arsenal
108,Martinelli,br BRA,FW,18.0,16.7,10,42,17,40.5,2.52,1.02,0.24,0.59,11.8,0.0,0,0,4.7,4.7,0.17,1.3,1.3,Matches,Arsenal
109,Calum Chambers,eng ENG,DF,24.0,15.4,1,16,4,25.0,1.04,0.26,0.06,0.25,13.0,0.0,0,0,0.8,0.8,0.06,0.2,0.2,Matches,Arsenal
110,Rob Holding,eng ENG,DF,23.0,14.6,1,4,2,50.0,0.27,0.14,0.25,0.5,6.3,0.0,0,0,0.4,0.4,0.15,-0.4,-0.4,Matches,Arsenal
111,Reiss Nelson,eng ENG,FW,19.0,11.6,3,24,9,37.5,2.07,0.78,0.13,0.33,18.2,0.0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,Arsenal
112,Eddie Nketiah,eng ENG,FW,20.0,9.4,4,19,7,36.8,2.02,0.74,0.21,0.57,12.3,0.0,0,0,3.1,3.1,0.21,-1.1,-1.1,Matches,Arsenal
113,Emile Smith-Rowe,eng ENG,"FW,MF",19.0,4.2,0,6,3,50.0,1.44,0.72,0.0,0.0,13.8,0.0,0,0,1.0,1.0,0.2,-1.0,-1.0,Matches,Arsenal
114,Nacho Monreal,es ESP,DF,33.0,3.0,0,1,0,0.0,0.33,0.0,0.0,,9.2,0.0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches,Arsenal
115,Cédric Soares,pt POR,DF,27.0,2.8,1,1,1,100.0,0.36,0.36,1.0,1.0,24.0,0.0,0,0,0.0,0.0,0.02,1.0,1.0,Matches,Arsenal
116,Pablo Marí,es ESP,DF,25.0,2.3,0,1,0,0.0,0.44,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal
117,Henrikh Mkhitaryan,am ARM,FW,30.0,1.2,0,2,0,0.0,1.61,0.0,0.0,,14.6,0.0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,Arsenal
118,Konstantinos Mavropanos,gr GRE,DF,21.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal
119,Jack Grealish,eng ENG,"FW,MF",23.0,39.5,10,77,24,31.2,1.95,0.61,0.13,0.42,18.0,1.0,0,1,6.5,5.7,0.08,1.5,2.3,Matches,Aston Villa
120,Tyrone Mings,eng ENG,DF,26.0,35.2,2,9,4,44.4,0.26,0.11,0.22,0.5,9.0,0.0,0,0,1.1,1.1,0.12,0.9,0.9,Matches,Aston Villa
121,Douglas Luiz,br BRA,MF,21.0,35.0,3,46,13,28.3,1.31,0.37,0.07,0.23,22.9,3.0,0,0,2.3,2.3,0.06,0.7,0.7,Matches,Aston Villa
122,Matt Targett,eng ENG,DF,23.0,28.9,2,12,6,50.0,0.41,0.21,0.17,0.33,16.4,1.0,0,0,0.5,0.5,0.07,0.5,0.5,Matches,Aston Villa
123,Ezri Konsa,eng ENG,DF,21.0,28.7,2,16,5,31.3,0.56,0.17,0.13,0.4,11.7,0.0,0,0,1.6,1.6,0.14,-0.6,-0.6,Matches,Aston Villa
124,Anwar El Ghazi,nl NED,"FW,MF",24.0,28.2,6,63,25,39.7,2.24,0.89,0.08,0.2,18.2,5.0,1,1,6.0,5.2,0.1,-2.0,-2.2,Matches,Aston Villa
125,John McGinn,sco SCO,MF,24.0,26.5,3,60,20,33.3,2.26,0.75,0.05,0.15,20.5,0.0,0,0,3.8,3.8,0.07,-0.8,-0.8,Matches,Aston Villa
126,Frederic Guilbert,fr FRA,DF,24.0,26.1,2,11,5,45.5,0.42,0.19,0.18,0.4,22.1,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Aston Villa
127,Trézéguet,eg EGY,"FW,MF",24.0,25.8,7,67,24,35.8,2.59,0.93,0.1,0.29,17.2,3.0,0,0,3.9,3.9,0.08,2.1,2.1,Matches,Aston Villa
128,Marvelous Nakamba,zw ZIM,MF,25.0,25.2,0,7,1,14.3,0.28,0.04,0.0,0.0,28.2,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Aston Villa
129,Conor Hourihane,ie IRL,MF,28.0,22.5,7,39,15,38.5,1.73,0.67,0.18,0.47,20.5,4.0,0,0,1.6,1.6,0.06,1.4,1.4,Matches,Aston Villa
130,Kortney Hause,eng ENG,DF,24.0,22.3,1,22,3,13.6,0.99,0.13,0.05,0.33,7.5,0.0,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches,Aston Villa
131,Wesley Moraes,br BRA,FW,22.0,20.0,6,36,18,50.0,1.8,0.9,0.17,0.33,12.0,0.0,0,1,5.0,4.2,0.12,0.0,0.8,Matches,Aston Villa
132,Tom Heaton,eng ENG,GK,33.0,19.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
133,Björn Engels,be BEL,DF,24.0,18.1,1,8,2,25.0,0.44,0.11,0.13,0.5,6.2,0.0,0,0,0.8,0.8,0.11,0.2,0.2,Matches,Aston Villa
134,Ahmed Elmohamady,eg EGY,DF,31.0,17.3,2,8,2,25.0,0.46,0.12,0.25,1.0,11.1,0.0,0,0,0.2,0.2,0.04,0.8,0.8,Matches,Aston Villa
135,Neil Taylor,wal WAL,DF,30.0,16.1,0,4,0,0.0,0.25,0.0,0.0,,15.1,0.0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches,Aston Villa
136,Mbwana Samatta,tz TAN,FW,26.0,12.1,2,19,4,21.1,1.57,0.33,0.11,0.5,10.1,0.0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches,Aston Villa
137,Pepe Reina,es ESP,GK,36.0,12.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
138,Ørjan Nyland,no NOR,GK,28.0,11.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
139,Keinan Davis,eng ENG,FW,21.0,8.9,1,23,8,34.8,2.58,0.9,0.04,0.13,9.4,0.0,0,0,1.9,1.9,0.12,-1.9,-1.9,Matches,Aston Villa
140,Jota,es ESP,"FW,MF",28.0,7.3,1,14,4,28.6,1.92,0.55,0.07,0.25,19.5,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Aston Villa
141,Henri Lansbury,eng ENG,MF,28.0,6.1,0,4,1,25.0,0.65,0.16,0.0,0.0,19.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Aston Villa
142,Jonathan Kodjia,ci CIV,"FW,MF",29.0,3.6,2,7,2,28.6,1.97,0.56,0.29,1.0,19.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Aston Villa
143,Jed Steer,eng ENG,GK,26.0,3.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
144,Danny Drinkwater,eng ENG,MF,29.0,2.9,0,2,0,0.0,0.69,0.0,0.0,,19.5,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Aston Villa
145,James Chester,wal WAL,DF,30.0,1.8,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches,Aston Villa
146,Indiana Vassilev,us USA,"FW,MF",18.0,0.9,0,1,0,0.0,1.14,0.0,0.0,,21.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Aston Villa
147,Borja Bastón,es ESP,"MF,FW",26.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
