,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club
0,Joselu,es ESP,FW,29.0,30.9,11,81,28,34.6,2.62,0.91,0.12,0.36,13.2,1.0,1,1,10.5,9.8,0.12,0.5,0.2,Matches,Alaves
1,Víctor Laguardia,es ESP,DF,29.0,29.5,1,8,1,12.5,0.27,0.03,0.13,1.0,14.8,0.0,0,0,0.8,0.8,0.1,0.2,0.2,Matches,Alaves
2,Rubén Duarte,es ESP,DF,23.0,29.6,0,20,8,40.0,0.68,0.27,0.0,0.0,17.3,0.0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches,Alaves
3,Lucas Pérez,es ESP,FW,30.0,27.7,11,43,14,32.6,1.55,0.5,0.14,0.43,17.7,4.0,5,5,9.9,6.1,0.14,1.1,-0.1,Matches,Alaves
4,Fernando Pacheco,es ESP,GK,27.0,26.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
5,Aleix Vidal,es ESP,MF,29.0,24.1,2,22,9,40.9,0.91,0.37,0.09,0.22,19.6,4.0,0,0,2.5,2.5,0.11,-0.5,-0.5,Matches,Alaves
6,Rodrigo Ely,br BRA,DF,25.0,23.6,2,6,3,50.0,0.25,0.13,0.33,0.67,8.3,0.0,0,0,0.7,0.7,0.11,1.3,1.3,Matches,Alaves
7,Martin Agirregabiria,es ESP,DF,23.0,23.3,1,3,1,33.3,0.13,0.04,0.33,1.0,24.3,0.0,0,0,0.9,0.9,0.3,0.1,0.1,Matches,Alaves
8,Manu García,es ESP,MF,33.0,21.9,0,20,7,35.0,0.92,0.32,0.0,0.0,12.8,0.0,0,0,2.0,2.0,0.1,-2.0,-2.0,Matches,Alaves
9,Ximo Navarro,es ESP,DF,29.0,21.1,0,7,1,14.3,0.33,0.05,0.0,0.0,20.8,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,Alaves
10,Luis Rioja,es ESP,MF,25.0,18.2,0,9,2,22.2,0.5,0.11,0.0,0.0,20.8,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,Alaves
11,Tomás Pina Isla,es ESP,MF,31.0,14.9,1,2,1,50.0,0.13,0.07,0.5,1.0,9.2,0.0,0,0,0.9,0.9,0.44,0.1,0.1,Matches,Alaves
12,Víctor Camarasa,es ESP,MF,25.0,14.4,0,8,2,25.0,0.56,0.14,0.0,0.0,24.0,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Alaves
13,Wakaso,gh GHA,MF,29.0,14.3,0,14,1,7.1,0.98,0.07,0.0,0.0,29.1,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,Alaves
14,Oliver Burke,sco SCO,"MF,FW",22.0,15.9,1,20,9,45.0,1.26,0.57,0.05,0.11,14.2,0.0,0,0,3.2,3.2,0.16,-2.2,-2.2,Matches,Alaves
15,Lisandro Magallán,ar ARG,DF,25.0,13.3,1,6,1,16.7,0.45,0.08,0.17,1.0,9.4,0.0,0,0,0.6,0.6,0.11,0.4,0.4,Matches,Alaves
16,Ljubomir Fejsa,rs SRB,MF,30.0,8.7,0,1,0,0.0,0.11,0.0,0.0,,29.2,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Alaves
17,Édgar Méndez,es ESP,"MF,FW",29.0,9.6,1,9,4,44.4,0.94,0.42,0.11,0.25,20.7,0.0,0,0,0.5,0.5,0.05,0.5,0.5,Matches,Alaves
18,Adrián Marín,es ESP,DF,22.0,9.5,0,3,0,0.0,0.32,0.0,0.0,,15.0,0.0,0,0,0.6,0.6,0.2,-0.6,-0.6,Matches,Alaves
19,Roberto,es ESP,GK,33.0,8.8,0,1,0,0.0,0.11,0.0,0.0,,16.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Alaves
20,Pere Pons,es ESP,MF,26.0,12.1,1,4,1,25.0,0.33,0.08,0.25,1.0,16.2,0.0,0,0,0.2,0.2,0.06,0.8,0.8,Matches,Alaves
21,Borja Sainz,es ESP,"MF,FW",18.0,6.4,1,9,5,55.6,1.41,0.79,0.11,0.2,13.7,0.0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches,Alaves
22,Antonio Sivera,es ESP,GK,22.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
23,Tachi,es ESP,DF,21.0,2.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
24,Abdallahi Mahmoud,mr MTN,MF,19.0,1.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
25,John Guidetti,se SWE,FW,27.0,1.1,0,2,0,0.0,1.87,0.0,0.0,,20.7,1.0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches,Alaves
26,Javi López,es ESP,DF,17.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
27,Guillermo Maripán,cl CHI,DF,25.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
28,Javier Muñoz,es ESP,MF,24.0,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
29,Paulino,es ESP,MF,22.0,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
30,Burgui,es ESP,MF,25.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves
31,José Luis Rodríguez,pa PAN,FW,21.0,0.2,0,1,1,100.0,4.09,4.09,0.0,0.0,24.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Alaves
32,Squad Total,,,27.6,38.0,34,299,99,33.1,7.87,2.61,0.09,0.28,16.5,10.0,6,6,37.0,32.5,0.11,-3.0,-4.5,,Alaves
33,Opponent Total,,,27.3,38.0,59,452,147,32.5,11.89,3.87,0.1,0.32,17.9,27.0,12,15,53.2,42.0,0.09,5.8,5.0,,Alaves
34,Régis Gurtner,fr FRA,GK,32.0,28.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,amiens
35,Haitam Aleesami,no NOR,DF,28.0,24.6,1,2,1,50.0,0.08,0.04,0.5,1.0,14.7,0.0,0,0,0.2,0.2,0.08,0.8,0.8,Matches,amiens
36,Arturo Calabresi,it ITA,DF,23.0,24.4,1,6,1,16.7,0.25,0.04,0.17,1.0,16.6,0.0,0,0,0.8,0.8,0.14,0.2,0.2,Matches,amiens
37,Aurélien Chedjou,cm CMR,DF,34.0,24.1,0,9,2,22.2,0.37,0.08,0.0,0.0,9.7,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,amiens
38,Bakaye Dibassy,ml MLI,DF,29.0,24.1,2,5,4,80.0,0.21,0.17,0.4,0.5,9.7,0.0,0,0,0.8,0.8,0.17,1.2,1.2,Matches,amiens
39,Alexis Blin,fr FRA,MF,22.0,22.4,1,3,1,33.3,0.13,0.04,0.33,1.0,15.2,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,amiens
40,Gaël Kakuta,cd COD,"MF,FW",28.0,22.2,2,42,12,28.6,1.89,0.54,0.05,0.17,22.3,6.0,0,0,3.2,3.2,0.08,-1.2,-1.2,Matches,amiens
41,Sehrou Guirassy,fr FRA,FW,23.0,22.1,9,42,16,38.1,1.9,0.73,0.14,0.38,17.2,2.0,3,4,9.1,6.1,0.14,-0.1,-0.1,Matches,amiens
42,Thomas Monconduit,fr FRA,MF,28.0,18.8,1,18,5,27.8,0.96,0.27,0.06,0.2,24.7,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,amiens
43,Fousseni Diabaté,ml MLI,"FW,MF",23.0,15.4,1,8,3,37.5,0.52,0.19,0.13,0.33,16.4,0.0,0,0,0.8,0.8,0.11,0.2,0.2,Matches,amiens
44,Eddy Gnahoré,fr FRA,MF,25.0,14.9,0,8,0,0.0,0.54,0.0,0.0,,16.5,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,amiens
45,Juan Ferney Otero,co COL,"FW,MF",24.0,14.4,2,21,8,38.1,1.46,0.56,0.1,0.25,21.9,1.0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches,amiens
46,Stiven Mendoza,co COL,"FW,MF",27.0,14.0,6,26,11,42.3,1.86,0.79,0.23,0.55,19.5,1.0,0,0,3.5,3.5,0.15,1.5,1.5,Matches,amiens
47,Jordan Lefort,fr FRA,DF,25.0,13.7,0,4,1,25.0,0.29,0.07,0.0,0.0,24.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,amiens
48,Bongani Zungu,za RSA,MF,26.0,13.4,2,8,2,25.0,0.6,0.15,0.25,1.0,23.5,0.0,0,0,0.3,0.3,0.04,0.7,0.7,Matches,amiens
49,Christophe Jallet,fr FRA,DF,35.0,10.5,1,4,1,25.0,0.38,0.1,0.25,1.0,27.4,1.0,0,0,0.2,0.2,0.04,0.8,0.8,Matches,amiens
50,Moussa Konaté,sn SEN,FW,26.0,8.5,2,12,6,50.0,1.41,0.71,0.17,0.33,13.0,0.0,0,1,1.9,1.0,0.09,0.1,1.0,Matches,amiens
51,Nicholas Opoku,gh GHA,DF,21.0,7.0,0,1,0,0.0,0.14,0.0,0.0,,22.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,amiens
52,Chadrac Akolo,cd COD,"FW,MF",24.0,6.9,2,13,6,46.2,1.88,0.87,0.15,0.33,19.1,0.0,0,0,1.0,1.0,0.12,1.0,1.0,Matches,amiens
53,Quentin Cornette,fr FRA,"FW,MF",25.0,5.6,1,4,3,75.0,0.71,0.53,0.25,0.33,23.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,amiens
54,Matthieu Dreyer,fr FRA,GK,30.0,4.3,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches,amiens
55,Saman Ghoddos,ir IRN,FW,25.0,3.4,1,6,3,50.0,1.75,0.88,0.17,0.33,20.3,1.0,0,0,0.9,0.9,0.15,0.1,0.1,Matches,amiens
56,Prince-Désir Gouano,fr FRA,DF,25.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,amiens
57,Mathieu Bodmer,fr FRA,MF,36.0,1.9,1,5,2,40.0,2.66,1.07,0.2,0.5,15.1,0.0,0,0,0.3,0.3,0.07,0.7,0.7,Matches,amiens
58,Mahdi Talal,fr FRA,FW,21.0,1.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,amiens
59,Cheick Timite,ci CIV,"MF,FW",21.0,1.3,0,3,1,33.3,2.35,0.78,0.0,0.0,18.6,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,amiens
60,Jonathan Bumbu,fr FRA,MF,20.0,1.1,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches,amiens
61,Isaac Mbenza,be BEL,FW,23.0,0.9,0,4,1,25.0,4.29,1.07,0.0,0.0,23.2,1.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,amiens
62,Jack Lahne,se SWE,FW,17.0,0.4,1,1,1,100.0,2.37,2.37,1.0,1.0,5.7,0.0,0,0,0.4,0.4,0.45,0.6,0.6,Matches,amiens
63,Baptiste Santamaria,fr FRA,MF,24.0,30.2,1,38,11,28.9,1.26,0.36,0.03,0.09,24.9,0.0,0,0,1.2,1.2,0.03,-0.2,-0.2,Matches,angers
64,Romain Thomas,fr FRA,DF,31.0,29.4,3,9,3,33.3,0.31,0.1,0.33,1.0,8.2,0.0,0,0,0.6,0.6,0.07,0.4,0.4,Matches,angers
65,Ludovic Butelle,fr FRA,GK,36.0,26.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,angers
66,Vincent Manceau,fr FRA,DF,30.0,25.1,0,8,2,25.0,0.32,0.08,0.0,0.0,21.6,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,angers
67,Thomas Mangani,fr FRA,MF,32.0,23.6,2,30,6,20.0,1.27,0.25,0.07,0.33,22.4,4.0,0,0,1.8,1.8,0.06,0.2,0.2,Matches,angers
68,Ismaël Traoré,ci CIV,DF,32.0,22.8,0,9,0,0.0,0.39,0.0,0.0,,11.4,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches,angers
69,Pierrick Capelle,fr FRA,"MF,DF",32.0,21.9,3,35,11,31.4,1.59,0.5,0.09,0.27,19.1,0.0,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches,angers
70,Angelo Fulgini,fr FRA,MF,22.0,20.3,1,34,16,47.1,1.67,0.79,0.03,0.06,18.1,0.0,0,0,3.1,3.1,0.09,-2.1,-2.1,Matches,angers
71,Rachid Alioui,ma MAR,FW,27.0,19.2,7,60,22,36.7,3.12,1.14,0.12,0.32,20.9,11.0,0,0,5.3,5.3,0.09,0.7,0.7,Matches,angers
72,Sada Thioub,sn SEN,"MF,FW",24.0,18.9,3,16,7,43.8,0.85,0.37,0.19,0.43,16.9,0.0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches,angers
73,Mathias Pereira Lage,pt POR,MF,22.0,18.7,1,36,9,25.0,1.93,0.48,0.03,0.11,19.2,0.0,0,0,1.8,1.8,0.05,-0.8,-0.8,Matches,angers
74,Rayan Aït Nouri,fr FRA,DF,18.0,14.2,0,4,0,0.0,0.28,0.0,0.0,,17.8,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,angers
75,Mateo Pavlović,ba BIH,DF,29.0,13.4,0,7,3,42.9,0.52,0.22,0.0,0.0,8.0,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,angers
