,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,club
0,Fernando Pacheco,es ESP,GK,25.0,37.3,760.0,452.0,308.0,80.0,0.0,84.0,12.0,0.0,0.0,0.0,0.0,0.0,163.0,14.0,583.0,594.0,49.0,0.0,0.0,69.0,414.0,2.0,20.0,4.0,0.0,Matches,alaves
1,Rodrigo Ely,br BRA,DF,23.0,34.8,1035.0,979.0,56.0,53.0,0.0,187.0,49.0,1.0,0.0,0.0,0.0,0.0,550.0,123.0,362.0,137.0,696.0,144.0,3.0,6.0,726.0,6.0,46.0,19.0,11.0,Matches,alaves
2,Alfonso Pedraza,es ESP,"MF,DF",21.0,29.8,734.0,693.0,41.0,2.0,0.0,193.0,19.0,60.0,1.0,0.0,0.0,0.0,469.0,88.0,177.0,548.0,77.0,47.0,38.0,6.0,460.0,4.0,24.0,17.0,72.0,Matches,alaves
3,Tomás Pina Isla,es ESP,MF,29.0,29.8,989.0,973.0,16.0,10.0,0.0,240.0,25.0,5.0,1.0,0.0,0.0,0.0,697.0,98.0,194.0,398.0,467.0,92.0,2.0,4.0,789.0,4.0,26.0,19.0,15.0,Matches,alaves
4,Munir El Haddadi,ma MAR,FW,21.0,28.9,704.0,604.0,100.0,36.0,3.0,157.0,38.0,45.0,33.0,0.0,1.0,0.0,443.0,84.0,177.0,543.0,75.0,59.0,4.0,8.0,463.0,6.0,20.0,24.0,39.0,Matches,alaves
5,Ibai Gómez,es ESP,"MF,FW",27.0,28.3,934.0,767.0,167.0,65.0,6.0,199.0,55.0,62.0,71.0,2.0,1.0,0.0,523.0,100.0,311.0,110.0,765.0,40.0,13.0,3.0,616.0,8.0,25.0,33.0,28.0,Matches,alaves
6,Manu García,es ESP,MF,31.0,27.7,997.0,979.0,18.0,7.0,1.0,233.0,26.0,11.0,0.0,0.0,0.0,0.0,650.0,105.0,242.0,564.0,269.0,118.0,8.0,2.0,724.0,7.0,34.0,19.0,27.0,Matches,alaves
7,Alexis,es ESP,DF,31.0,26.3,731.0,603.0,128.0,45.0,0.0,122.0,14.0,4.0,0.0,0.0,0.0,0.0,374.0,80.0,277.0,101.0,445.0,88.0,83.0,4.0,523.0,6.0,30.0,9.0,6.0,Matches,alaves
8,Rubén Duarte,es ESP,DF,21.0,26.1,963.0,748.0,215.0,5.0,1.0,153.0,22.0,36.0,1.0,0.0,0.0,0.0,394.0,177.0,392.0,545.0,87.0,100.0,209.0,2.0,660.0,14.0,30.0,12.0,25.0,Matches,alaves
9,Martin Agirregabiria,es ESP,DF,21.0,23.8,873.0,709.0,164.0,3.0,1.0,170.0,11.0,35.0,0.0,0.0,0.0,0.0,441.0,196.0,236.0,47.0,578.0,76.0,161.0,5.0,598.0,0.0,36.0,31.0,54.0,Matches,alaves
